Date,Global,US,SE,NO,GB,DK,PH,ES,DE,NL,MX,BE,SG,IT,AU,PL,FI,NZ,MY,CH,BR,CR,PT,CL,IE,CZ,HK,FR,TW,AR,CO,CA,TR,PE,GR,IS,AT,EC,EE,SV,NI,LV,LT,BO,GT,SK,HU,MT,HN,PY,DO,UY,PA
Total,122678211,39491048,10121614,6995318,4786110,4496611,4338438,3375508,3225002,2780944,2530270,2502203,2385151,2341457,2153194,2139068,1289197,1274474,1270811,1229163,950257,812075,686747,650521,617029,486127,450065,443162,435814,374070,344323,307826,279948,275215,250534,228901,186908,162261,88763,66283,49728,48937,44353,42166,41285,40531,26178,23947,21201,9371,6735,5096,4857
Peak,"7 (4,468,700)","1 (1,694,205)","4 (821,742)","7 (404,343)","6 (533,757)","18 (175,287)","21 (88,605)","14 (259,644)","36 (194,195)","16 (227,732)","23 (97,795)","7 (58,744)","1 (31,063)","18 (69,430)","1 (155,934)","23 (30,822)","9 (111,532)","1 (42,003)","1 (19,160)","16 (21,707)","34 (94,442)","18 (17,189)","1 (36,527)","24 (23,779)","17 (21,978)","17 (6,079)","8 (9,233)","24 (53,774)","9 (13,723)","30 (23,992)","11 (18,117)","106 (17,551)","25 (14,179)","18 (11,608)","14 (6,218)","2 (6,207)","9 (14,689)","12 (8,246)","13 (4,843)","132 (3,838)","126 (2,177)","11 (3,509)","10 (4,029)","160 (3,374)","15 (4,223)","15 (1,681)","22 (3,325)","121 (1,210)","43 (3,098)","185 (4,695)","39 (2,377)","92 (2,265)","49 (1,445)"
2013/12/01,--,"17 (670,906)",--,--,--,--,--,--,--,--,--,--,"27 (5,286)",--,--,--,--,--,"33 (3,483)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/08,"37 (1,237,053)","12 (948,895)",--,--,--,--,--,--,--,--,--,--,"25 (5,922)",--,--,--,--,--,"28 (4,424)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"45 (1,705)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/15,"20 (1,888,073)","5 (1,408,914)",--,--,--,--,--,--,--,--,--,--,"13 (9,958)",--,--,--,--,--,"16 (6,352)",--,--,--,--,--,--,--,"38 (2,647)",--,--,--,--,--,--,--,--,"13 (3,032)","42 (4,506)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/22,"16 (2,514,419)","2 (1,648,002)",--,--,--,--,--,--,--,--,"48 (25,507)",--,"6 (15,953)",--,--,--,"50 (46,741)","16 (19,013)","10 (11,419)",--,--,--,"39 (7,635)",--,--,--,"32 (2,986)",--,"44 (6,473)",--,"45 (2,011)",--,--,--,"39 (2,092)","6 (4,177)","20 (8,321)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013/12/29,"16 (2,254,580)","2 (1,328,448)","36 (234,722)","35 (115,892)",--,--,--,--,--,--,"46 (24,831)","41 (17,994)","4 (16,994)",--,--,--,"38 (46,046)","7 (25,093)","6 (13,733)",--,--,--,"27 (9,006)",--,--,--,"31 (3,292)",--,"26 (8,318)",--,--,--,--,--,"44 (2,148)","2 (3,913)","16 (9,907)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/01/05,"17 (2,506,200)","5 (1,365,767)","26 (285,229)","22 (168,438)",--,"50 (76,706)",--,--,--,--,"39 (28,551)","44 (17,444)","4 (19,629)","41 (22,593)","48 (31,626)",--,"27 (66,694)","11 (24,334)","3 (16,475)","48 (8,872)",--,--,"23 (12,949)",--,"47 (7,137)","35 (1,503)","37 (3,726)",--,"29 (8,601)",--,"42 (1,854)",--,"45 (4,022)",--,"40 (2,412)","3 (5,124)","14 (11,897)",--,"43 (1,905)",--,--,--,--,--,--,--,"41 (1,261)",--,--,--,--,--,--
2014/01/12,"12 (3,111,961)","1 (1,652,131)","22 (346,818)","11 (269,986)",--,"35 (83,103)",--,"41 (103,175)",--,"49 (82,591)","38 (39,785)","34 (19,793)","4 (22,401)","38 (29,912)","41 (39,667)","45 (16,432)","9 (92,740)","7 (30,753)","2 (18,231)","36 (12,246)",--,"25 (1,019)","13 (19,952)",--,"42 (8,823)","31 (1,829)","24 (4,912)",--,"21 (10,716)",--,"40 (2,701)",--,"42 (4,736)","41 (1,994)","30 (3,207)","3 (5,931)","10 (12,839)","19 (1,144)","38 (2,126)",--,--,"41 (1,595)","48 (1,551)",--,--,"23 (1,190)","29 (1,817)",--,--,--,--,--,--
2014/01/19,"8 (3,458,750)","2 (1,694,205)","12 (478,685)","9 (306,749)",--,"34 (93,371)",--,"27 (132,466)","49 (126,181)","50 (91,418)","36 (43,550)","32 (25,593)","4 (22,849)","31 (38,120)","33 (45,096)","36 (19,904)","9 (111,532)","5 (32,295)","1 (18,277)","32 (14,105)",--,"21 (1,295)","8 (27,840)","45 (3,724)","32 (11,205)","26 (2,307)","13 (6,965)",--,"18 (10,935)",--,"43 (3,392)",--,"37 (5,568)","33 (2,470)","24 (4,096)","3 (6,207)","9 (14,689)","17 (1,468)","44 (1,986)",--,--,"47 (1,443)","49 (1,584)",--,--,"15 (1,681)","22 (2,257)",--,--,--,--,--,--
2014/01/26,"10 (3,693,381)","3 (1,545,206)","8 (641,921)","8 (351,596)",--,"25 (106,546)",--,"18 (192,636)","50 (132,397)","45 (96,142)","31 (55,375)","22 (30,825)","3 (24,346)","25 (45,656)","12 (81,127)","32 (22,760)","10 (100,874)","3 (37,763)","1 (19,139)","24 (16,051)",--,"19 (1,433)","8 (31,585)","36 (4,783)","23 (13,396)","37 (1,860)","18 (6,271)","41 (37,692)","18 (10,629)",--,"38 (4,888)",--,"35 (5,882)","41 (2,537)","40 (3,269)","6 (5,254)","11 (14,533)","21 (1,451)",--,--,--,--,--,--,--,"27 (1,198)","41 (1,600)",--,--,--,--,--,--
2014/02/02,"11 (4,086,926)","8 (1,580,841)","4 (784,373)","9 (370,537)",--,"23 (127,072)",--,"15 (244,774)","44 (148,144)","34 (121,274)","29 (66,321)","23 (30,369)","4 (20,628)","25 (51,438)","6 (118,270)","30 (25,474)","12 (111,141)","4 (39,525)","2 (15,282)","24 (19,187)",--,"50 (1,002)","8 (31,209)","25 (6,506)","29 (13,349)","26 (3,198)","16 (7,213)","33 (43,797)","24 (8,195)","31 (8,991)","11 (9,564)",--,"25 (7,309)","32 (4,265)","28 (4,935)","5 (6,197)","13 (13,627)","18 (2,213)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/02/09,"8 (4,384,647)","3 (1,682,503)","5 (821,742)","8 (393,341)",--,"23 (148,663)",--,"15 (251,489)","38 (170,014)","33 (130,760)","26 (72,971)","18 (39,654)","1 (28,974)","23 (55,105)","2 (146,177)","26 (27,300)","16 (106,204)","2 (40,466)","2 (16,696)","18 (20,342)",--,"22 (2,156)","2 (34,935)","28 (7,047)","23 (15,608)","24 (3,064)","10 (8,244)","35 (47,249)","11 (11,390)","30 (10,013)","13 (10,013)",--,"25 (8,112)","29 (4,351)","14 (6,218)","5 (6,010)","13 (13,839)",--,--,--,--,--,"10 (4,029)",--,--,--,--,--,--,--,--,--,--
2014/02/16,"8 (4,407,127)","4 (1,625,457)","4 (783,072)","7 (404,343)",--,"21 (156,934)",--,"14 (258,641)","38 (181,947)","26 (146,282)","23 (81,746)","11 (52,317)","1 (31,063)","21 (63,129)","1 (155,934)","23 (27,325)","18 (97,075)","1 (42,003)","1 (19,160)","16 (21,707)",--,"18 (2,463)","1 (36,527)","25 (7,862)","21 (16,568)","17 (3,232)","8 (9,083)","25 (53,774)","9 (12,967)","30 (11,384)","13 (10,884)",--,"25 (8,250)","23 (4,680)","15 (6,065)","4 (6,030)","10 (14,461)","15 (2,554)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/02/23,"7 (4,468,700)","7 (1,476,407)","4 (755,839)","9 (368,485)",--,"18 (175,287)",--,"14 (259,644)","36 (188,450)","16 (227,732)","24 (80,678)","7 (55,763)","2 (28,872)","18 (69,430)","1 (152,072)","23 (26,690)","24 (78,282)","1 (40,042)","3 (18,224)","17 (20,917)",--,"18 (2,762)","5 (32,799)","30 (7,618)","27 (15,197)",--,"8 (9,233)","24 (52,983)","10 (13,648)","34 (11,132)","13 (10,839)",--,"25 (8,462)","24 (5,084)","15 (5,698)","6 (5,532)","14 (13,476)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/03/02,"10 (4,258,822)","10 (1,388,541)","10 (645,076)","12 (324,322)",--,"21 (161,138)",--,"28 (154,418)","38 (194,195)","18 (216,417)","26 (79,865)","16 (46,425)","3 (27,366)","29 (55,216)","2 (145,332)","31 (25,009)","33 (71,105)","2 (38,912)","2 (18,606)","25 (18,848)",--,"24 (2,368)","8 (29,215)","45 (5,628)","18 (21,231)","28 (3,096)","12 (8,699)","36 (48,945)","11 (13,309)","33 (11,647)","27 (9,407)",--,"31 (7,777)","35 (4,254)","33 (3,569)","10 (4,663)","24 (9,567)",--,"13 (4,822)",--,--,"11 (3,447)","16 (3,356)",--,--,--,--,--,--,--,--,--,--
2014/03/09,"12 (3,886,555)","12 (1,194,490)","20 (533,065)","14 (295,256)","6 (533,757)","24 (138,695)",--,"34 (137,902)","49 (152,320)","18 (218,530)","31 (71,026)","21 (40,948)","3 (26,067)","32 (48,391)","3 (126,131)","35 (22,629)","39 (59,077)","2 (38,778)","5 (17,135)","28 (16,936)",--,--,"14 (25,868)","43 (6,687)","17 (21,978)","22 (4,246)","16 (8,232)","49 (43,638)","25 (12,481)","37 (9,943)","37 (7,611)",--,"40 (7,067)","29 (4,809)","27 (4,413)","8 (5,042)","33 (8,121)",--,"14 (4,698)",--,--,"15 (3,185)","18 (3,044)",--,--,--,--,--,--,--,--,--,--
2014/03/16,"20 (3,393,509)","15 (1,039,919)","29 (393,312)","16 (277,943)","8 (487,449)","28 (122,269)",--,"43 (119,393)",--,"19 (215,024)","34 (64,447)","23 (39,794)","5 (22,934)","40 (42,013)","10 (100,688)","39 (20,517)","49 (53,569)","3 (37,562)","7 (14,836)","38 (14,329)",--,--,"15 (24,149)","48 (6,433)","21 (18,707)","36 (3,159)","19 (7,494)",--,"27 (10,819)","44 (9,756)","41 (7,081)",--,"42 (6,714)","29 (4,989)","40 (3,231)","16 (3,917)","39 (7,756)",--,"22 (4,843)",--,--,"16 (3,363)","22 (3,425)",--,--,--,--,--,--,--,--,--,--
2014/03/23,"20 (3,156,101)","17 (939,082)","32 (332,235)","18 (266,557)","11 (442,481)","32 (117,270)",--,"45 (118,630)",--,"20 (215,177)","42 (62,778)","21 (45,939)","8 (22,706)","44 (41,592)","12 (93,519)","39 (19,835)",--,"5 (35,600)","4 (17,043)","39 (14,098)",--,--,"21 (20,936)","47 (7,484)","21 (18,448)","35 (3,303)","25 (6,828)",--,"29 (9,768)","45 (10,100)","43 (7,147)",--,"45 (6,662)","39 (4,226)","44 (3,266)","21 (3,602)","46 (6,432)",--,"24 (4,728)",--,--,"18 (3,509)","23 (3,338)",--,--,--,--,--,--,--,--,--,--
2014/03/30,"23 (3,052,855)","20 (896,647)","34 (308,346)","19 (248,837)","11 (454,005)","35 (111,283)",--,"46 (120,391)",--,"22 (192,234)","38 (66,415)","18 (55,276)","10 (21,522)","45 (42,713)","16 (87,824)","44 (19,053)",--,"4 (34,916)","12 (15,461)","41 (14,814)",--,"44 (2,284)","22 (19,184)","50 (8,108)","21 (19,284)",--,"27 (7,100)",--,"40 (9,601)","44 (10,340)","41 (7,605)",--,--,"43 (4,435)","48 (3,117)","22 (3,322)",--,--,"23 (4,159)",--,--,"24 (2,864)","28 (2,995)",--,--,--,--,--,--,--,--,--,--
2014/04/06,"26 (3,061,491)","19 (910,834)","34 (295,551)","19 (240,955)","13 (438,376)","35 (108,167)",--,--,--,"26 (185,500)","36 (73,240)","21 (53,261)","14 (21,967)","40 (48,211)","17 (87,432)","41 (20,700)",--,"4 (37,193)","14 (15,494)","37 (16,445)",--,"26 (3,296)","25 (19,947)","46 (9,731)","24 (21,510)","41 (3,468)","27 (7,783)","45 (45,249)","29 (10,421)","39 (12,435)","38 (9,001)",--,"46 (12,152)","34 (5,742)","31 (4,119)","36 (2,825)",--,--,"27 (4,188)",--,--,"29 (2,702)","23 (3,219)",--,--,--,--,--,--,--,--,--,--
2014/04/13,--,"22 (843,365)",--,--,--,"40 (101,310)","21 (7,309)",--,--,--,"39 (73,519)",--,"15 (22,212)","42 (45,651)",--,"45 (21,946)",--,"9 (34,346)","14 (15,643)","37 (16,569)",--,"42 (2,569)","28 (19,876)","39 (11,079)","23 (19,815)","41 (3,806)","30 (7,408)","48 (45,908)","27 (13,486)","36 (13,564)","43 (9,552)",--,"45 (14,179)","38 (5,892)",--,"30 (3,045)",--,--,"30 (3,975)",--,--,--,"39 (2,857)",--,--,--,--,--,--,--,--,--,--
2014/04/20,--,"26 (790,111)",--,--,--,--,"21 (15,093)",--,--,--,"42 (63,207)",--,"19 (20,504)","43 (46,166)",--,"45 (22,099)",--,"12 (31,671)","15 (15,489)","39 (16,408)",--,"40 (2,529)","27 (18,002)","42 (10,897)","23 (20,220)","35 (4,354)","36 (6,415)",--,"28 (13,723)","37 (13,985)","44 (8,219)",--,"50 (13,991)","49 (4,961)",--,"31 (2,853)",--,--,"50 (2,687)",--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/04/27,--,"27 (788,840)",--,--,--,--,"24 (14,532)",--,--,--,"39 (81,365)",--,"21 (21,152)","47 (50,109)",--,"49 (22,239)",--,"12 (31,800)","14 (17,570)","37 (16,854)",--,"21 (4,990)","28 (18,062)","24 (21,323)","22 (20,160)","41 (4,146)","34 (7,160)",--,"29 (12,918)","36 (16,313)","19 (18,117)",--,--,"18 (11,608)","50 (3,458)","30 (3,028)",--,"12 (5,856)",--,--,--,--,--,--,"15 (2,928)",--,--,--,"43 (1,071)",--,--,--,"49 (1,021)"
2014/05/04,--,"29 (796,959)",--,--,--,--,"26 (16,118)",--,--,--,"39 (83,003)","19 (55,346)","22 (20,620)","42 (51,325)",--,"48 (21,670)",--,"18 (30,760)","19 (15,778)","32 (19,011)","37 (4,809)","21 (4,686)","27 (18,461)","30 (18,533)","26 (19,097)","39 (4,583)","36 (7,029)",--,"27 (13,062)","39 (15,601)","21 (16,432)",--,--,"24 (9,698)","48 (3,731)","30 (3,176)",--,"22 (4,711)",--,--,--,--,--,--,"17 (2,840)",--,--,--,--,--,--,--,--
2014/05/11,--,"40 (748,868)",--,--,--,--,"26 (22,885)",--,--,--,"47 (94,112)","14 (57,915)","19 (22,244)","47 (52,616)",--,"48 (23,554)",--,"23 (28,969)","14 (17,275)","32 (20,325)","46 (6,006)","27 (4,288)","28 (20,408)","34 (18,048)","28 (20,672)","38 (4,970)","30 (8,203)",--,"35 (12,516)","48 (17,785)","28 (15,330)",--,--,"29 (8,987)","49 (3,823)","42 (3,035)",--,"28 (4,486)",--,--,--,--,--,--,"29 (2,488)",--,--,--,--,--,--,--,--
2014/05/18,--,--,--,--,--,--,"30 (26,924)",--,--,--,--,"13 (58,744)","24 (19,761)",--,--,--,--,"24 (27,484)","17 (16,407)","38 (20,521)",--,"35 (4,253)","34 (20,082)","42 (17,034)","28 (21,512)","50 (4,417)","37 (7,671)",--,"39 (13,672)","49 (18,441)","45 (13,312)",--,--,"38 (8,698)",--,"48 (2,726)",--,"34 (4,394)",--,--,--,--,--,--,"35 (2,388)",--,--,--,--,--,--,--,--
2014/05/25,--,--,--,--,--,--,"33 (30,707)",--,--,--,--,"18 (53,710)","29 (19,615)",--,--,--,--,"27 (25,958)","17 (15,811)","43 (18,805)",--,"38 (4,327)","35 (20,140)","47 (16,752)","35 (18,916)","48 (4,174)",--,--,--,--,"46 (14,155)",--,--,"45 (8,262)",--,"49 (2,552)",--,"42 (4,344)",--,--,--,--,--,--,"45 (2,268)",--,--,--,--,--,"39 (2,230)",--,--
2014/06/01,--,--,--,--,--,--,"38 (31,732)",--,--,--,--,"18 (53,351)","29 (19,507)",--,--,--,--,"34 (22,536)","23 (15,781)","42 (18,343)",--,"41 (4,284)","40 (18,110)","49 (16,960)","40 (18,130)","47 (4,509)",--,--,--,--,"47 (13,947)",--,--,"46 (8,296)",--,"50 (2,341)",--,"48 (4,179)",--,--,--,--,--,--,"47 (2,329)",--,--,--,--,--,"45 (2,128)",--,--
2014/06/08,--,--,--,--,--,--,"40 (33,281)",--,--,--,--,"23 (44,625)","33 (19,364)",--,--,--,--,"39 (21,204)","27 (14,930)",--,--,"46 (4,013)",--,"49 (16,450)","46 (15,157)",--,--,--,--,--,--,--,--,"50 (8,658)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/06/15,--,--,--,--,--,--,"38 (35,574)",--,--,--,--,"28 (40,592)","33 (18,894)",--,--,--,--,"41 (21,090)","29 (13,967)",--,--,"47 (3,717)",--,"48 (15,957)","50 (14,046)",--,--,--,--,--,--,--,--,"47 (7,945)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
