Date,Global,US,GB,DE,CA,SE,NL,DK,NO,AU,PL,IT,PH,IE,FI,AT,CH,BE,ES,FR,NZ,SG,HU,CZ,PT,MY,HK,JP,TW,IS,SK,TH,VN,RO,LT,LV,KR,GR,AE,EE,ZA,LU,BG,CY,ID,MT,PA,UA
Total,567324452,157421911,59611370,47095806,35638892,29295827,22712480,21743729,20776692,16210950,10768472,8854475,7694098,6462165,5528928,5434213,5206949,4309234,3745469,3504676,3357264,2776308,2400384,2332204,2015954,1462383,1384289,1188914,1125781,1040712,1022130,977368,877510,824164,608755,606005,490357,476737,431235,427540,349604,345924,208014,188503,108145,86518,34542,31888
Peak,"15 (29,149,096)","15 (6,363,918)","17 (3,097,012)","14 (3,224,918)","12 (1,709,066)","8 (1,082,519)","20 (1,209,208)","5 (719,212)","11 (581,702)","15 (1,367,655)","18 (621,562)","53 (723,451)","38 (844,181)","22 (344,744)","9 (277,324)","10 (313,033)","9 (322,979)","14 (351,138)","92 (505,346)","49 (937,877)","20 (233,071)","15 (180,388)","13 (207,484)","17 (140,540)","25 (153,341)","47 (142,431)","9 (85,574)","32 (349,072)","56 (144,830)","20 (35,839)","22 (63,807)","81 (176,026)","24 (79,394)","25 (65,341)","18 (42,050)","11 (36,756)","40 (53,767)","33 (36,231)","20 (43,896)","17 (22,223)","50 (114,615)","14 (24,992)","39 (16,293)","17 (12,998)","180 (108,145)","25 (10,491)","165 (13,602)","128 (17,830)"
2014/11/30,--,--,--,--,--,"149 (110,602)",--,"83 (62,275)","126 (66,322)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/07,"192 (989,220)",--,--,--,--,"89 (169,923)",--,"32 (145,435)","57 (140,244)",--,--,--,--,--,"190 (21,134)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/14,"200 (1,040,668)",--,--,--,--,"82 (173,943)","137 (58,944)","48 (119,960)","66 (128,594)",--,--,--,--,--,"181 (23,089)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/21,"189 (1,086,080)",--,--,--,--,"78 (197,616)","122 (62,535)","58 (91,360)","55 (143,166)",--,--,--,--,--,"151 (28,839)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014/12/28,"187 (1,130,573)",--,--,"125 (128,806)",--,"87 (187,715)","115 (76,721)","73 (68,599)","80 (98,234)",--,--,--,--,--,"121 (33,917)","130 (5,740)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"154 (2,108)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/26,--,--,--,--,--,"181 (99,958)",--,"90 (84,434)","119 (71,368)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"86 (3,293)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/03,"109 (2,294,887)","114 (800,292)","126 (203,455)",--,"74 (85,225)","51 (321,838)",--,"21 (230,294)","41 (209,518)",--,--,--,--,"136 (12,235)","158 (31,102)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"49 (5,897)",--,--,--,--,--,"192 (1,790)",--,"139 (2,593)",--,--,--,--,--,--,--,--,--,--
