Date,JP,TW,HK,IE,PH,SG,MY,TH
Total,725495,50144,29679,26139,19956,15198,14370,14032
Peak,135,32,28,197,169,34,41,146
2013/04/28,,,32,,,34,43,
2013/05/05,,,34,,,37,41,
2013/05/12,,,34,,,37,50,
2013/05/19,,,28,,,37,47,
2013/05/26,,,32,,,42,,
2013/06/02,,,31,,,,49,
2013/06/09,,,50,,,,,
2013/06/16,,,46,,,,,
2013/06/23,,,38,,,,,
2013/06/30,,,43,,,,,
2013/07/07,,,43,,,,,
2013/07/21,,,49,,,,,
2013/09/29,,42,,,,,,
2013/10/06,,39,,,,,,
2013/10/13,,35,,,,,,
2013/10/20,,32,,,,,,
2013/10/27,,34,,,,,,
2013/11/03,,35,,,,,,
2013/11/10,,37,,,,,,
2013/11/17,,45,,,,,,
2014/10/26,,192,147,,,,,
2014/11/02,,166,135,197,169,,174,
2017/06/15,,,,200,,,,
2017/08/31,178,,,,,,,174
2017/09/07,160,,,,,,,146
2017/09/14,168,,,,,,,
2017/09/21,194,,,,,,,
2017/09/28,193,,,,,,,
2017/10/05,197,,,,,,,
2018/11/22,193,,,,,,,
2019/05/02,157,,,,,,,
2019/05/09,162,,,,,,,
2019/05/16,178,,,,,,,
2019/05/23,175,,,,,,,
2019/05/30,176,,,,,,,
2019/06/06,169,,,,,,,
2019/06/20,135,,,,,,,
2019/06/27,170,,,,,,,
2019/07/04,189,,,,,,,
