Date,Global,US,GB,DE,CA,NL,SE,AU,IT,PL,NO,FR,ES,DK,PH,MX,IE,JP,BE,AT,CH,FI,NZ,CZ,BR,HU,SG,PT,MY,GR,TW,SK,HK,CL,TH,RO,ID,VN,IS,CR,PE,LT,ZA,GT,RU,LV,KR,AE,EC,UA,EE,LU,AR,BG,PA,DO,HN,CY,SV,CO,MT,TR,KZ,BY,BO,VE,NI,IN,SA,UY,PY,EG,AD
Total,1522074294,396970874,179934193,150331466,67442435,66685541,62428057,52000636,41052137,36602527,36590061,32874135,30716961,29435699,25692400,21997701,18898960,18457145,15892566,14113929,13530373,11909938,10562795,8309779,7103242,6601477,6569152,6322635,4295058,3374955,3127695,3092526,3075705,2983394,2830052,2676216,2522465,2471100,2174026,1836153,1795735,1584710,1579735,1520251,1442312,1413329,1401513,1235057,1233414,1205458,1081062,971452,843078,810952,807252,646212,615434,519555,359687,334987,267928,242822,222857,190955,181005,175877,149607,130161,80880,73726,56741,13246,5455
Peak,1,1,1,1,1,1,1,1,3,1,1,2,13,1,3,62,1,1,1,1,1,2,1,1,78,1,1,1,8,1,13,1,1,37,30,1,63,10,1,27,32,1,4,45,9,1,5,1,37,10,2,1,151,1,24,53,50,1,95,118,1,78,34,37,62,117,39,192,116,170,127,143,12
2013/12/08,50,34,20,,,,28,,,,,,,44,,,33,,,37,,,,,,,,,,34,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/15,36,29,13,,,33,22,,,36,,,,43,,,22,,45,31,,,,,,,,,,27,,,47,,,,,,,,,10,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/22,22,24,10,36,,18,18,,23,12,,,29,39,,,21,,26,19,50,,,19,,17,36,35,36,20,,7,19,,,,,,37,,,22,,,,21,,,,,49,,,,,,,,,,,,,,,,,,,,,,
2013/12/29,21,20,11,26,,12,21,29,17,14,,,19,39,,,22,,13,21,30,,48,22,,9,20,18,27,19,46,11,14,,,,,,46,,32,18,,,,16,,,,,37,,,,,,,,,,,,,,,,,,,,,,
2014/11/30,138,96,91,146,193,147,57,,,,163,,,96,,,198,,134,170,,,,,,,,,,142,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,73,36,15,98,91,91,17,106,102,84,91,,,51,140,,76,,105,83,157,163,120,115,,118,170,198,,62,,95,182,,,,,,61,,,115,,,,130,,,,,147,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,60,28,13,108,76,50,14,90,81,63,92,,,75,129,,55,,79,69,129,131,93,112,,101,127,112,148,63,199,72,106,,,,,,61,,,100,,,,74,,,,,144,,,,,,,,,,64,,,,,,,,,,,,
2014/12/21,49,15,6,76,104,47,9,36,89,48,52,,114,74,158,,51,,60,54,97,101,34,94,,93,146,116,184,81,,57,121,,,,,,59,,200,112,,138,,108,,,,,129,,,,,,158,,166,,37,,,,,,,,,,,,
2014/12/28,24,10,3,53,31,20,8,6,25,13,47,95,55,54,57,187,27,,24,28,21,52,10,30,,7,47,53,50,18,80,18,22,,,,,,35,126,95,37,,80,,27,,,111,,41,10,,38,107,133,97,10,111,,21,,,,111,,,,,182,,,
2015/01/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/17,13,24,5,20,27,8,15,39,19,5,14,86,56,19,44,,5,,13,12,27,40,35,7,,17,37,30,44,10,45,6,30,,,,,,7,181,199,16,,139,,19,,,197,,18,15,,25,110,144,117,11,184,,13,176,,,184,,,,,,178,,
2015/12/24,6,17,4,4,11,3,4,15,6,1,10,28,51,5,26,156,4,,5,1,6,13,9,2,174,1,22,7,21,7,14,1,8,,,,,,5,144,120,9,,98,,5,,,129,,8,5,,12,77,105,94,7,140,184,6,139,,,109,,95,,,199,129,,
2015/12/31,44,54,23,53,44,11,51,51,31,49,44,108,55,104,67,,35,,28,48,47,75,67,65,,50,55,51,63,19,54,61,45,,,,,,67,,,54,,,,45,,,,,79,42,,66,165,182,200,22,,,52,192,,,,,,,,,,,
2016/11/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/10,,,,,,,176,,,,82,,,78,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/17,,,144,,,,120,,,91,69,,,70,,,147,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/24,120,116,73,170,107,133,65,,,126,56,,,49,,,64,,,108,,166,,,,,,,,109,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,
2016/12/01,57,55,28,56,57,81,15,115,142,59,15,,,15,134,,33,,121,28,121,75,99,69,,88,131,120,196,50,,80,165,,,,,,15,,,93,,,,79,,,,,106,70,,84,,,,73,,,57,,,,,,,,,,,,
2016/12/08,23,39,5,25,34,24,10,55,36,12,9,162,77,10,86,,9,,37,10,42,45,42,20,,24,64,50,88,27,92,20,56,,,,135,,11,,,43,,141,,36,,,,,51,24,,49,97,140,144,28,174,,22,,,,,,197,,,,,,
2016/12/15,24,40,4,20,36,5,11,47,23,10,7,127,60,13,78,,6,,19,11,33,39,34,19,,20,57,33,73,25,81,15,44,,,,136,,10,,,36,,141,,49,,,,,46,22,,54,91,126,113,28,162,,23,,,,,,175,,,,,,
2016/12/22,13,26,2,11,19,4,6,27,10,2,3,66,51,12,59,194,3,,8,2,15,17,23,6,,5,46,19,56,17,56,4,19,,,,102,,7,105,121,22,,97,,15,,,130,,24,11,,31,70,99,87,20,112,175,11,156,,,190,,106,,,,,,
2016/12/29,11,30,1,2,10,3,6,9,7,5,5,26,18,11,42,177,3,,1,3,3,19,9,6,,2,26,17,48,9,43,5,6,,,,77,,11,85,89,10,,76,,6,,,113,,16,3,,15,66,75,81,6,112,192,11,78,,,144,,76,,,,,,
2017/01/05,,,,,,,,,,,181,,53,,,,,,124,,,,,,,,181,122,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
