Date,Global,US,GB,DE,CA,NL,SE,AU,DK,PL,PH,NO,IT,ES,IE,JP,FR,AT,CH,BE,FI,NZ,SG,CZ,HU,PT,TH,MY,HK,VN,TW,GR,SK,RO,KR,IS,LT,LV,ZA,AE,ID,MX,EE,LU,BG,UA,RU,CL,CY,CR,PA,EC,BR,MT,PE,GT,AR,DO,TR,HN,CO,SA,UY,BO,SV,PY,NI,AD
Total,853820382,229625029,100419333,82457098,41993483,40546260,30874973,30017685,23665160,23102459,20848910,18176451,15358939,10918713,10839500,9932632,8591452,8393837,8144315,7485867,7392619,5747174,4650966,4227593,4067709,3321931,2837747,2717472,2259976,2227501,2012430,1994912,1675174,1516303,1308740,1173729,1047695,938654,771307,744343,722504,696459,692635,520433,500239,375777,339442,334084,322406,283384,217515,196583,172733,143559,99814,93963,76635,66518,57331,39928,36730,11391,7061,5988,5830,4325,4202,1257
Peak,3,5,5,6,5,3,4,3,3,3,4,9,28,53,5,3,38,4,3,3,4,4,2,4,4,6,46,12,3,14,9,6,7,8,8,12,5,4,12,3,117,72,6,6,7,22,39,111,3,85,44,65,61,7,57,52,105,40,51,47,114,200,90,48,54,87,45,41
2014/11/30,,,,,76,111,,,125,,193,167,,,,,,,,,,,,,,,,,185,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,69,59,73,121,32,53,64,85,29,75,33,60,98,,64,,196,98,80,92,103,90,49,30,55,97,,51,28,,63,21,37,,,65,32,43,,,,,57,,52,,,,,,141,,,34,,197,,157,119,135,,,,,,,,
2014/12/14,44,48,61,97,19,14,51,55,19,50,18,51,74,141,51,,125,73,56,53,73,55,24,19,38,71,,29,13,,29,16,16,,,44,18,24,,,,144,30,26,28,,,,12,150,70,149,111,21,130,102,161,101,78,95,166,,127,104,109,132,,
2014/12/21,28,35,53,83,13,5,36,49,17,27,7,32,53,99,43,,112,60,42,29,60,40,13,9,19,51,,20,7,,16,11,9,,,34,10,13,,,,109,22,16,15,,,162,8,123,60,106,93,17,106,72,142,63,62,65,133,,112,83,82,97,,
2014/12/28,16,17,47,60,6,3,21,18,14,12,4,28,29,53,22,,55,40,14,9,40,24,7,6,9,29,,12,4,,9,6,8,,,23,5,7,,,,72,11,7,13,,,111,4,85,44,65,61,9,57,52,105,40,51,47,114,,90,48,54,87,45,
2015/01/04,139,,,,140,45,110,157,93,,71,104,139,,174,,,,198,70,,143,110,125,,,,110,108,,152,58,,,,,111,148,,,,,182,,,,,,,,,,,,,,,170,,,,,,,,,,
2015/01/11,,,,,,76,,,,,134,,,,,,,,,141,,,167,,,,,197,178,,,180,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/01/18,,,,,,142,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/01/25,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/02/01,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/11/26,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/03,136,149,161,,111,175,66,,39,82,,80,,,158,,,196,,,167,,197,93,137,,,,,,,53,120,,,82,109,115,,,,,135,,131,,,,,,,,,128,,,,,,,,,,,,,,
