Date,Global,US,GB,CA,AU,NL,IE,DE,SE,BE,NZ,NO,DK,ZA,CH,PT,AT,AE,IS,SG,LV,LT,LU,EE,CY,SK
Total,1145806104,537583937,158088697,81691735,77183071,40667833,28491614,18298346,12067789,11301141,10783135,8876089,6449616,4130627,4026499,2906735,2822983,621724,437633,413329,265357,231138,196417,158608,110226,21279
Peak,6,2,1,1,1,1,1,39,16,2,2,10,16,33,23,66,24,43,42,134,67,111,47,99,123,199
2022/07/14,,198,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/21,,52,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/28,,63,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/04,,105,,,,,198,,,,,,,,,,,,,,,,,,,
2022/08/11,,55,,,,,170,,,,,,,,,,,,,,,,,,,
2022/08/18,,59,,110,,,87,,,,,,,,,,,,,,,,,,,
2022/08/25,,61,,175,,,119,,,,,,,,,,,,,,,,,,,
2022/09/01,,99,,,,,151,,,,,,,,,,,,,,,,,,,
2022/09/08,,100,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/15,,104,,,,,183,,,,,,,,,,,,,,,,,,,
2022/09/22,,65,,,,,168,,,,,,,,,,,,,,,,,,,
2022/09/29,,93,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/06,,99,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/13,,87,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/20,,43,,139,,,,,,,,,,,,,,,,,,,,,,
2022/10/27,,71,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/03,,66,,159,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,,84,,185,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,,74,,186,,,194,,,,,,,,,,,,,,,,,,,
2022/11/24,,74,,168,,,153,,,,,,,,,,,,,,,,,,,
2022/12/01,,82,,186,,,138,,,,,,,,,,,,,,,,,,,
2022/12/08,,112,,,,,176,,,,,,,,,,,,,,,,,,,
2022/12/15,,142,,,,,147,,,,,,,,,,,,,,,,,,,
2022/12/22,,164,,,,,170,,,,,,,,,,,,,,,,,,,
2022/12/29,,173,,,,,,,,,,,,,,,,,,,,,,,,
2023/01/05,,86,,150,,,88,,,,,,,,,,,,,,,,,,,
2023/01/12,,95,,153,,,96,,,,,,,,,,,,,,,,,,,
2023/01/19,,151,,,,,157,,,,,,,,,,,,,,,,,,,
2023/01/26,,137,,,,,142,,,,,,,,,,,,,,,,,,,
2023/02/02,,154,,,,,141,,,,,,,,,,,,,,,,,,,
2023/02/09,,171,,,,,170,,,,,,,,,,,,,,,,,,,
2023/02/16,,200,,,,,189,,,,,,,,,,,,,,,,,,,
2023/02/23,,,,,,,199,,,,,,,,,,,,,,,,,,,
2023/03/09,,,,,,,193,,,,,,,,,,,,,,,,,,,
2023/03/16,,,,,,,191,,,,,,,,,,,,,,,,,,,
2023/05/18,,,,,,,184,,,,,,,,,,,,,,,,,,,
2023/06/15,,59,,85,,,77,,,,,,,,,,,,,,,,,,,
2023/06/22,,97,,125,,,85,,,,,,,,,,,,,,,,,,,
2023/06/29,,116,,147,,,70,,,,,,,,,,,,,,,,,,,
