Date,Global,MX,CL,BR,AR,PE,AU,NL,ES,FR,BE,CR,CH,CA,SV,GB,CO,HN,NZ,IE,PT,EC,AT,DE,NI,CZ,GT,IL,IT,SE,BO,LU,DK,UY,PY,MT,SK,ZA,IS,LV,AE,LT,CY
Total,1252369498,68478791,61059176,22681986,16089302,16045189,12442427,12393397,12137359,10809082,10520242,9393371,6584125,6509941,5949225,5631888,5098319,4446950,4385682,4312192,4294248,2856923,2113875,1994616,1477530,1390965,1341062,1223750,1050495,1018802,995644,757157,447827,408598,238528,148138,120647,114487,71675,27784,18213,10659,1380
Peak,77,125,85,140,140,138,91,73,135,158,68,95,66,148,108,124,143,115,90,102,110,137,93,186,135,128,167,126,198,166,165,61,122,131,176,101,146,175,160,151,163,183,197
2019/05/09,,166,,,,,,,,,,167,,,172,,197,193,,,,169,,,,,,,,,,,,,,136,,,,,,,
2019/05/16,,161,,,,,,,,,,172,,,173,,,175,,,,172,,,195,,199,,,,,,,,,147,,,,,,,
2019/05/23,,163,,,,,,,,,,167,,,160,,,181,,,,175,,,,,197,,,,,,,,,162,,,,,,,
2019/05/30,,156,,,,,,,,,,166,,,167,,190,174,,,,168,,,184,,200,,,,,,,,,137,,,,,,,
2019/06/06,,156,,,,,,,,,,171,,,169,,,171,,,,172,,,182,,,,,,,,,,,135,,,,,,,
2019/06/13,,147,,,,,,,,,,153,,,155,,193,160,,,,167,,,179,,192,,,,,,,,,152,,,,,,,
2019/06/20,,148,,,,,,,,,,151,,,149,,188,158,,,,163,,,182,,197,,,,,,,,,147,,,,,,,
2019/06/27,,145,,,,,,,,,,151,,,154,,195,158,,,,165,,,176,,185,,,,,,,,,146,,,,,,,
2019/07/04,,149,,,191,190,,,,,,129,,,142,,174,146,,,,156,,,180,,179,,,,191,,,,,134,,,,,,,
2019/07/11,,137,199,197,166,177,,,,,,119,,,135,,152,133,,,,144,,,160,,170,,,,176,,,,,125,,,,,,,
2019/07/18,192,126,178,183,158,165,,,,,,114,,,137,,143,134,,,,148,,,165,,170,,,,188,,,,,119,,,,,,,
2019/07/25,193,125,168,186,157,166,,,,,,115,,,141,,146,142,,,,137,,,185,,167,,,,178,,,,,120,,,,,,,
2019/08/01,199,125,176,,161,184,,,,,,120,,,144,,147,138,,,,147,,,165,,172,,,,187,,,,,118,,,,,,,
2019/08/08,194,131,188,,180,177,,,,,,122,,,142,,152,135,,,,144,,,183,,171,,,,192,,,,,123,,,,,,,
2019/08/15,192,133,193,,194,190,,,,,,131,,,138,,150,143,,,,154,,,174,,187,,,,,,,,,128,,,,,,,
2019/08/22,195,138,175,,186,187,,,,,,127,,,142,,150,143,,,,151,,,,,177,,,,,,,,,121,,,,,,,
2019/08/29,,147,,,,,,,,,,152,,,175,,182,178,,,,174,,,,,,,,,,,,,,119,,,,,,,
2019/09/05,,143,,,,191,,,,,,137,,,152,,164,149,,,,159,,,,,198,,,,,,,,,128,,,,,,,197
2019/09/12,,147,,,,184,,,,,,148,,,148,,169,163,,,,169,,,,,195,,,,,,,,,130,,,,,,,
2019/09/19,,170,,,,187,,,,,,148,,,161,,165,158,,,,173,,,,,,,,,,,,,,130,,,,,,,
2019/09/26,,143,199,,,180,,,,,,144,,,145,,165,149,,,,166,,,,,175,,,,,,,,,121,,,,,,,
2019/10/03,,161,193,,,194,,,,,,145,,,148,,173,147,,,,169,,,,,174,,,,,,,,,121,,,,,,,
2019/10/10,,148,187,,,194,,,,,,128,,,142,,166,133,,,,181,,,184,,170,,,,,,,,,120,,,,,,,
2019/10/17,,146,178,,,193,,,,,,122,,,148,,170,146,,,,178,,,186,,177,,,,,,,,,126,,,,,,,
2019/10/24,,151,,,,189,,,,,,132,,,152,,167,159,,,,163,,,182,,181,,,,,,,,,128,,,,,,,
2019/10/31,,146,,,,192,,,,,,129,,,154,,168,153,,,,178,,,181,,185,,,,,,,,,130,,,,,,,
2019/11/07,,155,,,,197,,,,,,132,,,154,,178,151,,,,183,,,,,180,,,,,,,,,121,,,,,,,
2019/11/14,,154,,,,192,,,,,,128,,,152,,180,136,,,,175,,,,,185,,,,,,,,,126,,,,,,,
2019/11/21,,160,,,,,,,,,,132,,,161,,187,160,,,,181,,,,,200,,,,,,,,,134,,,,,,,
2019/11/28,,167,,,,,,,,,,137,,,173,,194,166,,,,183,,,,,,,,,,,,,,155,,,,,,,
2019/12/05,,179,,,,,,,,,,146,,,175,,195,172,,,,192,,,,,,,,,,,,,,184,,,,,,,
2019/12/12,,181,,,,,,,,,,140,,,178,,191,177,,,,183,,,,,,,,,,,,,,,,,,,,,
2019/12/19,,190,,,,,,,,,,150,,,,,,181,,,,194,,,,,,,,,,,,,,,,,,,,,
2019/12/26,,,,,,,,,,,,162,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,
2020/01/02,,,,,,,,,,,,173,,,,,,185,,,,,,,,,,,,,,,,,,143,,,,,,,
2020/01/09,,182,196,,,,,,,,,154,,,183,,192,164,,,,196,,,,,,,,,,,,,,137,,,,,,,
2020/01/16,,190,188,,,,,,,,,172,,,182,,185,173,,,,,,,,,,,,,,,,,,140,,,,,,,
2020/01/23,,190,187,,,,,,,,,174,,,171,,182,173,,,,198,,,,,,,,,,,,,,160,,,,,,,
2020/01/30,,191,195,,,,,,,,,166,,,166,,186,181,,,,195,,,,,,,,,,,,,,143,,,,,,,
2020/02/06,,189,184,,,,,,,,,158,,,168,,193,171,,,,193,,,,,,,,,,,,,,136,,,,,,,
2020/02/13,,178,171,,183,,,,,,,152,,,160,,185,153,,,,183,,,,,,,,,,,,,,126,,,,,,,
2020/02/20,,183,166,,189,,,,,,180,162,,,165,,193,162,,,,190,,,,,,,,,,,,,,116,,,,,,,
2020/02/27,,187,192,,,,,,,,,177,,,172,,192,174,,,,192,,,,,,,,,,,,,,132,,,,,,,
2020/03/05,,,,,,,,,,,,195,,,192,,,175,,,,,,,,,,,,,,,,,,122,,,,,,,
2020/03/12,,,,,,,,,,,,196,,,190,,,178,,,,,,,,,,,,,,,,,,124,,,,,,,
2020/03/19,,,,,,,,,,,,176,,,185,,,181,,,,,,,,,,,,,,,,,,132,,,,,,,
2020/03/26,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,
2020/04/02,,,,,,,,,,,,200,,,,,200,,,,,,,,,,,,,,,,,,,129,,,,,,,
2020/04/09,,190,199,,191,,,,,,,178,,,178,,193,186,,,,194,,,,,,,,,,,,,,111,,,,,,,
2020/04/16,,,,,191,,,,,,,185,,,192,,195,193,,,,,,,,,,,,,,,,,,111,,,,,,,
2020/04/23,,,191,,184,,,,,,,183,,,199,,193,199,,,,,,,,,,,,,,,,,,103,,,,,,,
2020/04/30,,,187,,180,,,,,,,178,,,193,,,,,,,,,,,,,,,,,,,,,112,,,,,,,
2020/05/07,,193,177,196,171,,,,,,,171,,,185,,187,196,,,,,,,,,,,,,,,,,,126,,,,,,,
2020/05/14,,196,182,200,185,,,,,,,184,,,,,198,197,,,,,,,,,,,,,,,,,,107,,,,,,,
2020/05/21,,191,168,,185,,,,,,,186,,,193,,195,193,,,,198,,,,,,,,,,,,,,102,,,,,,,
2020/05/28,,185,174,,197,,,,,,,181,,,187,,196,184,,,,,,,,,,,,,,,,,,114,,,,,,,
2020/06/04,,192,185,,186,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,121,,,,,,,
2020/06/11,198,184,162,,177,,,,,,,176,,,188,,194,187,,,,196,,,,,,,,,,,,,,112,,,,,,,
2020/06/18,,178,161,,174,,,,,,,178,,,189,,194,184,,,,197,,,,,,,,,,,,,,102,,,,,,,
2020/06/25,199,164,148,,164,198,,,,,,163,,,180,,196,171,,,,189,,,,,,,,,,,,,,111,,,,,,,
2020/07/02,,167,160,,174,,,,,,,160,,,186,,200,171,,,,198,,,,,,,,,,,,,,101,,,,,,,
2020/07/09,,163,159,,181,,,,,,,163,,,187,,197,171,,,,194,,,196,,,,,,,,,,,,,,,,,,
2020/07/16,,167,153,,186,,,,,,,158,,,180,,191,171,,,,184,,,,,,,,,,,,,,,,,,,,,
2020/07/23,,180,159,,,,,,,,,169,,,181,,194,168,,,,198,,,,,,,,,,,,,,,,,,,,,
2020/07/30,,178,162,,198,,,,,,,170,,,169,,186,175,,,,190,,,,,,,,,,,,,,,,,,,,,
