Date,Global,US,GB,DE,CA,NL,SE,AU,IT,DK,PL,IE,NO,AT,CH,FR,BE,NZ,CZ,FI,JP,HU,ES,SK,PT,SG,IS,RO,LT,LV,LU,AE,ZA,HK,EE,GR,CY,BG
Total,293099505,66666563,44746209,41916299,16203354,12047784,11692900,10746176,8193115,7337513,6851813,5283260,5232919,4771248,3256702,2704622,2538325,2481464,2172055,1908187,1413216,1067297,993526,806945,582921,438694,413033,365506,289705,267498,217695,212815,193454,189402,174395,135582,104886,51123
Peak,16,35,13,9,18,19,20,10,32,16,32,12,24,7,14,45,16,8,13,17,86,24,155,19,50,59,30,73,28,23,13,48,80,101,34,144,41,89
2020/11/19,,,,,,,,,,187,,,,132,,,,,,,,,,,,,158,,,,,,,,,,,
2020/11/26,,,113,105,100,,86,,,79,,98,123,40,,,,,,,,,,,,,97,,,,,,,,,,,
2020/12/03,101,95,42,23,65,112,24,,,31,,51,52,12,55,,,144,68,,,,,72,,,63,,157,144,84,,,,184,,139,
2020/12/10,56,66,29,14,41,51,29,108,84,29,67,35,45,10,32,,103,73,47,,,138,,41,,,50,179,116,100,44,,,,136,,97,
2020/12/17,67,87,28,17,47,35,30,84,132,28,50,32,39,10,39,,78,61,30,54,,113,,31,,,42,154,80,62,50,,,,123,,90,
2020/12/24,24,35,20,9,18,20,23,11,54,20,32,21,24,7,16,190,28,8,13,17,132,24,155,19,50,118,38,73,31,23,21,55,134,108,51,144,41,144
2020/12/31,61,84,22,33,27,21,110,45,90,139,,35,81,33,43,,61,105,162,,,122,,163,181,,95,,98,89,39,149,,181,,155,63,
2021/11/18,,,,,,,,,,161,,,,155,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,,,169,145,123,,157,,,79,,105,,86,,,,,,,,,,,,,136,,,,,,,,,,,
2021/12/02,90,81,41,39,54,170,37,,,30,,43,70,23,71,,,167,50,106,,,,74,,,74,,,124,76,,,,154,,,
2021/12/09,64,64,24,32,38,74,33,97,137,25,116,25,56,17,53,,153,70,41,57,,143,,41,,,51,,102,79,65,,,,83,,141,
2021/12/16,57,58,19,29,34,54,32,59,162,26,77,20,51,21,36,,84,48,43,51,,114,,73,,,45,,90,84,39,157,,,110,,110,
2021/12/23,31,46,17,17,26,40,20,26,112,21,37,15,24,14,28,,49,25,31,18,169,45,,60,122,128,34,115,46,35,33,85,,175,48,,63,133
2021/12/30,27,57,13,12,25,22,28,10,60,21,79,13,30,12,14,182,32,14,60,25,165,39,180,76,68,70,46,154,35,29,27,59,80,101,44,188,48,91
2022/11/17,,,,,,,,,,125,,,,152,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/24,,,120,91,158,,94,,,51,,79,166,42,,,,,,199,,,,,,,105,,,,,,,,,,,
2022/12/01,148,157,38,44,104,150,59,,,26,,35,77,22,64,,,,76,114,,,,104,,,64,,,112,77,,,,127,,,
2022/12/08,78,120,17,30,67,70,39,87,181,21,75,18,47,14,36,,88,49,39,64,,122,,44,,,47,,99,86,41,,,,92,,174,
2022/12/15,62,82,14,27,58,29,30,59,144,21,49,15,40,15,22,,44,36,31,64,,72,,30,,,35,,53,50,32,115,,,59,,113,
2022/12/22,37,49,14,23,28,28,25,27,110,18,38,14,36,15,21,,36,15,24,42,,43,,25,140,129,30,136,47,45,21,85,,,60,,82,
2022/12/29,22,43,14,15,23,19,26,12,48,16,34,12,37,12,15,74,16,11,33,27,86,26,164,24,63,59,31,130,28,27,13,48,110,123,35,183,41,89
2023/11/16,,,,,,,,,,133,,197,,110,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/23,,,96,124,180,,108,,,61,,61,146,37,,,,,,,,,,,,,132,,,,,,,,,,,
2023/11/30,157,116,30,33,76,132,45,,,37,,29,74,15,45,,,,84,,,,,83,,,80,,,,59,,,,,,,
2023/12/07,52,96,16,19,39,53,26,130,139,32,64,18,36,15,22,,78,59,32,139,,91,,30,,,58,190,82,66,28,,,,71,,177,
2023/12/14,42,71,17,21,32,33,25,89,67,33,54,18,37,14,22,,56,51,32,132,,88,,31,,,47,147,57,47,29,137,,,67,,121,
2023/12/21,33,52,18,17,25,31,25,48,92,30,44,16,37,13,20,182,36,31,23,84,,60,,34,177,149,42,136,56,43,24,111,,,58,,93,
2023/12/28,16,41,15,13,21,19,22,18,32,29,33,15,33,12,16,45,16,16,18,35,183,26,,23,76,63,41,88,31,23,17,48,185,113,34,,55,97
