Date,Global,US,NZ,GB,AU,NO,CA,DK,IS,SE,PT,LV,IE
Total,63993176,59202359,851662,699275,624062,525005,397541,353518,284095,119002,34470,33595,16626
Peak,135,97,75,121,77,131,135,78,58,165,152,173,151
2016/09/15,,144,134,183,133,,177,103,102,,,,
2016/09/22,135,97,75,121,77,131,135,78,61,165,166,195,151
2016/09/29,194,118,121,149,118,189,158,110,58,,152,,
2016/10/06,,152,173,,154,,190,154,75,,191,,
2016/10/13,,170,186,,167,,,166,79,,,,
2016/10/20,,195,,,188,,,,87,,,,
2016/10/27,,,,,,,,,104,,,,
2016/11/03,,,,,,,,,139,,,,
2016/11/10,,,,,,,,,155,,,,
2016/11/17,,,,,,,,,172,,,,
2024/02/01,,,,,,,,,175,,,,
2024/03/21,,,,,,,,,198,,,,
2024/04/18,,196,,,,,,,176,,,,
2024/04/25,,181,,,,,,,175,,,,
2024/05/02,,188,,,,,,,153,,,,
2024/05/09,,197,,,,,,,161,,,,
2024/05/16,,191,,,,,,,149,,,,
2024/05/23,,182,,,,,,,167,,,,
2024/05/30,,169,,,,,,,146,,,,
2024/06/06,,183,,,,,,,162,,,,
2024/06/13,,197,,,,,,,169,,,,
2024/06/27,,,,,,,,,191,,,,
2024/07/04,,,,,,,,,167,,,,
2024/07/11,,,,,,,,,191,,,,
2024/07/18,,,,,,,,,165,,,,
2024/07/25,,,198,,,,,,162,,,,
2024/08/01,,,185,,,,,,181,,,,
2024/08/08,,,192,,,,,,,,,,
2024/08/15,,198,171,,,,,,163,,,,
2024/08/22,,,194,,,,,,191,,,,
2024/08/29,,170,181,,,182,,,145,,,,
2024/09/05,,163,185,,,179,,,123,,,,
2024/09/12,,160,185,,,179,,,97,,,,
2024/09/19,,160,177,,,197,,,109,,,,
2024/09/26,,156,195,,,,,,126,,,,
2024/10/03,,146,,,,,,,108,,,192,
2024/10/10,,139,,,,189,,,95,,,173,
2024/10/17,,154,,,,,,,98,,,184,
2024/10/24,,129,,,,,,,113,,,,
2024/10/31,,151,194,,,,,,122,,,,
