Date,Global,US,GB,CA,AU,IE,DE,NZ,NL,FR,CH,BE,HU,AT,SE,SK,LV,PT,LT,CZ,EE,LU,FI,RO,DK,GR,IS,PL,AE,MT,ZA,CY,BG,IT
Total,227738346,123721720,23996732,19845706,8098752,2818647,2133482,1692713,1415282,1307099,1154035,1030885,830437,726901,598645,390674,324630,301847,273960,272688,156336,142538,141785,136549,91720,83089,75139,45900,45501,42126,40557,38838,34385,32474
Peak,52,22,41,22,27,37,123,32,114,102,56,63,37,79,179,67,29,117,48,75,48,37,138,87,187,81,145,123,142,61,152,78,119,139
2014/12/21,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,,85,,61,,102,,,,102,145,198,102,,,110,121,,145,178,,,,,,134,150,123,,,,,,139
2015/12/24,,154,,,,,,,,146,,,,,,198,115,,,,,,,,,,,,,,,,,
2016/12/08,,155,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/15,,153,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/22,,124,,113,,199,,,,,,,,,,185,149,,135,,,,,,,,,,,,,,,
2016/12/29,137,84,102,59,126,110,,120,,160,95,109,87,,,161,83,,110,200,143,87,,,,123,,174,,168,,,181,
2017/11/30,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/07,,133,,,,,,,,,,,191,,,140,131,,128,,,,,,,185,,,,157,,,,
2017/12/14,,115,,152,,,,,,,,,167,,,113,103,,104,152,163,183,,,,151,,,,141,,,,
2017/12/21,,106,187,129,,179,,,,,,,115,,,92,96,,92,127,146,198,,,,155,,,,142,,,,
2017/12/28,139,80,72,62,86,84,,102,,,,83,50,,,83,47,,68,87,90,72,,,,105,,,,85,,109,140,
2018/11/29,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/06,,146,,121,,,,,,,,,,,,,176,,199,,,,,,,193,,,,,,,,
2018/12/13,,120,165,86,,168,,,,,,,,,,,148,,125,,194,,,,,166,,,,189,,193,,
2018/12/20,170,92,128,70,148,132,,152,,,,,96,,,116,82,,95,143,112,146,,173,,147,,,,137,,139,,
2018/12/27,75,51,58,30,49,72,,48,129,,85,68,37,,191,71,39,162,48,75,59,52,,87,,81,154,,,71,,78,119,
2019/12/05,,89,158,101,,200,,,,,,,,,,181,118,,152,,169,,,,,,,,,146,,,,
2019/12/12,,105,140,87,,150,,,,,,,167,,,130,134,,121,,185,173,,178,,,,,,107,,167,,
2019/12/19,181,88,129,71,,124,,,,,,,149,,,132,89,,93,177,138,148,,,,,,,,89,,140,,
2019/12/26,70,41,60,27,53,71,,59,160,,98,85,47,,,82,39,162,50,102,65,48,,98,,143,,,165,61,152,79,155,
2020/11/26,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/03,,84,181,82,,188,,,,,,,,,,,181,,,,,,,,,,,,,,,,,
2020/12/10,181,60,122,53,,104,,,,,,,,,,149,141,,192,,,144,,,,,,,,,,,,
2020/12/17,169,73,102,59,,103,,173,,,,,157,,,142,83,,140,,170,142,,,,,,,,,,,,
2020/12/24,65,27,49,22,50,56,,49,,,92,99,37,142,189,67,29,136,57,132,64,49,,101,,,148,,142,,,115,,
2020/12/31,164,69,62,37,89,88,,,,,193,199,166,,,,114,,170,,,81,,,,,,,,,,136,,
2021/11/25,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/02,,69,164,78,,138,,,,,,,,,,,193,,,,,,,,,,,,,,,,,
2021/12/09,179,54,83,54,,74,,,,,,,,,,,118,,194,,174,170,,,,,,,,,,,,
2021/12/16,140,49,72,49,180,64,,139,,,,,,,,,154,,,,,144,,,,,,,,,,,,
2021/12/23,76,26,50,30,70,44,,71,,,115,198,108,172,,143,58,,105,,106,84,,197,,,170,,,,,187,,
2021/12/30,74,29,44,27,38,37,186,49,161,,66,81,91,139,,,46,165,86,,100,57,,,,,,,186,,199,145,,
2022/11/24,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/01,,71,,93,,,,,,,,,,194,,,195,,,,,,,,,,,,,,,,,
2022/12/08,,68,96,65,,86,,,,,193,,,161,,197,157,,,,,118,,,,,,,,,,,,
2022/12/15,154,61,76,62,152,62,,137,,,128,,,138,,149,105,,155,,186,87,,,,,197,,,,,,,
2022/12/22,89,35,57,34,69,52,,61,,,105,156,108,108,,108,78,,139,171,171,66,,,,,147,,,,,,,
2022/12/29,67,27,42,25,33,40,123,32,122,130,56,63,53,79,,123,44,136,74,,88,37,148,,,,145,,,,,175,192,
2023/11/30,,54,,88,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/07,189,47,51,50,,65,,164,,,117,,184,151,,126,107,,136,,142,97,,,,,,,,,,,,
2023/12/14,150,47,57,41,182,55,,150,,,166,,179,186,,129,76,,105,,137,93,,,,,,,,,,,,
2023/12/21,87,28,50,30,69,46,,74,,,110,191,132,146,,119,60,,87,,108,72,,,,,160,,,,,,,
2023/12/28,52,22,41,23,27,42,153,33,114,122,64,73,64,94,179,104,30,117,49,,48,37,138,179,187,,146,,188,,,142,185,
