Date,Global,US,ID,PH,MY,BR,AU,CA,GB,IN,SG,ZA,NZ,TH,DE,MX,NL,FR,PT,DK,SE,NO,VN,CL,KR,AE,PE,TW,BE,AR,CH,ES,IE,CO,HK,DO,IL,CR,AT,SA,PL,PA,GT,EC,RO,CZ,FI,HU,HN,GR,BO,MA,PY,SV,LT,IS,SK,EG,LU,LV,UY,CY,NI,BG,UA,EE,NG
Total,585422314,163744642,60867330,47639639,27141795,21765664,20279857,19102614,15445104,13321028,10530448,8401352,8387764,8276968,5672501,5552076,4710617,3161879,2622808,2550246,2463331,2447753,2340851,2200270,2100619,1755182,1672482,1654883,1627220,1564528,1493532,1301256,1297026,929843,847361,669318,631142,583527,565171,560256,557474,433128,346285,332023,293366,289372,285791,279029,262519,261224,254076,251101,245878,226497,220311,181985,180224,179373,167290,131570,124140,119721,118362,73444,72420,69620,52847
Peak,8,9,1,1,1,41,9,12,34,8,1,3,2,6,71,105,47,122,10,22,54,32,39,79,13,4,60,53,37,97,23,128,39,75,33,25,46,45,50,20,157,39,91,88,33,89,112,68,53,79,73,75,93,78,27,31,44,57,16,39,103,15,62,54,139,55,127
2021/01/07,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/01/14,,,41,,93,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/01/21,,,35,,35,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/01/28,,,35,106,30,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/02/04,,,39,56,27,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/02/11,,149,38,26,16,,,129,,,31,134,195,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/02/18,58,47,10,1,3,,169,43,,,6,54,77,,,,,,,,,,,,144,23,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,183,,,151,,,,,
2021/02/25,29,25,1,1,1,,60,21,195,,2,21,43,43,,,,,,146,,,142,,57,7,,164,,,,,,,117,,,,,101,,,,,,,,,,,,,,,147,164,,,90,,,84,,,,,
2021/03/04,20,19,1,1,1,,21,17,143,,1,11,9,6,,,166,,150,123,,118,61,,31,5,,112,,,121,,188,,100,199,,,,89,,,,,,,,,,,,,,,140,133,,,68,184,,63,,,,,
2021/03/11,19,16,2,1,1,113,17,20,90,156,1,11,4,7,,,115,,58,91,179,93,58,,29,7,,59,119,,90,,140,,66,117,,,194,44,,191,,,,,,,,,,192,,,112,105,,183,52,137,,41,,,,,
2021/03/18,9,12,3,1,3,70,11,17,59,49,3,5,2,11,140,,74,169,33,51,129,62,58,,23,5,,56,54,,44,,90,,62,66,200,188,134,53,,100,,,157,,,,186,,,125,,,91,76,,147,34,107,,41,,,,160,
2021/03/25,11,16,2,1,2,47,9,22,56,17,4,3,2,12,112,,66,149,16,51,96,51,53,177,21,7,112,56,55,,34,,73,,50,50,174,93,102,55,,67,,,115,,,149,111,,170,125,,180,66,65,142,135,28,93,,32,198,197,,104,
2021/04/01,9,10,2,2,1,41,9,14,38,9,3,5,2,12,97,,51,155,10,34,86,39,45,103,22,5,89,56,40,,32,,49,167,44,40,100,85,85,48,,58,183,161,82,187,148,108,91,139,98,115,189,128,61,40,94,102,23,67,169,23,142,123,,83,
2021/04/08,8,10,2,3,2,44,10,13,34,9,3,7,2,14,71,147,50,145,11,22,72,32,46,80,18,4,65,55,37,128,23,145,40,90,41,30,54,57,61,38,198,47,105,88,41,101,120,78,61,102,80,95,100,89,44,36,48,91,19,53,115,21,80,75,183,65,
2021/04/15,10,11,2,4,3,49,12,14,38,8,3,6,3,11,73,120,47,122,11,26,54,36,39,79,13,4,60,55,41,97,24,128,39,75,33,26,54,47,55,20,157,39,91,88,36,89,112,69,53,79,73,76,93,78,31,33,44,58,16,44,103,15,62,54,165,55,
2021/04/22,11,9,4,4,3,50,12,12,39,12,4,7,3,13,78,105,56,125,15,29,56,40,43,91,14,7,62,54,49,111,34,139,39,81,45,25,48,45,50,29,169,56,102,98,34,92,117,70,60,93,80,75,99,82,28,35,49,58,19,43,117,16,66,54,163,57,
2021/04/29,12,9,4,4,3,54,13,13,41,12,5,10,4,13,82,110,72,144,15,29,56,44,47,106,14,9,70,53,52,136,38,161,40,82,49,32,46,54,57,37,172,66,121,107,33,93,115,68,65,90,92,83,103,95,27,31,54,57,21,39,136,20,70,56,139,56,
2021/05/06,14,10,6,5,3,69,15,17,42,17,5,12,4,20,135,116,80,169,25,32,67,58,60,129,16,10,80,65,71,163,56,,49,92,50,38,55,68,101,45,,68,135,125,50,120,186,90,78,130,107,113,139,109,33,34,82,80,30,48,158,26,86,101,,78,
2021/05/13,18,14,8,6,5,75,16,21,47,19,6,16,5,25,125,128,84,185,30,53,78,67,64,140,21,11,97,79,77,167,68,,53,113,71,46,67,71,115,54,,66,142,131,71,151,,104,90,138,117,146,139,128,44,41,95,96,32,58,167,32,99,114,,100,
2021/05/20,24,27,8,9,4,82,25,33,60,23,6,31,6,25,148,142,93,183,38,65,90,87,65,153,21,14,109,82,73,183,76,,71,142,76,49,80,76,132,32,,72,172,161,88,166,,123,92,178,135,148,193,140,72,63,107,100,37,83,194,42,104,145,,131,
2021/05/27,31,27,13,18,9,112,34,40,72,42,13,25,11,38,,,144,,48,76,166,119,78,191,36,18,134,95,101,,94,,89,179,97,63,92,101,179,78,,97,,,129,,,186,119,,156,179,,173,149,102,179,143,49,152,,69,123,,,,
2021/06/03,36,27,18,18,10,126,31,39,85,50,13,22,10,39,,,166,,50,92,,143,75,,40,17,134,98,118,,110,,109,188,95,78,99,118,,95,,103,,,171,,,,122,,173,175,,189,126,96,188,165,55,164,,75,140,,,,
2021/06/10,38,33,16,18,10,132,34,40,109,54,13,20,10,40,,,172,,58,111,,156,80,,43,18,154,100,120,,120,,147,,108,76,112,143,,106,,122,,,,,,,151,,,192,,,114,110,,188,63,142,,97,164,,,,
2021/06/17,39,35,16,20,10,136,42,46,137,64,15,24,11,40,,,197,,66,128,,154,88,,46,17,168,122,135,,154,,179,,113,85,115,145,,93,,120,,,,,,,153,,,194,,,138,122,,,80,182,,87,168,,,,
2021/06/24,39,26,20,23,12,146,42,46,125,71,16,22,12,42,,,169,,63,150,,171,89,,44,21,189,154,135,,151,,186,,117,98,130,163,,109,,123,,,,,,,173,,,,,,125,126,,,76,,,88,199,,,,
2021/07/01,46,44,20,29,13,168,53,55,136,88,19,31,14,45,,,,,72,179,,,88,,43,25,,153,150,,175,,,,119,119,,186,,141,,150,,,,,,,197,,,,,,175,,,,83,,,90,,,,,
2021/07/08,45,33,24,31,15,173,52,48,157,100,21,29,14,50,,,,,71,184,,,98,,43,24,,166,187,,197,,,,120,121,,,,154,,158,,,,,,,,,,,,,155,189,,,100,,,94,,,,,
2021/07/15,52,37,29,33,17,,57,53,195,123,24,30,13,47,,,,,83,172,,,102,,52,27,,174,190,,,,,,151,133,,,,165,,175,,,,,,,,,,,,,171,,,,102,,,116,,,,,
2021/07/22,56,41,31,34,17,,60,72,,144,25,30,14,49,,,,,92,,,,96,,50,36,,,,,,,,,187,148,,,,174,,192,,,,,,,,,,,,,,,,,148,,,149,,,,,
2021/07/29,65,44,32,36,18,,68,73,,169,28,34,18,54,,,,,99,,,,101,,65,34,,,,,,,,,,155,,,,161,,,,,,,,,,,,,,,,,,,152,,,165,,,,,
2021/08/05,81,55,33,41,20,,77,85,,183,34,35,21,53,,,,,119,,,,99,,67,36,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,185,,,191,,,,,
2021/08/12,74,49,38,41,23,,71,72,,,36,35,25,70,,,,,113,,,,99,,64,40,,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,159,,,197,,,,,
2021/08/19,77,50,41,56,23,,74,76,,,36,38,28,76,,,,,121,,,,102,,71,43,,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,
2021/08/26,80,54,44,56,23,,86,82,,,41,41,32,71,,,,,123,,,,101,,71,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,196,,,,,
2021/09/02,107,78,44,55,24,,116,113,,,47,69,52,73,,,,,153,,,,96,,99,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,
