Date,Global,GB,FR,TR,DE,NL,BE,PL,CH,IE,AT,IL,AR,CY,ES,CL,LU,BR,BG,LT,IS,MA,EC,IT,UY
Total,54297477,12617776,11517373,10144187,3009971,2975154,2170574,1911928,1421031,1074087,494393,483542,471932,259029,79775,71420,62082,59792,52923,45520,29721,29477,7423,4807,2401
Peak,199,67,45,94,132,95,58,101,61,114,106,123,159,100,200,193,63,179,145,143,150,148,181,226,186
2015/05/28,,,,,,,,,,,,,,,,,,270,,,,,,,
2015/07/09,,,,,,,,,,248,,,,,,,,220,,,,,,,
2015/07/16,,,,,,,,,,,,,,,,,,179,,,,,,,
2015/07/23,,231,,217,,,,,,,,,258,,,,,211,,,,,,226,
2015/08/13,,,,,,,,186,,,,,,,,,,,,,,,,,
2015/08/20,,,,200,,,,167,,,,,,,,,,,,,,,,,
2015/10/08,,,,,,,,,,,,,159,,,,,,,,,,,,186
2015/10/15,,,,,,,,,,,,,191,,,,,,,,,,,,
2015/10/22,,,,170,,,,,,,,,,,,,,,,,,,,,
2015/10/29,,,,141,,,,,,,,,,,,,,,,,,,,,
2015/11/05,,,,117,,,,,,,,,,,,,,,,,,,,,
2015/11/12,,,,144,,,,,,,,,,,,,,,,,,,,,
2015/11/19,,,,190,,,,,,,,,,,,,,,,,,,,,
2015/11/26,,,,188,,,,,,,,,,,,,,,,,,,,,
2015/12/03,,,,184,,,,,,,,,,,,,,,,,,,,,
2015/12/24,,,,199,,,,,,,,,,,,,,,,,,,,,
2016/03/03,,,,,,,,,,,,,200,,,,,,,,,,,,
2016/03/10,,,,,,,,,,,,,172,,,,,,,,,,,,
2016/03/31,,,,,,,,,,,,,,,,193,,,,,,,,,
2016/04/07,,,,,,,,,,,,,191,,200,198,,,,,,,181,,
2016/04/14,,,,,,,,,,,,,189,,,,,,,,,,,,
2016/04/28,,,,,,,,,,,,,176,,,,,,,,,,,,
2016/05/05,,,,,,,,,,,,,184,,,,,,,,,,,,
2016/06/02,,,,,,,,,,,,,194,,,,,,,,,,,,
2022/07/21,,,,177,,,,,,,,,,,,,,,,,,,,,
2022/07/28,,,,163,,,,,,,,,,,,,,,,,,,,,
2022/08/04,,,,170,,,,,,,,,,,,,,,,,,,,,
2022/08/11,,,,161,,,,,,,,,,,,,,,,,,,,,
2022/08/18,,,,145,,,,,,,,,,193,,,,,,,,,,,
2022/08/25,,,,142,,,,,,,,,,,,,,,,,,,,,
2022/09/01,,,,124,,,,,,,,,,,,,,,,,,,,,
2022/09/08,,,,117,,,,,,,,,,176,,,,,,,,,,,
2022/09/15,,,,124,,,,,,,,,,166,,,,,,,,,,,
2022/09/22,,,,112,,,,,,,,,,151,,,,,,,,,,,
2022/09/29,,,,94,,,,,,,,,,146,,,,,,,,,,,
