Date,US,GB,NL,AU,IE,NO,CA,SG,MY,BE,NZ
Total,10578824,8129072,3218141,2936543,2301699,1969589,1544118,824834,392263,373353,64692
Peak,116,54,93,96,30,67,131,120,171,117,177
2024/02/22,,,,,111,177,,,,,
2024/02/29,,,158,,128,191,,,,,
2024/03/07,,154,109,,85,100,,,193,,
2024/03/14,,182,126,,98,114,,,,,
2024/03/21,,184,112,,103,110,,184,171,,
2024/03/28,,,132,,121,159,,176,181,,
2024/04/04,,,198,,154,160,,,,,
2024/04/11,,,,,118,169,,186,,,
2024/04/18,,,178,,124,178,,,,,
2024/07/25,,,,,157,,,,,,
2024/08/01,,,,,166,,,,,,
2024/08/08,,,,,98,172,,164,199,,
2024/08/15,,,,,105,167,,164,,,
2024/08/22,,,,,105,180,,,,,
2024/08/29,,,,,123,140,,,,,
2024/09/05,,198,,188,121,144,,,,,
2024/09/12,,141,,147,86,102,,184,,,
2024/09/19,,118,176,170,71,93,,178,,,
2024/09/26,,108,178,,62,95,,166,,,
2024/10/03,,103,159,,55,108,,179,,,
2024/10/10,157,68,121,161,33,86,168,135,,147,
2024/10/17,116,54,93,96,30,67,131,120,,117,177
2024/10/24,153,62,117,131,37,78,147,166,,132,
2024/10/31,173,87,140,137,47,105,167,175,,174,
