Date,Global,US,PH,GB,AU,CA,ID,SG,MY,MX,IE,BR,IN,TH,ES,DE,AR,NZ,CL,NL,TW,IT,VN,AE,PT,HK,SE,TR,PE,NO,BE,JP,SA,PL,CO,DK,CH,AT,FI,IL,ZA,CR,GR,KR,UY,EC,HU,RO,CZ,SV,PY,PA,HN,LT,SK,EG,BO,LV,DO,BG,EE,IS,CY,NI,GT,LU,MA
Total,357583942,103295485,96756556,16442546,13497883,12792509,9414798,6365751,4605832,3514111,3496797,3192905,3105951,2169625,2049215,2020844,1814552,1533296,1424292,1117691,1115487,883483,756004,690040,683740,643310,597904,542701,539557,503376,499093,478219,473150,385066,351353,311774,267026,260258,254922,242760,220092,203266,179568,179136,161062,158902,158401,158320,151069,102258,99973,98617,97533,88347,78939,77348,72425,61059,55242,54808,52506,49205,47433,44866,43788,34592,13160
Peak,1,1,1,2,1,1,7,1,2,55,2,100,40,6,67,68,59,2,77,63,11,159,11,2,21,10,75,148,64,45,34,118,12,140,96,56,55,38,52,45,31,43,62,23,48,89,52,22,76,52,100,56,43,33,64,64,90,35,101,28,23,23,23,48,135,36,189
2021/11/18,1,1,1,2,1,1,18,1,2,59,2,106,40,7,67,68,59,2,77,63,24,166,14,2,21,10,75,148,64,45,34,,12,140,96,56,55,38,52,70,31,43,62,23,48,89,52,22,80,52,100,56,43,45,64,64,90,38,101,28,23,23,23,48,135,36,
2021/11/25,4,2,1,14,5,3,7,1,2,55,4,100,63,6,82,94,83,7,81,75,11,159,11,5,21,10,85,199,85,47,59,118,21,176,114,86,82,54,58,51,42,53,94,29,52,105,56,36,76,89,148,59,56,33,70,81,96,35,105,35,26,49,24,80,,37,189
2021/12/02,7,2,1,20,10,6,8,1,3,82,6,157,71,8,116,123,108,12,110,112,13,194,14,7,30,15,164,,117,96,55,145,18,,168,146,101,92,96,45,55,88,130,37,86,149,85,73,120,118,194,91,101,44,94,110,137,55,156,48,41,107,28,115,,43,
2021/12/09,16,12,2,45,13,20,23,4,6,,21,,103,18,187,,147,24,161,170,23,,31,9,51,36,,,179,,116,,37,,,,176,147,182,83,87,138,172,57,127,,138,113,,177,,155,137,74,168,181,,94,,90,88,171,53,180,,88,
2021/12/16,22,20,4,55,21,31,36,5,11,,37,,173,27,197,,171,33,194,,40,,64,14,79,53,,,,,150,,50,,,,,,,153,174,172,,78,177,,,168,,,,182,172,111,,,,136,,145,157,,89,,,135,
2021/12/23,40,33,5,75,35,53,42,8,15,,52,,,36,,,,58,,,55,,126,22,118,82,,,,,,,66,,,,,,,,,,,119,,,,,,,,,,190,,,,,,,,,126,,,,
2021/12/30,48,35,7,99,64,86,44,15,19,,59,,,38,,,,89,,,84,,143,28,131,102,,,,,,,58,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,161,,,,
2022/01/06,30,18,10,38,37,35,49,10,22,,18,,,47,,,,55,,,85,,169,23,112,97,,,,,,,78,,,,,,,,,,,158,,,,,,,,,,165,,,,199,,,,176,117,,,144,
2022/01/13,59,50,11,60,60,66,61,16,27,,33,,,59,,,,71,,,129,,,53,191,130,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/20,62,43,15,66,60,63,100,23,37,,41,,,128,,,,95,,,,,,45,,199,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/01/27,63,47,15,79,83,65,180,26,39,,49,,,154,,,,109,,,,,,52,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/03,79,63,17,98,85,83,,31,44,,49,,,170,,,,129,,,,,,60,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/10,101,85,18,126,106,102,,34,50,,60,,,,,,,147,,,,,,64,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/17,115,111,15,149,125,123,,37,64,,72,,,,,,,187,,,,,,86,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/02/24,124,113,16,159,149,131,,46,86,,83,,,,,,,,,,,,,84,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/03,132,127,18,166,160,132,,48,111,,78,,,,,,,,,,,,,89,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/10,132,137,16,175,163,140,,59,115,,80,,,,,,,,,,,,,92,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/17,140,145,15,176,171,148,,64,123,,91,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/24,158,150,16,,177,147,,68,133,,85,,,,,,,,,,,,,104,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/03/31,172,171,18,,173,159,,68,134,,110,,,,,,,,,,,,,121,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/07,152,131,21,173,158,142,,75,135,,77,,,,,,,,,,,,,110,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/14,191,170,36,,,182,,81,140,,101,,,,,,,,,,,,,115,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/21,,176,39,,,191,,85,172,,118,,,,,,,,,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/04/28,,,45,,,,,95,194,,126,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/05,,,48,,,,,109,,,126,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/05/12,,,46,,,,,115,157,,148,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
