Date,Global,US,GB,CA,DE,SE,NL,AU,NO,PL,DK,IE,PH,BE,IT,CH,ES,AT,FR,NZ,HU,CZ,SG,FI,PT,GR,SK,MY,RO,IS,HK,LT,LV,EE,JP,LU,RU,AE,BG,VN,MT,ZA,TW,CY,UA,TH,PA,EC,CR,GT,KR,HN,AD
Total,356345895,139374760,48331127,21589157,19869784,16681043,16498191,8016846,6897394,6728849,6725710,4581150,3012221,3000753,2717615,2423466,2130033,1873040,1866845,1812381,1502456,1391337,1316755,995752,936683,798201,786557,774404,592906,525144,488926,458647,443873,315610,280026,218647,216750,182967,180823,153227,146689,145270,115637,111830,105158,84848,21790,20951,17736,17130,10830,6166,1084
Peak,8,4,5,3,21,15,5,10,18,4,18,7,33,6,65,9,79,18,48,11,6,6,14,16,13,8,5,39,5,13,15,6,6,7,103,6,55,9,9,72,6,25,129,8,19,144,171,188,172,120,156,179,53
2013/12/08,,,49,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/15,,,40,,,,50,,49,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/22,,,35,,,37,40,,36,41,,35,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/29,,,30,,,43,27,,,,,30,,36,,,,,,,36,,,,,31,,,,,,44,37,,,,,,,,,,,,,,,,,,,,
2014/11/30,,,,,,107,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,,,61,,,108,177,,173,,103,105,,,,,,156,,,,,,,,180,,,,159,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,,192,67,189,,111,116,,197,,160,107,,,,,,137,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/21,,187,60,179,185,88,106,,165,195,161,96,,192,,,,110,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,109,71,50,75,102,52,94,189,157,90,133,86,176,67,147,74,,82,,,53,139,178,,,80,92,177,,103,148,93,78,119,,,,,,,,,,,,,,,,,,,
2015/11/26,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/03,,173,114,,,119,,,105,,84,130,,,,,,167,,,,,,,,154,,,,126,,,,,,,,,,,,,,,,,,,,,,,
2015/12/10,128,147,67,180,190,99,118,,89,147,83,70,,,,,,104,,,,171,,,,112,94,,,110,,,152,,,,,,,,133,,,,,,,,,,,,
2015/12/17,123,137,63,133,200,88,80,,87,99,95,65,,151,,,,132,,177,,70,,,,79,78,171,,109,,200,116,,,,,,,,137,,,,,,,,,,,,
2015/12/24,64,67,41,62,88,53,49,71,56,39,53,50,115,66,105,81,150,60,,59,39,47,,200,87,69,19,72,,91,156,94,47,86,,61,,,129,,95,,,,,,,,,,,,
2015/12/31,148,156,63,84,,,60,149,,195,,78,,123,189,192,,,,,186,,,,,81,,,,,,199,193,,,,,,,,,,,,,,,,,,,,
2016/11/24,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,
2016/12/01,172,153,113,130,,65,,,103,,87,112,,,,,,117,,,,198,,,,102,167,,,114,,,179,,,,,,,,119,,,,,,,,,,,,
2016/12/08,122,107,46,69,165,59,113,,71,63,70,48,,198,,,,83,,197,107,86,,,,77,63,,,92,,132,105,,,129,,,175,,70,,,,,,,,,,,,
2016/12/15,101,117,42,63,159,54,54,,67,51,77,39,,105,,175,,88,,141,90,76,,,,76,66,190,,70,,103,89,163,,104,,,198,,58,,,,,,,,,,,,
2016/12/22,66,97,33,45,123,37,45,113,51,32,70,30,,55,,85,,64,,98,50,52,200,,106,54,24,151,,47,,82,50,99,,57,,,137,,42,,,51,,,,,,,,,
2016/12/29,45,70,14,23,64,32,23,48,53,25,63,22,179,20,101,29,132,43,127,43,11,36,112,198,61,28,20,108,,48,103,37,18,46,,19,,,53,,31,,,23,,,,,,,,,
2017/11/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,
2017/11/23,,158,,180,,181,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,
2017/11/30,142,54,155,115,,90,,,145,169,119,134,,,,,,,,,160,185,,,,96,103,,,116,,130,148,185,,,,,162,,103,,,,,,,,,,,,
2017/12/07,86,55,49,63,195,53,139,183,75,43,68,56,,102,,,,132,,,48,44,,,,48,30,,,103,,30,37,48,,65,,,76,,39,,,51,,,,,,,,,
2017/12/14,61,47,43,43,194,42,54,166,81,25,80,47,,41,,175,,118,,150,39,37,143,,,43,23,141,,85,,24,25,44,,47,,,72,,37,,,42,,,,,,,,,
2017/12/21,56,42,40,34,,31,69,124,79,9,75,39,183,49,,160,,115,,109,23,26,114,,,37,10,104,,76,,20,17,35,,45,,,67,,35,,,38,,,,,,,,,
2017/12/28,29,21,16,9,74,24,38,45,66,5,58,24,113,16,189,45,,55,134,49,7,11,48,137,127,17,20,65,,70,108,8,7,13,,13,,,31,,16,,183,16,,152,,,,,,,
2018/01/04,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/22,,105,,139,,,,,,,,,,,,,,,,,,,,,,91,,,114,,,,,,,,,,,,,,,163,,,,,,,,,
2018/11/29,104,35,167,70,,86,144,,116,143,89,145,,,,,,178,,,124,109,,,,52,83,,73,107,,73,56,114,,160,,,127,,116,,,72,,,,,,,,,
2018/12/06,46,31,37,28,92,32,85,80,53,31,42,54,,89,,80,,61,,67,35,40,182,139,129,20,20,,27,47,198,20,21,33,,40,,,76,,40,,,36,,,,,,,,,
2018/12/13,36,29,24,19,79,25,26,69,45,13,42,35,177,38,,62,,51,,63,20,19,130,170,106,18,9,169,21,44,89,12,18,33,,28,,,70,175,20,,,24,,,,,,,,,
2018/12/20,23,20,19,15,61,22,17,49,40,4,38,20,131,17,,28,,40,,48,7,8,101,133,77,17,5,137,10,31,67,11,9,15,197,13,,,30,176,17,,,17,,,,,,,,,
2018/12/27,10,14,11,3,31,19,10,10,30,5,35,13,60,6,90,12,81,27,48,11,7,6,35,74,26,8,5,62,5,24,17,6,7,7,103,7,,,9,72,8,,144,8,,144,171,188,172,120,,179,
2019/01/03,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,91,,,,,,,,,
2019/11/14,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/11/21,,162,194,94,,,193,,,,168,171,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,136,,,,,,,,,,,,
2019/11/28,148,85,89,66,,122,115,,164,,78,90,,,,,,,,,164,,,,,118,135,,116,78,,104,131,113,,151,,,,,60,,,93,,,,,,,,,
2019/12/05,45,21,23,24,108,46,81,104,54,111,37,35,,94,,62,,82,,99,30,38,,,154,51,26,,37,41,,26,19,26,,31,,146,60,,34,,,41,,,,,,,,,
2019/12/12,36,25,15,22,115,49,25,107,61,52,38,26,,52,,50,,82,,90,25,39,196,,161,49,10,,30,33,,22,23,34,,33,,108,74,,25,,,25,,,,,,,,,
2019/12/19,35,30,16,22,94,40,28,69,58,34,44,23,,41,,40,,65,,54,20,16,133,,117,49,24,,39,33,149,16,15,25,,29,,85,75,,20,,,26,,,,,,,,,
2019/12/26,14,8,7,6,35,23,9,16,35,11,27,10,115,7,109,10,131,28,138,13,6,10,46,111,40,26,18,90,12,23,32,6,6,9,,6,,29,16,134,6,33,,8,,,,,,,,,
2020/01/02,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,161,178,,,,,,,,122,,,75,,,,,,,,,
2020/11/12,,122,195,155,,,197,,,,,140,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,
2020/11/19,149,57,93,36,,,107,,151,,121,67,,,,,,,,,156,,,,,172,153,,187,68,,148,173,175,,,,,,,,,,102,,,,,,,,,
