Date,GB,NL,IE,AU,PL,NZ,NO,BE,CA,DK,HU,LV,LT,LU
Total,34324206,4415113,2749475,2416111,1381385,702837,533148,350917,344648,119035,28716,8461,7350,4483
Peak,29,70,48,80,77,75,141,110,163,143,193,152,183,159
2014/12/28,183,,,,,,,,,,,,,
2015/12/10,134,,142,,,,,,,,,,,
2015/12/17,100,,89,,,,,,,,,,,
2015/12/24,60,182,62,,,172,,,,,,,,
2015/12/31,120,,,,,,,,,,,,,
2016/12/08,97,,134,,,,,,,,,,,
2016/12/15,90,,113,,,,,,,,,,,
2016/12/22,66,,79,,,,180,,,,,,,
2016/12/29,57,,78,172,,156,194,,,,,,,
2017/12/07,72,,116,,,,189,,,,,,,
2017/12/14,58,,71,,167,,178,,,,,,,
2017/12/21,61,,70,,98,,159,,,,,,,
2017/12/28,34,83,52,80,77,84,141,,,,,,,
2018/12/06,96,,152,,,,,,,,,,,
2018/12/13,69,,116,,,,,,,,,,,
2018/12/20,50,,72,,124,,,,,,,,,
2018/12/27,37,107,67,96,94,76,,,,,,,,
2019/12/05,160,,,,,,,,,,,,,
2019/12/12,141,,,,188,,,,,,,,,
2019/12/19,125,,164,,150,,,,,,,,,
2019/12/26,66,95,97,85,80,75,,,,,,,,
2020/12/03,75,,118,,,,,,,,,,,
2020/12/10,49,191,75,,,,,,,,,,,
2020/12/17,57,120,78,,178,,,,,,,,,
2020/12/24,29,98,48,82,83,75,,120,163,143,193,152,183,159
2020/12/31,39,105,71,167,,,,,,,,,,
2021/12/02,112,,171,,,,,,,,,,,
2021/12/09,62,,96,,,,,,,,,,,
2021/12/16,57,,77,,,,,,,,,,,
2021/12/23,46,194,57,173,,127,,,,,,,,
2021/12/30,40,118,56,,,,,200,,,,,,
2022/12/08,82,,119,,,,,,,,,,,
2022/12/15,68,194,79,,,,,,,,,,,
2022/12/22,53,147,68,,,,,,,,,,,
2022/12/29,41,71,52,,,197,,110,,,,,,
2023/12/07,56,,114,,,,,,,,,,,
2023/12/14,52,193,92,,,,,,,,,,,
2023/12/21,46,142,69,,,,,,,,,,,
2023/12/28,40,70,53,,,165,,118,,,,,,
