Date,Global,US,AU,MY,CA,SG,NZ,IE,KR,GB,AE,TH,LT,PT,ZA,EE,LV,RO,MT,HK,CY,BG
Total,218493166,99688833,20701280,5753358,5343100,4969740,826436,801269,540583,368098,264366,189557,149181,134979,133423,124203,94806,92260,63961,40246,19164,13759
Peak,112,73,30,22,97,32,73,119,65,171,103,150,68,171,136,108,100,158,76,169,133,141
2019/12/05,,153,,,,,,,,,,,,,,,,,,,,
2019/12/12,,136,,,,,,,,,139,,143,,,,,,164,,,
2019/12/19,,130,,199,,170,,,,,131,,124,,,199,,,151,,,
2019/12/26,,169,,194,,182,,,,,163,,165,,,,,,182,,,
2020/01/02,189,117,173,169,151,145,,177,,,134,,72,,,133,161,166,85,,,
2020/01/09,159,93,137,169,152,142,,140,,,121,,72,,158,126,125,170,76,,157,192
2020/01/16,154,95,142,176,169,114,,120,,,113,,72,,136,123,127,158,85,,133,180
2020/01/23,183,118,120,185,177,91,,136,,,140,,98,,198,154,182,197,102,,161,
2020/01/30,169,111,113,173,189,60,,147,,,142,150,101,,,152,181,,96,,193,
2020/02/06,152,92,96,171,195,54,,151,,,138,150,114,,,154,168,,93,,162,
2020/02/13,139,97,53,186,176,56,127,122,,,139,,103,,177,147,174,,99,,152,
2020/02/20,161,121,49,,187,52,109,123,,,141,,120,,,155,179,,95,,154,
2020/02/27,151,112,42,,138,65,100,119,,,145,,123,,182,178,183,,94,,174,
2020/03/05,158,124,41,188,131,53,91,130,,,161,,123,,200,153,,,87,,,
2020/03/12,177,147,37,175,153,54,92,158,,,190,,127,,,193,,,94,,,
2020/03/19,167,140,33,141,160,45,81,193,,,,,106,,,150,193,,106,,,
2020/03/26,112,73,32,103,97,33,78,134,,171,111,196,70,,155,108,111,168,91,169,175,141
2020/04/02,115,74,30,112,109,32,73,144,,,124,165,68,,154,127,100,192,103,195,180,
2020/04/09,125,86,33,131,106,35,85,173,,,128,,77,,170,135,116,189,100,,158,
2020/04/16,143,96,35,135,141,39,91,,,,147,,82,,193,154,129,,117,,165,
2020/04/23,148,116,35,141,173,47,94,,,,166,,82,,199,148,126,,114,,,
2020/04/30,153,101,42,142,167,55,105,194,,,148,,84,,,152,128,,122,,,
2020/05/07,,165,54,,,92,163,,,,,,,,,,,,,,,
2020/05/14,,182,56,,,86,187,,,,,,,,,,,,,,,
2020/05/21,,184,56,,,79,,,,,103,,,,,,,,,,,
2020/05/28,,178,63,198,,82,,,,,128,,,,,,,,,,,
2020/06/04,,173,70,187,,90,,,,,140,,,,,,,,,,,
2020/06/11,,157,62,162,180,93,,,,,,,,,,197,,,,,,
2020/06/18,,145,67,162,199,103,,,,,,,,,,185,,,,,,
2020/06/25,,132,65,144,174,93,,,,,,,,,,,,,,,,
2020/07/02,,132,69,145,195,88,,,,,,,,,,154,,,,,,
2020/07/09,,171,79,138,,86,,,,,,,,,,193,,,,,,
2020/07/16,,172,90,109,,94,,,,,,,,,,185,,,,,,
2020/07/23,,170,83,56,,79,,,,,,,,,,189,,,,,,
2020/07/30,,,107,68,,100,,,,,,,,,,,,,,,,
2020/08/06,,189,97,46,,89,,,,,,,,,,,,,,,,
2020/08/13,,,96,47,,90,,,,,,,,,,,,,,,,
2020/08/20,,181,136,42,,140,,,,,,,,,,,,,,,,
2020/08/27,,155,133,36,,131,,,,,,,,,,,,,,,,
2020/09/03,,147,133,36,,115,,,,,190,,,,,185,,,,,,
2020/09/10,,156,133,27,,107,,,,,176,,,,,199,,,,,,
2020/09/17,,155,144,23,,116,,,,,189,,,,,,,,,,,
2020/09/24,,164,158,22,,127,,,,,200,,,,,,,,,,,
2020/10/01,,194,175,22,,144,,,,,,,,,,,,,,,,
2020/10/08,,200,176,33,,163,,,,,,,,,,,,,,,,
2020/10/15,,176,161,34,,172,,,,,192,,,,,,,,,,,
2020/10/22,,176,163,40,,168,,,,,,,,,,,,,,,,
2020/10/29,,178,166,48,,158,,,,,,,,,,,,,,,,
2020/11/05,,,185,62,,184,,,,,,,,,,,,,,,,
2020/11/12,,,189,60,,181,,,,,,,,,,,,,,,,
2020/11/19,,,194,62,,183,,,,,,,,,,,,,,,,
2020/11/26,,,,74,,189,,,,,,,,,,,,,,,,
2020/12/03,,192,162,62,,130,,,,,,,,,,,,,,,,
2020/12/10,,181,147,58,,112,,,,,198,,,,,,,,,,,
2020/12/17,,,184,70,,149,,,,,,,,,,,,,,,,
2020/12/24,,,,69,,159,,,,,,,,,,,,,,,,
2020/12/31,,,,55,,137,,,,,,,,,,,,,,,,
2021/01/07,160,163,150,51,,117,,,,,196,,,,,,,,,,,
2021/01/14,140,162,139,42,,95,,183,,,170,,,179,,,,,,,,
2021/01/21,139,156,141,46,,98,,193,,,166,,,171,,,,,,,,
2021/01/28,148,156,190,47,,99,,,,,175,,,180,,,,,,,,
2021/02/04,155,173,179,50,,102,,,140,,181,,,195,,,,,,,,
2021/02/11,162,191,180,49,,106,,,81,,181,,,,,,,,,,,
2021/02/18,173,,189,53,,101,,,73,,198,,,,,,,,,,,
2021/02/25,174,195,,55,,114,,,65,,189,,,,,,,,,,,
2021/03/04,192,,,57,,126,,,65,,,,,,,,,,,,,
2021/03/11,199,,,61,,130,,,70,,200,,,,,,,,,,,
2021/03/18,,,,76,,138,,,85,,,,,,,,,,,,,
2021/03/25,,,,119,,162,,,92,,,,,,,,,,,,,
2021/04/01,,,,118,,176,,,119,,,,,,,,,,,,,
2021/04/08,,,,124,,156,,,116,,,,,,,,,,,,,
2021/04/15,,,,140,,187,,,118,,,,,,,,,,,,,
2021/04/22,,,,138,,163,,,105,,,,,,,,,,,,,
2021/04/29,,,,158,,166,,,104,,,,,,,,,,,,,
2021/05/06,,,,180,,161,,,113,,,,,,,,,,,,,
2021/05/13,,,,179,,157,,,113,,,,,,,,,,,,,
2021/05/20,,,,127,,152,,,108,,,,,,,,,,,,,
2021/05/27,,,,135,,140,,,139,,,,,,,,,,,,,
2021/06/03,,,,141,,156,,,138,,,,,,,,,,,,,
2021/06/10,,,,140,,168,,,133,,,,,,,,,,,,,
2021/06/17,,,,138,,177,,,123,,,,,,,,,,,,,
2021/06/24,,,,150,,190,,,128,,,,,,,,,,,,,
2021/07/01,,,,155,,192,,,151,,,,,,,,,,,,,
2021/07/08,,,,169,,,,,151,,,,,,,,,,,,,
2021/07/15,,,,171,,,,,151,,,,,,,,,,,,,
2021/07/22,,,,162,,192,,,147,,,,,,,,,,,,,
2021/07/29,,,,176,,180,,,165,,,,,,,,,,,,,
2021/08/05,,,,173,,184,,,154,,,,,,,,,,,,,
2021/08/12,,,,163,,179,,,151,,,,,,,,,,,,,
2021/08/19,,,,172,,190,,,152,,,,,,,,,,,,,
2021/08/26,,,,191,,,,,142,,,,,,,,,,,,,
2021/09/02,,,,,,,,,174,,,,,,,,,,,,,
2021/09/09,,,,,,,,,171,,,,,,,,,,,,,
2021/09/16,,,,,,,,,159,,,,,,,,,,,,,
2021/09/23,,,,,,,,,173,,,,,,,,,,,,,
2021/09/30,,,,,,,,,183,,,,,,,,,,,,,
2021/10/07,,,,,,,,,158,,,,,,,,,,,,,
2021/10/14,,,,,,,,,140,,,,,,,,,,,,,
2021/10/21,,,,,,,,,157,,,,,,,,,,,,,
2021/10/28,,,,,,,,,198,,,,,,,,,,,,,
2021/11/04,,,,,,,,,185,,,,,,,,,,,,,
