Date,Global,US,SE,NO,GB,DK,PH,ES,DE,NL,MX,BE,SG,IT,AU,PL,FI,NZ,MY,CH,BR,CR,PT,CL,IE,CZ,HK,FR,TW,AR,CO,CA,TR,PE,GR,IS,AT,EC,EE,SV,NI,LV,LT,BO,GT,SK,HU,MT,HN,PY,DO,UY,PA
Total,122678211,39491048,10121614,6995318,4786110,4496611,4338438,3375508,3225002,2780944,2530270,2502203,2385151,2341457,2153194,2139068,1289197,1274474,1270811,1229163,950257,812075,686747,650521,617029,486127,450065,443162,435814,374070,344323,307826,279948,275215,250534,228901,186908,162261,88763,66283,49728,48937,44353,42166,41285,40531,26178,23947,21201,9371,6735,5096,4857
Peak,7,1,4,7,6,18,21,14,36,16,23,7,1,18,1,23,9,1,1,16,34,18,1,24,17,17,8,24,9,30,11,106,25,18,14,2,9,12,13,132,126,11,10,160,15,15,22,121,43,185,39,92,49
2013/12/01,,17,,,,,,,,,,,27,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/08,37,12,,,,,,,,,,,25,,,,,,28,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,
2013/12/15,20,5,,,,,,,,,,,13,,,,,,16,,,,,,,,38,,,,,,,,,13,42,,,,,,,,,,,,,,,,
2013/12/22,16,2,,,,,,,,,48,,6,,,,50,16,10,,,,39,,,,32,,44,,45,,,,39,6,20,,,,,,,,,,,,,,,,
2013/12/29,16,2,36,35,,,,,,,46,41,4,,,,38,7,6,,,,27,,,,31,,26,,,,,,44,2,16,,,,,,,,,,,,,,,,
2014/01/05,17,5,26,22,,50,,,,,39,44,4,41,48,,27,11,3,48,,,23,,47,35,37,,29,,42,,45,,40,3,14,,43,,,,,,,,41,,,,,,
2014/01/12,12,1,22,11,,35,,41,,49,38,34,4,38,41,45,9,7,2,36,,25,13,,42,31,24,,21,,40,,42,41,30,3,10,19,38,,,41,48,,,23,29,,,,,,
2014/01/19,8,2,12,9,,34,,27,49,50,36,32,4,31,33,36,9,5,1,32,,21,8,45,32,26,13,,18,,43,,37,33,24,3,9,17,44,,,47,49,,,15,22,,,,,,
2014/01/26,10,3,8,8,,25,,18,50,45,31,22,3,25,12,32,10,3,1,24,,19,8,36,23,37,18,41,18,,38,,35,41,40,6,11,21,,,,,,,,27,41,,,,,,
2014/02/02,11,8,4,9,,23,,15,44,34,29,23,4,25,6,30,12,4,2,24,,50,8,25,29,26,16,33,24,31,11,,25,32,28,5,13,18,,,,,,,,,,,,,,,
2014/02/09,8,3,5,8,,23,,15,38,33,26,18,1,23,2,26,16,2,2,18,,22,2,28,23,24,10,35,11,30,13,,25,29,14,5,13,,,,,,10,,,,,,,,,,
2014/02/16,8,4,4,7,,21,,14,38,26,23,11,1,21,1,23,18,1,1,16,,18,1,25,21,17,8,25,9,30,13,,25,23,15,4,10,15,,,,,,,,,,,,,,,
2014/02/23,7,7,4,9,,18,,14,36,16,24,7,2,18,1,23,24,1,3,17,,18,5,30,27,,8,24,10,34,13,,25,24,15,6,14,,,,,,,,,,,,,,,,
2014/03/02,10,10,10,12,,21,,28,38,18,26,16,3,29,2,31,33,2,2,25,,24,8,45,18,28,12,36,11,33,27,,31,35,33,10,24,,13,,,11,16,,,,,,,,,,
2014/03/09,12,12,20,14,6,24,,34,49,18,31,21,3,32,3,35,39,2,5,28,,,14,43,17,22,16,49,25,37,37,,40,29,27,8,33,,14,,,15,18,,,,,,,,,,
2014/03/16,20,15,29,16,8,28,,43,,19,34,23,5,40,10,39,49,3,7,38,,,15,48,21,36,19,,27,44,41,,42,29,40,16,39,,22,,,16,22,,,,,,,,,,
2014/03/23,20,17,32,18,11,32,,45,,20,42,21,8,44,12,39,,5,4,39,,,21,47,21,35,25,,29,45,43,,45,39,44,21,46,,24,,,18,23,,,,,,,,,,
2014/03/30,23,20,34,19,11,35,,46,,22,38,18,10,45,16,44,,4,12,41,,44,22,50,21,,27,,40,44,41,,,43,48,22,,,23,,,24,28,,,,,,,,,,
2014/04/06,26,19,34,19,13,35,,,,26,36,21,14,40,17,41,,4,14,37,,26,25,46,24,41,27,45,29,39,38,,46,34,31,36,,,27,,,29,23,,,,,,,,,,
2014/04/13,,22,,,,40,21,,,,39,,15,42,,45,,9,14,37,,42,28,39,23,41,30,48,27,36,43,,45,38,,30,,,30,,,,39,,,,,,,,,,
2014/04/20,,26,,,,,21,,,,42,,19,43,,45,,12,15,39,,40,27,42,23,35,36,,28,37,44,,50,49,,31,,,50,,,,,,,,,,,,,,
2014/04/27,,27,,,,,24,,,,39,,21,47,,49,,12,14,37,,21,28,24,22,41,34,,29,36,19,,,18,50,30,,12,,,,,,,15,,,,43,,,,49
2014/05/04,,29,,,,,26,,,,39,19,22,42,,48,,18,19,32,37,21,27,30,26,39,36,,27,39,21,,,24,48,30,,22,,,,,,,17,,,,,,,,
2014/05/11,,40,,,,,26,,,,47,14,19,47,,48,,23,14,32,46,27,28,34,28,38,30,,35,48,28,,,29,49,42,,28,,,,,,,29,,,,,,,,
2014/05/18,,,,,,,30,,,,,13,24,,,,,24,17,38,,35,34,42,28,50,37,,39,49,45,,,38,,48,,34,,,,,,,35,,,,,,,,
2014/05/25,,,,,,,33,,,,,18,29,,,,,27,17,43,,38,35,47,35,48,,,,,46,,,45,,49,,42,,,,,,,45,,,,,,39,,
2014/06/01,,,,,,,38,,,,,18,29,,,,,34,23,42,,41,40,49,40,47,,,,,47,,,46,,50,,48,,,,,,,47,,,,,,45,,
2014/06/08,,,,,,,40,,,,,23,33,,,,,39,27,,,46,,49,46,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
2014/06/15,,,,,,,38,,,,,28,33,,,,,41,29,,,47,,48,50,,,,,,,,,47,,,,,,,,,,,,,,,,,,,
2014/06/22,,,,,,,41,,,,,33,33,,,,,47,31,,,46,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
