Date,Global,US,GB,DE,CA,NL,AU,PL,SE,IT,IE,DK,FR,BE,CH,NZ,AT,NO,ES,HU,CZ,PT,SG,SK,FI,GR,RO,PH,LT,LV,HK,IS,AE,MY,EE,LU,ZA,CL,BG,CY,RU,MT,CR,TW,KR,UA,VN,PA
Total,437236311,144860365,63536457,33560133,26552376,20419488,17015792,13432168,7899408,7605470,6975652,6329945,5580935,4363395,4207088,3702602,3678956,3253055,2494464,2088377,1867646,1587442,1307736,1057283,946091,928149,923686,830678,596383,516705,509306,479750,381337,378605,373238,338394,287574,283925,244418,177741,94837,57398,46899,45877,41573,40853,34789,22340
Peak,12,10,10,23,9,9,9,9,38,46,11,32,20,9,13,9,19,53,86,12,16,27,25,13,58,34,14,63,11,11,33,35,18,62,13,11,47,175,30,18,127,27,151,200,97,70,158,156
2014/12/07,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/21,,,,,,,,179,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,,,,,,,,,,,92,,,,,,129,,,,,179,,129,,143,,,148,135,,168,,,182,,,,,,,,,,,,,
2015/12/10,,,116,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/17,,,134,,,198,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/24,149,,85,144,,116,167,114,108,,96,115,,193,,123,97,158,,104,125,115,,68,,,,,,,,,,,,,,,,,,198,,,,,,
2015/12/31,,,188,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/01,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/08,,,124,,,,,,,,123,142,,,,,149,,,,,,,180,,179,,,,,,,,,,,,,,,,160,,,,,,
2016/12/15,,,95,186,,155,,171,,,94,158,,,,,118,,,,,,,156,,192,,,,,,,,,,,,,,,,137,,,,,,
2016/12/22,,,71,137,,119,170,76,189,,64,133,,174,,157,77,,,124,131,164,,103,,149,,,,184,,184,,,,152,,,,,,88,,,,,,
2016/12/29,136,,47,85,112,68,62,66,168,,50,117,,64,79,64,69,,,58,108,110,,88,,84,,,109,86,200,,,,168,62,,,171,64,,86,,,,,,
