Date,US,GB,CA,IE,SE
Total,12104828,9585387,1267233,627082,246727
Peak,2470408,979103,368543,82161,131183
2014/12/21,,117029,,,115544
2014/12/28,,,,,131183
2015/12/24,,240891,,14326,
2016/12/22,,278399,,,
2016/12/29,,445047,,22384,
2017/12/28,,691324,,46837,
2018/12/27,,621409,,,
2019/12/26,1932742,722929,,59776,
2020/12/24,2213423,666104,,62462,
2020/12/31,,466871,,,
2021/12/09,,454463,,,
2021/12/16,,508096,,52072,
2021/12/23,1872487,685194,263389,73895,
2021/12/30,1580534,753403,289229,68661,
2022/12/15,,527824,,,
2022/12/22,,676856,,63678,
2022/12/29,2035234,979103,346072,82161,
2023/12/28,2470408,750445,368543,80830,
