Date,JP,TW,HK,IE,PH,SG,MY,TH
Total,725495,50144,29679,26139,19956,15198,14370,14032
Peak,73973,6047,5133,21067,19956,3263,4388,7139
2013/04/28,,,1546,,,3263,1684,
2013/05/05,,,1530,,,3022,2003,
2013/05/12,,,1539,,,3005,1766,
2013/05/19,,,2118,,,3026,2109,
2013/05/26,,,2254,,,2882,,
2013/06/02,,,2103,,,,2420,
2013/06/09,,,1349,,,,,
2013/06/16,,,1488,,,,,
2013/06/23,,,1578,,,,,
2013/06/30,,,1425,,,,,
2013/07/07,,,1430,,,,,
2013/07/21,,,1425,,,,,
2013/09/29,,3317,,,,,,
2013/10/06,,4779,,,,,,
2013/10/13,,4922,,,,,,
2013/10/20,,5401,,,,,,
2013/10/27,,5190,,,,,,
2013/11/03,,5012,,,,,,
2013/11/10,,5409,,,,,,
2013/11/17,,4610,,,,,,
2014/10/26,,5457,4761,,,,,
2014/11/02,,6047,5133,5072,19956,,4388,
2017/06/15,,,,21067,,,,
2017/08/31,16933,,,,,,,7139
2017/09/07,18370,,,,,,,6893
2017/09/14,18158,,,,,,,
2017/09/21,17415,,,,,,,
2017/09/28,17530,,,,,,,
2017/10/05,17241,,,,,,,
2018/11/22,42313,,,,,,,
2019/05/02,63287,,,,,,,
2019/05/09,60578,,,,,,,
2019/05/16,59049,,,,,,,
2019/05/23,60303,,,,,,,
2019/05/30,60355,,,,,,,
2019/06/06,60997,,,,,,,
2019/06/20,73973,,,,,,,
2019/06/27,70998,,,,,,,
2019/07/04,67995,,,,,,,
