Date,Global,DE,US,GB,DK,CA,NL,SE,PL,AU,NO,AT,IT,IE,FI,CH,BE,FR,HU,NZ,ES,SG,SK,PT,PH,HK,KR,CZ,LT,LV,GR,LU,IS,EE,AE,MT,CY,JP,MY,BG,RO,TW,ZA
Total,228781129,39527795,29719498,23487305,17672414,11724644,10410798,9250086,7879646,3653602,3610165,3330498,3328966,3067858,2744576,2671640,1689727,986045,849278,813045,561078,549793,349059,307796,305340,235045,218112,211605,176442,167613,166929,161404,135828,108132,91477,67573,61309,55414,43578,36268,32068,19959,14316
Peak,17131218,3167369,3593983,1696362,533187,940606,822996,393577,736284,630002,189271,247783,578418,214673,185420,218592,218205,620641,88166,115280,409832,67571,26740,66305,144846,34187,37153,35064,17023,13577,19567,13275,11129,9266,20637,7324,7261,55414,37308,12617,13185,13041,14316
2013/12/08,,,,,76385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/15,,,,,69140,,,,,,,,,,,,,,,,,,,,,,,,1167,,,,,,,,,,,,,,
2013/12/22,,,,,80073,,,247428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/29,,,,,73548,,108500,209065,,,,,,,,,21363,,1519,,,5180,,,,2996,,,1594,1214,,,,,,,,,,,,,
2014/11/30,,,,,64135,,,105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,,82364,,138812,169908,10824,44424,183546,12658,,59945,4624,,9498,,,,,1865,,,,,,,,,,1362,1491,2661,,2201,,,,,,,,,,
2014/12/14,,71661,,128908,142552,10613,78132,161687,12934,,55117,4803,,9128,,,8622,,1786,,,,,,,,,,,,2301,,1764,,,,,,,,,,
2014/12/21,,81959,,131231,135050,10895,80957,207152,17977,,60579,5069,,9392,,6422,11394,,2518,,,6479,1280,,,3820,,2348,,,2422,,1609,,,,,,,,,,
2014/12/28,,133828,,186363,124821,13145,124599,255066,23226,37166,50935,6857,35302,10336,26927,13235,23077,,5696,11515,,10757,1554,,27185,6903,,3292,2166,3168,3594,,1300,1964,,1107,,,6270,,,6918,
