Date,Global,US,GB,DE,CA,NL,SE,AU,IT,PL,NO,FR,ES,DK,PH,MX,IE,JP,BE,AT,CH,FI,NZ,CZ,BR,HU,SG,PT,MY,GR,TW,SK,HK,CL,TH,RO,ID,VN,IS,CR,PE,LT,ZA,GT,RU,LV,KR,AE,EC,UA,EE,LU,AR,BG,PA,DO,HN,CY,SV,CO,MT,TR,KZ,BY,BO,VE,NI,IN,SA,UY,PY,EG,AD
Total,1522074294,396970874,179934193,150331466,67442435,66685541,62428057,52000636,41052137,36602527,36590061,32874135,30716961,29435699,25692400,21997701,18898960,18457145,15892566,14113929,13530373,11909938,10562795,8309779,7103242,6601477,6569152,6322635,4295058,3374955,3127695,3092526,3075705,2983394,2830052,2676216,2522465,2471100,2174026,1836153,1795735,1584710,1579735,1520251,1442312,1413329,1401513,1235057,1233414,1205458,1081062,971452,843078,810952,807252,646212,615434,519555,359687,334987,267928,242822,222857,190955,181005,175877,149607,130161,80880,73726,56741,13246,5455
Peak,75826005,15547474,7742035,8131265,3446175,2913058,2141972,3158525,2569578,2045888,993647,2872849,1920213,881860,1753451,2540814,889653,1528132,993730,777963,806561,501431,611455,467498,2217880,466110,306176,458982,267835,200507,275542,169260,165704,784566,308395,168551,313588,161905,70623,122536,322179,89187,285834,167220,275017,69764,119556,109476,178507,104482,42633,57460,440010,48141,56715,54406,51930,34789,49046,79374,21766,60665,37560,32284,54318,39394,37099,130161,23085,32138,51961,8225,2418
2013/12/08,994448,497407,205547,,,,290308,,,,,,,69383,,,6885,,,4568,,,,,,,,,,2295,,,,,,,,,,,,2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/15,1293920,565810,276024,,,108496,307046,,,13391,,,,72524,,,11277,,13719,5725,,,,,,,,,,2966,,,2255,,,,,,,,,2562,,,,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/22,1932304,651461,510947,152736,,187237,479370,,33853,33687,,,113001,86003,,,16328,,24535,10131,8554,,,2065,,2112,5558,8925,4028,4024,,1571,4390,,,,,,2076,,,2589,,,,2184,,,,,1639,,,,,,,,,,,,,,,,,,,,,,
2013/12/29,1889100,640000,486160,182540,,223246,377688,44425,55082,27564,,,174487,73999,,,15269,,46647,8623,11989,,10048,1770,,2370,7219,11987,4902,4158,6581,1163,5441,,,,,,1249,,1597,2596,,,,1958,,,,,1889,,,,,,,,,,,,,,,,,,,,,,
2014/11/30,1174711,541804,285122,82210,8343,48100,376908,,,,54459,,,99420,,,5623,,9904,3392,,,,,,,,,,3558,,,,,,,,,2459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,4417809,1256737,916237,233571,17218,162500,638279,67422,37354,33467,196266,,,170368,25633,,26268,,22066,12868,7487,23889,22470,3886,,3039,6876,6020,,5650,,1495,4082,,,,,,5401,,,2997,,,,2193,,,,,1672,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,4974217,1465973,1005362,210787,20667,272282,669859,84037,84418,47351,188285,,,129106,31135,,31785,,29573,15015,8764,28380,29700,4268,,3555,9957,9185,5648,5605,5455,1935,6213,,,,,,4884,,,2194,,,,3693,,,,,1743,,,,,,,,,,1133,,,,,,,,,,,,
2014/12/21,5597593,1596169,1059098,165453,26400,290992,831988,137496,80142,57677,209179,,99835,121273,44535,,31095,,39676,14999,11734,39618,50549,7502,,4101,8154,17816,4696,5020,,3410,8678,,,,,,4623,,5864,1899,,2000,,4965,,,,,1899,,,,,,1107,,1076,,1807,,,,,,,,,,,,
2014/12/28,6533791,1805576,1214567,264783,35264,412259,803149,213281,115321,58101,144972,44184,186325,96877,61953,68476,31071,,64760,17046,28282,64416,60737,9839,,13482,22674,17341,12764,7610,13472,4065,14042,,,,,,3463,4671,9937,5067,,2992,,6530,,,5335,,4719,1650,,1865,1789,1981,1717,1051,1498,,2463,,,,1003,,,,,1453,,,
2015/01/04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/17,9147960,2407220,1541380,672936,205831,688084,842130,212587,237716,114454,451214,124107,200766,295868,171679,,102275,,77954,47771,42997,137008,68333,25430,,18870,47984,36728,33201,12762,36122,7774,25009,,,,,,12360,7533,11710,8798,,3813,,8420,,,6210,,6805,3021,,3522,3541,4196,3201,1659,2065,,4782,14582,,,1707,,,,,,2125,,
2015/12/24,13518040,2966534,2094074,1453788,279526,824475,1442611,376580,363407,195496,570644,254131,343711,471814,260767,158329,134292,,121318,93927,81333,251532,131729,38796,99705,47831,63535,64984,49642,14451,57396,15061,35947,,,,,,16540,8697,15842,12644,,4866,,13205,,,8558,,10579,4889,,4850,4447,5180,3870,2173,2616,17489,6638,16767,,,2548,,1445,,,3211,2655,,
2015/12/31,4992764,1246375,833424,390365,134770,414214,267182,151088,170082,46027,162706,108435,225638,75279,107072,,48775,,59330,22097,30644,56514,38128,8177,,10265,31488,20226,21400,9575,32583,3038,19197,,,,,,3321,,,4720,,,,4594,,,,,2987,1746,,1832,2627,3423,2042,1220,,,2666,14355,,,,,,,,,,,
2016/11/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/10,,,,,,,106197,,,,105587,,,87280,,,,,,,,,,,,,,,,,,,,,,,,,5152,,,,,,,2574,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/17,,,242600,,,,144265,,,35083,127537,,,107485,,,18347,,,,,,,,,,,,,,,,,,,,,,8580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/24,3300685,1291466,403467,182757,146554,132696,246922,,,30385,163107,,,163420,,,34774,,,13181,,46203,,,,,,,,3538,,,,,,,,,12851,,,,,,,,,,,,,,,,,,,,,,1527,,,,,,,,,,,,
2016/12/01,6776786,2149462,1028010,536830,246238,211847,686447,140963,66225,56607,381340,,,353818,131353,,81246,,22263,45435,22004,83543,42726,13450,,9496,31063,18335,19090,7775,,4247,14464,,,,,,18336,,,3965,,,,4497,,,,,3491,2257,,2296,,,,1037,,,3350,,,,,,,,,,,,
2016/12/08,11049693,2931445,2047238,892341,383400,527880,803325,262262,230593,146770,549129,128822,211733,409775,186422,,146636,,61139,68459,46099,152612,92112,29650,,22866,50802,38915,34699,11692,26654,9833,27700,,,,38601,,20648,,,7343,,6195,,7353,,,,,5378,4342,,4011,6277,6571,4845,1715,3466,,6310,,,,,,1507,,,,,,
2016/12/15,11811635,3058717,2118683,906319,391519,819924,785103,324185,289070,161605,528501,157294,233211,350756,203158,,155070,,92632,68012,53703,161769,106959,31927,,24985,58739,53420,40569,11393,30509,10969,34024,,,,38636,,20890,,,7905,,6312,,6872,,,,,5649,4666,,3621,6963,6864,5690,1736,3812,,6025,,,,,,1659,,,,,,
2016/12/22,14529735,3385667,2429337,1232765,455026,810328,1016208,507073,400164,236124,663399,275843,384282,398600,253375,230214,181201,,125024,93122,77372,235595,147077,45129,,41789,78907,82969,52524,13776,42928,15931,48212,,,,51902,,25146,18513,33240,10172,,8634,,10837,,,13176,,8271,6363,,4980,8879,8766,6677,2076,5017,26806,8411,31243,,,3323,,2343,,,,,,
2016/12/29,15085920,2857510,2420534,1610377,484584,871543,883257,673528,456263,190448,469408,400924,687809,325658,432283,225845,161780,,169305,96671,103959,212537,188012,39416,,48384,106929,81175,59764,15685,50233,13199,57846,,,,55500,,15962,20196,41742,12556,,10272,,12540,,,15069,,9242,8336,,5611,9477,10961,7233,2551,5009,24427,7804,48376,,,3792,,2943,,,,,,
2017/01/05,,,,,,,,,,,60916,,284172,,,,,,25341,,,,,,,,21463,17408,,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/11/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/11/09,,,303447,,,151771,,,,,89085,,,111811,,,26326,,,,,,,,,,,,,,,,,,,,,,10982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/11/16,3821572,1478324,463382,,198006,186661,191796,,,48185,177048,,,162559,,,40235,,,18324,,,,,,7593,,,,3994,,3681,,,,,,,18690,,,2537,,,,,,,,,,,,,,,,,,,1718,,,,,,,,,,,,
2017/11/23,6130250,2443743,728166,348028,304053,254285,433110,145532,,90333,292087,,,248515,,,68618,21677,26513,31601,,61954,,12929,,11001,,,,6879,,4463,,,,,,,19182,,,3543,,,,3165,,,,,3558,2098,,2427,,,,1112,,,2728,,,,,,,,,,,,
