Date,Global,US,GB,DE,CA,NL,SE,AU,DK,PL,PH,NO,IT,ES,IE,JP,FR,AT,CH,BE,FI,NZ,SG,CZ,HU,PT,TH,MY,HK,VN,TW,GR,SK,RO,KR,IS,LT,LV,ZA,AE,ID,MX,EE,LU,BG,UA,RU,CL,CY,CR,PA,EC,BR,MT,PE,GT,AR,DO,TR,HN,CO,SA,UY,BO,SV,PY,NI,AD
Total,853820382,229625029,100419333,82457098,41993483,40546260,30874973,30017685,23665160,23102459,20848910,18176451,15358939,10918713,10839500,9932632,8591452,8393837,8144315,7485867,7392619,5747174,4650966,4227593,4067709,3321931,2837747,2717472,2259976,2227501,2012430,1994912,1675174,1516303,1308740,1173729,1047695,938654,771307,744343,722504,696459,692635,520433,500239,375777,339442,334084,322406,283384,217515,196583,172733,143559,99814,93963,76635,66518,57331,39928,36730,11391,7061,5988,5830,4325,4202,1257
Peak,48192239,10593763,5620371,4885175,2342293,1844085,1225539,2340773,745152,1464433,1650018,665436,1170883,886901,645280,1202096,1057366,464619,487819,526717,395740,412595,282272,276343,358332,278533,331420,217693,136483,155599,216615,140934,107528,125390,118434,45016,70342,55336,174518,79603,233539,400624,33380,35043,36626,54647,171771,293191,25094,59541,28275,84322,72444,16448,55105,39681,32179,27821,18945,13622,14249,11391,2778,1755,2525,1685,3092,1257
2014/11/30,,,,,17682,58857,,,43852,,17946,53459,,,,,,,,,,,,,,,,,3769,,,2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,2384738,763577,216799,105902,36378,138546,202576,46747,155924,25312,93284,129343,40328,,15503,,21747,5811,14458,16525,33383,14977,26053,9828,5896,11019,,16238,14694,,14880,6948,3017,,,2686,5477,5363,,,,,3923,,1689,,,,,,1195,,,1860,,1345,,1519,9028,1118,,,,,,,,
2014/12/14,3396873,1116568,251345,125898,49699,306697,245134,68692,197838,36850,136338,154184,57283,78060,19338,,30335,7851,19482,26995,48507,22751,38629,13258,7721,15262,,23527,20390,,23178,8010,4351,,,3665,8378,7782,,,,77681,6144,1322,2545,,,,1024,4124,2146,3982,45088,2440,7933,2260,19465,2443,13357,1636,9537,,1969,1130,1353,1074,,
2014/12/21,4293951,1251274,299797,157135,54625,446482,382162,84540,230235,53665,173454,237756,72725,113660,25756,,38496,9866,25188,46368,61211,35986,44778,17001,10088,21635,,27704,23155,,27475,10060,5147,,,4239,10327,9625,,,,98801,7383,1574,3396,,,17118,1221,5032,2626,5388,55201,3007,10062,3160,24991,3589,16001,2318,12944,,2314,1399,1952,1566,,
2014/12/28,4994365,1396786,369595,239628,60271,468932,427547,123315,216264,59709,198482,210907,111017,188459,31767,,69697,14051,31786,69835,77047,43255,48333,17420,12559,26199,,29401,23550,,34881,12446,5078,,,3776,11051,10805,,,,119353,7702,2070,3358,,,23775,1376,6319,3104,7009,72444,3393,13398,3932,32179,4287,18945,2915,14249,,2778,1755,2525,1685,1110,
2015/01/04,1314791,,,,13189,155308,118979,27454,64291,,57107,67801,26889,,6445,,,,6064,25080,,9749,12250,4043,,,,8119,6512,,7944,4128,,,,,2376,1969,,,,,1628,,,,,,,,,,,,,,,1597,,,,,,,,,,
2015/01/11,,,,,,92187,,,,,30164,,,,,,,,,10178,,,7985,,,,,4806,4176,,,1565,,,,,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/01/18,,,,,,49629,,,,,22985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/01/25,,,,,,,,,,,22289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/02/01,,,,,,,,,,,20927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/11/26,,,,,,,,,55837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/12/03,2011039,685615,169382,,67960,64486,250582,,191764,25965,,119231,,,10811,,,6704,,,29913,,12218,5844,4087,,,,,,,5310,1757,,,4225,2435,2449,,,,,2010,,1117,,,,,,,,,1094,,,,,,,,,,,,,,
2015/12/10,3010179,958082,273107,151272,101975,191654,337654,,217822,40661,57909,177152,62171,,19122,,,12860,11805,17406,40306,,17296,8454,6325,12866,,,9605,,,7262,3088,,,4983,3890,4164,,,,,3488,,2067,,,,,,,,,1652,,,,,,,,,,,,,,
2015/12/17,3730185,1077119,329823,193006,106683,398259,477750,50572,217701,46392,75375,204668,62067,,22121,,,15474,12657,21445,59714,17951,19944,9910,7064,15828,,11207,11385,,,7206,3310,,,4916,4507,4942,,,,,4231,1081,1704,,,,,,,,,1790,,,,,,,,,,,,,,
2015/12/24,5815476,1347601,450583,514421,163209,495491,727508,107260,351164,88938,151074,222127,118370,124124,31549,,101938,38624,32330,40765,137243,38025,33072,17110,22540,30647,,21640,20006,,22261,8796,6142,,,7289,7470,8250,,,,,6755,2053,2446,,,,1232,,2393,,,3080,13316,2931,,,,2182,,,,1704,,,,
2015/12/31,2373468,,,174675,77550,285118,171312,,70695,23630,88297,75454,68629,,,,,11040,14816,24991,33470,,19846,4485,5236,10489,,11058,11483,,14090,5788,1388,,,,2795,2709,,,,,1997,,1272,,,,,,,,,1173,,,,,,,,,,,,,,
2016/11/10,,,,,,,,,53219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/17,,,,,,,,,69792,,,,,,,,,,,,,,,,,,,,,,,,,,,3961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/11/24,,,,,,,,,92846,,,,,,,,,,,,,,,,,,,,,,,,,,,5073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/01,2514830,,277886,,110836,,228631,,229130,,,84920,,,20884,,,14649,,,45603,,,,,,,,,,,3367,,,,8090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/08,3804690,1181871,536046,226500,159952,192419,246664,91851,314599,37422,,112798,62697,,37627,,,21143,,,59097,29428,24425,8517,6850,17000,,,14872,,,4585,2783,,,10044,3960,3212,,,,,3346,1294,1738,,,,,,,,,1741,,,,,,,,,,,,,,
2016/12/15,4097284,1278661,546213,260342,167744,308589,253482,95508,260676,42856,106881,102800,65911,,40328,,,21924,,21124,57014,33715,26941,8552,5898,17819,,,15803,,,3895,2919,,,11090,3850,2951,,,,,3276,1105,1573,,,,,,,,,1562,,,,,,,,,,,,,,
2016/12/22,4734892,1362447,618451,350056,176701,358600,316463,120575,292304,57573,119700,133253,71970,,45102,,,33283,17271,22609,85581,41053,31548,9706,9066,23197,,,17852,,,3767,3718,,,13741,4202,4288,,,,,4231,1357,1919,,,,,,,,,1748,,,,,,,,,,,,,,
2016/12/29,4896888,1144848,534552,474951,177858,410178,354845,140407,235140,53865,143153,99259,66727,128838,39154,,,34658,23848,29766,99618,43868,40621,8988,10618,24906,,,22440,,17073,4517,3084,,,9480,4302,4337,,,,,4228,1869,2288,,,,,,,,,1691,,,,,,,,,,,,,,
2017/11/09,,,,,,,,,67384,,,,,,,,,,,,,,,,,,,,,,,,,,,6029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
