Date,Global,US,GB,CA,AU,NL,IE,DE,SE,BE,NZ,NO,DK,ZA,CH,PT,AT,AE,IS,SG,LV,LT,LU,EE,CY,SK
Total,1145806104,537583937,158088697,81691735,77183071,40667833,28491614,18298346,12067789,11301141,10783135,8876089,6449616,4130627,4026499,2906735,2822983,621724,437633,413329,265357,231138,196417,158608,110226,21279
Peak,28868638,11205319,5494542,1892548,2342179,1636478,791359,1100595,546081,413728,331634,361918,268689,140723,140801,125147,114412,31103,14785,62296,14323,16056,8959,9606,7979,21279
2022/07/14,,1583302,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/21,,2494363,,,,,,,,,,,,,,,,,,,,,,,,
2022/07/28,,2255049,,,,,,,,,,,,,,,,,,,,,,,,
2022/08/04,,2024236,,,,,41758,,,,,,,,,,,,,,,,,,,
2022/08/11,,2485585,,,,,47708,,,,,,,,,,,,,,,,,,,
2022/08/18,,2416205,,272411,,,61428,,,,,,,,,,,,,,,,,,,
2022/08/25,,2371873,,231671,,,52899,,,,,,,,,,,,,,,,,,,
2022/09/01,,2097547,,,,,48840,,,,,,,,,,,,,,,,,,,
2022/09/08,,2049466,,,,,,,,,,,,,,,,,,,,,,,,
2022/09/15,,2045955,,,,,43727,,,,,,,,,,,,,,,,,,,
2022/09/22,,2542661,,,,,45065,,,,,,,,,,,,,,,,,,,
2022/09/29,,2101209,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/06,,2036009,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/13,,2100976,,,,,,,,,,,,,,,,,,,,,,,,
2022/10/20,,3112886,,266393,,,,,,,,,,,,,,,,,,,,,,
2022/10/27,,2573331,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/03,,2877118,,261981,,,,,,,,,,,,,,,,,,,,,,
2022/11/10,,2858863,,250461,,,,,,,,,,,,,,,,,,,,,,
2022/11/17,,2787172,,254363,,,46617,,,,,,,,,,,,,,,,,,,
2022/11/24,,2749308,,267681,,,52759,,,,,,,,,,,,,,,,,,,
2022/12/01,,2685881,,271100,,,58348,,,,,,,,,,,,,,,,,,,
2022/12/08,,2704118,,,,,57699,,,,,,,,,,,,,,,,,,,
2022/12/15,,2558642,,,,,61987,,,,,,,,,,,,,,,,,,,
