Date,Global,US,MX,PH,ES,MY,CL,PE,ID,AR,NO,SE,GB,CR,CO,SG,NL,DK,IT,AU,HK,EC,DE,BE,PT,FR,BR,CA,BO,TW,CH,PL,DO,PY,FI,NZ,HN,SV,TR,GT,IE,NI,PA,GR,IS,UY,CZ,LT,AT,HU,JP,EE,LV,TH,SK
Total,210966405,24469967,23549711,8154336,6797067,6346301,6247396,5011228,4967313,4804593,4801186,4512577,2519662,2459330,2391253,2201656,2146613,1727134,1510227,1396419,1334003,1333546,1239159,1223743,1123281,903441,828599,662967,634196,558255,510950,491157,485562,332166,318853,307699,301140,299625,278150,233135,226795,221347,173841,161497,133681,128208,64797,57465,48274,42068,41864,39248,26471,11053,7863
Peak,6838656,1732057,472776,204728,229223,79985,143948,91880,471997,144006,281258,473936,412166,51511,48413,43645,186785,179822,52856,293379,29668,24769,148948,44781,51175,69215,52185,234779,7767,20389,12444,18797,8014,7772,65858,46579,6075,6195,11517,9534,49202,3551,6047,3029,6674,3890,3593,1991,6681,2479,41864,2288,1722,11053,1582
2013/04/28,,941106,,,199685,,,,,,281258,473936,231557,,,,186785,179822,52856,49518,,,140308,44781,12757,69215,,,,,11161,16562,,,65858,22186,,,,,15474,,,,,,,1689,6681,,,2288,1722,,
2013/05/05,,889269,,,209131,,,,,,262966,448816,221367,,,,158820,165089,51790,48275,,,147049,43591,12756,67094,,,,,11590,16068,,,63488,21387,,,,,15154,,,,,,,1783,6647,,,2052,1704,,
2013/05/12,,869859,,,215094,,,,,,252145,438139,203899,,,,161467,155050,50451,49846,,,148948,42797,14403,63695,,,,,12444,18656,,,54233,20160,,,,,13708,,,,,,,1952,6312,,,2000,1450,,
2013/05/19,,823533,,,212398,,,,,,227137,407951,193907,,,,148690,139086,52728,50470,,,135206,38156,15189,63870,,,,,11568,18241,,,45839,20297,,,,,12518,,,,,,,1780,5456,,,1796,1342,,
2013/05/26,,749370,,,227571,,,,,,234938,395124,179742,,,,148747,131280,51566,49534,,,134998,35576,15610,60762,,,,,12162,18797,,,48285,19003,,,,,11756,,,,,,,1991,5295,,,2017,1386,,
2013/06/02,,641008,,,229223,,,,,,233805,363034,165284,,,,132257,113178,50521,44493,,,127614,30550,15138,50195,,,,,10873,16126,,,41150,17629,,,,,10262,,,,,,,1938,4551,,,1828,1247,,
2013/06/09,,601063,,,221317,,,,,,238238,318032,154363,,,,112944,103919,44770,39455,,,107995,25432,14291,43479,,,,,9995,14365,,,,16102,,,,,8557,,,,,,,1787,3731,,,1880,1196,,
2013/06/16,,560408,,,221249,,,,,,239542,296865,135661,,,,108241,95944,42688,40560,,,102585,24284,13616,42239,,,,,9981,13828,,,,15561,,,,,7603,,,,,,,1886,3502,,,2037,1160,,
2013/06/23,,523773,,,213765,,,,,,230913,263270,125327,,,,95933,83319,38446,38275,,,91003,21412,13728,39954,,,,,8967,12486,,,,13254,,,,,6871,,,,,,,1781,2962,,,1685,1048,,
2013/06/30,,497404,,,192295,,,,,,213342,251371,115529,,,,81022,73959,36540,36537,,,91254,20335,11970,38942,,,,,8841,13779,,,,10462,,,,,6245,,,,,,,1769,3137,,,1615,,,
2013/07/07,,428174,,,172536,,,,,,191561,241802,105222,,,,70134,62934,34541,34443,,,,16807,10962,36941,,,,,8395,11565,,,,9781,,,,,5708,,,,,,,1661,,,,1749,1064,,
2013/07/14,,436082,,,164015,,,,,,171496,220912,102388,,,,62409,58825,34863,31876,,,,15060,10387,33692,,,,,7917,11913,,,,9099,,,,,5395,,,,,,,1514,,,,1576,1072,,
2013/07/21,,416490,,,156814,,,,,,160484,205011,94071,,,,,54807,32685,31947,,,,13545,9370,31329,,,,,7460,11427,,,,9178,,,,,4985,,,,,,,1583,,,,1504,1040,,
2013/07/28,,399722,,,145372,,,,,,149051,188314,79179,,,,49723,,29745,29753,,,,12736,9011,32467,,,,,6773,10513,,,,8697,,,,,4180,,,,,,,1453,,,,1542,,,
2013/08/04,,386686,,,140550,,,,,,152548,,,,,,,,27059,,,,,12690,8198,30039,,,,,6762,9717,,,,,,,,,3826,,,,,,,1311,,,,1323,,,
2013/08/11,,375136,,,126510,,,,,,152805,,,,,,,54816,23773,,,,,12482,7765,28362,,,,,6577,9180,,,,,,,,,,,,,,,,1224,,,,1331,,,
2013/08/18,,376472,,,109528,,,,,,146774,,,,,,,,16840,,,,,12057,6381,25063,,,,,5984,,,,,,,,,,,,,,,,,1187,,,,,,,
2013/08/25,,359448,,,98574,,,,,,136659,,,,,,,,18204,,,,,,6213,24453,,,,,6012,,,,,,,,,,,,,,,,,1132,,,,,,,
2013/09/01,,360141,,,101769,,,,,,128488,,,,,,,,19475,,,,,,6106,23753,,,,,5410,,,,,,,,,,,,,,,,,1059,,,,,,,
2013/09/08,,,,,107843,,,,,,132050,,,,,,,,20664,,,,,,6798,23648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/09/15,,,,,99695,,,,,,117791,,,,,,,,19707,,,,,,6254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/09/22,,,,,92733,,,,,,110747,,,,,,,,17872,,,,,,5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/09/29,,,,,95643,,,,,,,,,,,,,,17045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/10/06,,,,,94422,,,,,,,,,,,,,,15681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/10/13,,,,,88188,,,,,,,,,,,,,,14811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/10/20,,,,,89661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/10/27,,,,,83364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/11/03,,,,,79349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/11/10,,,,,76912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/11/17,,,,,95869,,,,,,,,,,,,,,,,,,,,5442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/11/24,,,,,89245,,,,,,,,,,,,,,,,,,,,6341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/01,,,,,74732,,,,,,,,,,,,,,,,,,,,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/08,,,,,64406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/15,,,,,65500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/22,,,,,,,,,,,,,,,,,,,,,3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/29,,,,,,,,,,,,,,,,,,,,,2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/01/05,,,,,,,,,,,,,,,,4675,,,,,3737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/01/12,,,,,,,,,,,,,,,,5920,,,,,4364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/01/19,,,,,,,,,,,,,,,,7119,,,,,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/01/26,,,37306,,,4325,,2665,,,,,,,,7975,,,,,4728,1028,,,10072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/02/02,,,54680,,,3993,5239,4484,,,,,,1330,,7087,,,,,4932,1480,,,10112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/02/09,,550507,78732,,,4745,7842,5086,,9640,,,,1866,6091,8943,,,,,5512,1935,,,11420,,,,,6508,,,1160,,,,,,,,,,,2494,,,,,,1488,,,,,
2014/02/16,,,75175,,,5312,7388,5474,,10823,,,,1848,6251,9848,,,,,5244,1946,,,10794,,,,,7089,,,1165,,,,,,,,,,,,,,,,,,,,,,
2014/02/23,,,85053,,,5421,7458,6027,,11846,,,,1831,6390,9963,,,,,6037,1799,,,9761,,,,,7618,,,1222,,,,,,,,,,,,,,,,,,,,,,
2014/03/02,,,85132,,,5646,7427,5822,,11918,,,,2006,6694,9578,,,,,6070,1946,,,,,,,,7469,,,1180,,,,,,,,,,,,,,,,,,,,,,
2014/03/09,,,72855,,,5609,8125,5648,,9802,,,,2071,6691,9818,,,,,5705,1679,,,,,,,,,,,1164,,,,,,,1029,,,,,,,,,,,,,,,
2014/03/16,,,76516,,,6447,10278,6289,,12161,,,,2501,8056,10613,,,,,6595,2530,,,,,,,,9651,,,1446,,,,,,,1250,,,,,,,,,,,,,,,
2014/03/23,,,74836,,117423,6937,11412,6785,,13058,,,,2783,8249,11519,,,,,7601,2844,,,,,,,,10431,,,1460,,,,,1005,,1250,,,,,,,,,,,,,,,
2014/03/30,,,74845,,,7017,12241,6990,,12177,,,,3036,8193,14463,,,,,11276,3206,,,,,,,,10077,,,1562,,,,,1005,,1610,,,1006,,,1073,,,,,,,,,
2014/04/06,,,72763,,,7400,11822,7116,,11746,,,,3079,8075,13289,,,,,13197,2933,,,,,,,,11433,,,1689,,,,1068,1035,,1474,,,1050,,,1187,,,,,,,,,
2014/04/13,,,66975,3663,,6662,10094,7024,,11636,,,,2371,,11145,,,,,9057,2691,,,,,,,,9637,,,1411,,,,,,,,,,,,,,,,,,,,,,
2014/04/20,,,,,,,9487,6298,,11058,,,,,,,,,,,7144,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/04/27,,,,,,,,6512,,,,,,,,,,,,,6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/05/04,,,,,,,,6459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/05/11,,,,,,,,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/05/18,,,,,,,,7719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/05/25,,,,,,,,7542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/06/01,,,,,,,,7829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/06/15,,,,26909,,,,,,,,,,,,,,,,,6256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/10,,,,,,,,12983,,33562,,,,,,,,,,,,,,,,,,,,,,,2748,,,,,,,,,,,,,,,,,,,,,,
2014/08/17,,,,,,,,13060,,,,,,,,,,,,,,,,,,,,,,,,,2929,,,,,,,,,,,,,,,,,,,,,,
2014/08/24,,,,,,,,11525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3012,,,,,,,,,,,,,,,,,,,,,,
2014/09/14,,,,,,,,,,38028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/21,,,,,,,,,,44276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3180,,,,,,,,,,,,,,,,,,,,,,
2014/10/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5024,,,,,,,,,,,,,,,,,,,,,,
2014/10/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6164,,,,,,,,,,,,,,,,,,,,,,
2014/10/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296,,,,,,,,,,,,,,,,,,,,,,
2014/10/26,1131538,349566,91014,39559,67527,8418,26615,11427,,29057,47783,,,5469,11278,13976,,,22746,,8196,5382,,9798,6312,,25264,,1284,10967,7240,,4002,,,,1651,1378,6504,2076,,,1512,2543,,1446,2447,1233,,1809,,1380,,,
2014/11/02,1122069,,90642,38191,65879,8639,25780,11071,,28700,47213,,,5505,11840,13759,,,22856,,8239,5131,,10367,6831,,27634,6825,1440,11356,7611,9612,3672,1025,,,1435,1488,7025,1948,,,1590,2662,1027,1602,2645,1387,,2092,,1383,,,
2014/11/09,1149878,,92273,40482,67065,9060,25206,11476,,29597,47273,,,5853,12128,14431,,,23518,,8516,5369,,10004,6873,,28434,7493,1465,11498,7946,10726,3499,1129,,,1615,1498,7148,2264,,,1518,2690,,1695,2857,1286,,1940,,1421,1514,,
2014/11/16,1165445,360099,93279,41258,66700,9434,25423,11470,,28048,47420,,,5936,12966,13779,,,23424,,8427,5463,,9993,6595,,31229,,1486,10443,7768,,3387,1261,,,1544,1725,6887,2113,,,1549,2432,,1584,2649,1249,,1990,,,,,
2014/11/23,1165577,369328,93988,39511,66890,9336,24831,11440,,26933,45899,,,5901,12484,14405,,,23964,,8260,5375,,10058,6918,,30803,,1465,9109,7420,,3256,1379,,,1553,1602,7018,2135,,,1740,2602,,1649,2654,1261,,1855,,,,,
2014/11/30,1141767,342357,98180,38775,69481,9804,23820,11086,,24991,,,,5737,12847,14419,,,24120,,8359,5211,,10561,6452,,31096,,1458,10166,7908,11202,3246,1194,,,1540,1498,7627,1935,,,1679,2563,,1651,2859,1428,,1990,,1399,1506,,
2014/12/07,1189244,,107480,38449,69617,9608,25056,12099,,29932,,,,6201,13673,13813,,,24738,,8646,5133,,11430,6172,21512,32355,,1811,9642,8235,11453,3313,1355,,,1786,1740,7902,2062,,,1725,2438,,1930,2757,1462,,2344,,1296,1591,,1078
2014/12/14,1156301,,110125,35577,65614,8909,25774,12668,,33515,,,,6483,13381,12394,,,,,7752,5963,,10715,,,30779,,1655,8125,7616,,3424,1339,,,1715,1631,7519,2165,,,1735,2214,,2014,2556,1242,,1977,,,,,
2014/12/21,1203688,,115031,36536,66356,8963,27479,13496,,36560,,,,6825,15134,12152,,,23363,,7718,5898,,10685,,,33024,,1644,8500,7928,,3461,1489,,,1835,1973,7653,2103,,,1928,2341,,2163,2858,1366,,1942,,1306,,,
2014/12/28,1105077,,106020,33528,,8071,26235,11840,,34815,,,,6286,13768,10962,,,,,6939,5817,,10750,,,31612,,1489,8508,,,3257,1551,,,1742,1836,7646,1996,,,1865,2123,,2034,,,,,,,,,
2015/01/04,1172720,,109040,33289,62552,8321,23643,11409,,32106,39277,,,6254,12590,11503,,,21815,,7195,5608,,11049,,,28786,8917,1406,7674,7426,,3301,1410,,7934,1842,1900,7373,1924,,,1957,2205,,2026,2764,1187,,1983,,,,,
2015/01/11,1286132,397128,122579,38905,69094,10182,25816,11684,,32642,41628,,,7469,14787,13041,38585,29545,24681,,8007,6163,,10653,6421,,33929,10069,1605,9013,8248,11904,3614,1479,,8277,2117,2180,8085,2391,,,1971,2713,1165,1911,3230,1439,,2259,,,1618,,1007
2015/01/18,1359793,442139,126476,37498,73528,9686,26319,12234,,32792,44243,,,6958,14313,14077,39040,29742,27626,,8054,6621,,11822,7032,,34973,,1557,9319,8527,11718,3812,1526,,,1860,2197,7983,2510,,,1942,2843,1183,1956,3224,1537,,2263,,,1647,,
2015/01/25,1407936,469214,131485,39884,74707,9882,26764,12285,,33022,45518,,,7370,15332,14528,39276,30193,28131,,8219,7012,,12472,7594,,34900,,1580,8775,8519,12340,3766,1500,,8167,1943,2184,8065,2665,,,2007,2883,1227,2203,3061,1488,,2343,,,,,
2015/02/01,1446946,478861,135446,42944,81510,10338,27748,12144,,34172,44990,,,7459,16057,15762,40308,29763,28567,,9043,7098,,12394,7795,26426,37218,12801,1778,9209,8987,12357,3792,1578,,7840,2113,2147,8440,2993,,,1983,2880,1170,2163,3188,1515,,2479,,1510,1679,,1018
2015/02/08,1451231,490274,133253,45001,77312,10179,26488,12090,,33461,44475,,,7879,17496,16330,41095,29607,28735,,8903,6896,,11807,6964,26311,37730,12961,1865,8868,8555,12398,3936,1747,,,2161,2330,8125,2808,,1081,2091,3029,1253,2286,3020,1435,,2297,,,1485,,
2015/02/15,1474732,493954,136939,49320,77777,10764,28824,11960,,40588,44680,,,7875,17596,18513,43371,,28376,,10831,7223,,11567,7339,,34790,12935,1524,8941,8300,11676,4068,1588,,,2348,2355,7766,2964,,1038,2324,2684,1390,2083,3008,1347,,2216,,,,,
2015/02/22,1379047,453141,133394,44276,79699,8570,27518,12134,,38550,,,,8089,16897,13804,39872,,26940,,8347,6315,,11731,,,,,1418,6936,8088,,4056,1468,,,2364,2240,7720,3034,,1043,1876,2419,1393,1827,2998,1276,,2262,,,,,1038
2015/03/01,1374943,451087,133130,43061,80970,9491,25505,12339,,38716,,,,8054,16856,15146,39707,,27204,,8614,6766,,11231,6050,,35578,,1679,7933,8132,,3807,1463,,,2350,2184,8488,2776,,1044,2151,2384,1250,1963,3026,1419,,2227,,,,,1097
