Date,Global,GB,DE,SE,AU,CA,IE,DK,IT,AT,NZ,NO,CH,NL,HU,BE,LT,LV,MT,SK,CZ,GR,HK,LU,EE,RO,CY,IS,BG
Total,57127261,27760515,4298762,2196664,1927251,1826116,1651374,1447617,1013365,557589,518748,308406,296463,254058,79387,73370,33941,30753,24846,24705,22350,20544,20261,11780,11411,9371,8361,7400,3612
Peak,9435165,3154333,959623,330727,594433,466473,219532,136177,289081,69738,150273,114813,92587,254058,37789,73370,9915,10179,5631,10684,22350,11156,20261,5705,7067,9371,2542,7400,3612
2014-12-07,,202264,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-14,,215380,,,,,7100,,,,,,,,,,,,,,,,,,,,,,
2014-12-21,,249695,,,,,7831,,,,,,,,,,,,,,,,,,,,,,
2014-12-28,,340697,109536,,,,8168,,,5559,,,,,,,,,,,,,,,,,,,
2015-12-03,,183020,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-10,,342378,,,,,13747,,,8135,,,,,,,,,,,,,,,,,,,
2015-12-17,,466437,,,,,21603,,,9796,,,,,,,,,,,,,,,,,,,
2015-12-24,2151703,857173,400866,,,,35785,85609,,28459,23949,,,,,,,,,,,,,,,,,,
2015-12-31,,389519,,,,,15777,,,,,,,,,,,,,,,,,,,,,,
2016-12-01,,230339,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-08,,543863,,,,,23712,68419,,14715,,,,,,,,,,,,,,,,,,,
2016-12-15,,645568,,,,,31903,66388,,13996,,,,,,,,,,,,,,,,,,,
2016-12-22,,998859,249136,162255,,,46918,79612,72289,22663,,,,,,,,,,,,,,,,,,,
2016-12-29,3397285,1229737,467419,190990,154694,,58037,81107,103756,28699,49982,,22023,,,,,,,,,,,1293,,,,,
2017-11-30,,312252,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-07,,926172,,139848,,,44381,83507,,21322,,,,,,,,,,,,,,,,,,,
2017-12-14,,1562100,,150446,,,107234,76523,129515,23830,,,,,,,,,,,,,,,,,,,
2017-12-21,,1785123,365707,190265,204617,,128082,78708,155630,31498,54943,,29024,,9996,,3865,4179,2419,4660,,4539,,,,,,,
2017-12-28,6308167,2496575,789234,277871,459721,,163316,92452,263094,52488,108297,,66257,,14750,,3716,4519,2440,,,4849,20261,2259,,,1033,,
2018-11-29,,545809,,,,,41942,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,,1440295,,164713,,,88514,94845,,,,,,,,,,,,,,,,,,,,,
2018-12-13,4941267,1766906,,186073,,234822,127695,91930,,32080,,91063,,,,,4707,,3449,,,,,,,,1373,,
2018-12-20,5928614,2115174,444302,223336,251778,268727,163300,97047,,41768,66615,102530,40862,,16852,,5944,5905,4072,9361,,,,2523,4344,,1574,,
2018-12-27,9435165,3154333,959623,330727,594433,466473,219532,136177,289081,69738,150273,114813,92587,254058,37789,73370,9915,10179,5631,10684,22350,11156,,5705,7067,9371,2542,7400,3612
2019-11-28,,426910,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05,,1219006,,,,231662,72347,98392,,41603,,,,,,,,,,,,,,,,,,,
2019-12-12,,1442801,,,,285518,100838,102419,,50292,,,,,,,,,3124,,,,,,,,,,
2019-12-19,6016368,1672130,512939,180140,262008,338914,123612,114482,,60948,64689,,45710,,,,5794,5971,3711,,,,,,,,1839,,
