Date,Global,MX,CL,BR,AR,PE,AU,NL,ES,FR,BE,CR,CH,CA,SV,GB,CO,HN,NZ,IE,PT,EC,AT,DE,NI,CZ,GT,IL,IT,SE,BO,LU,DK,UY,PY,MT,SK,ZA,IS,LV,AE,LT,CY
Total,1252369498,68478791,61059176,22681986,16089302,16045189,12442427,12393397,12137359,10809082,10520242,9393371,6584125,6509941,5949225,5631888,5098319,4446950,4385682,4312192,4294248,2856923,2113875,1994616,1477530,1390965,1341062,1223750,1050495,1018802,995644,757157,447827,408598,238528,148138,120647,114487,71675,27784,18213,10659,1380
Peak,12195389,1421010,368446,1253022,353530,189643,452883,284182,500570,453810,110622,59455,88039,391388,47244,623556,128863,35413,80099,83257,89867,80965,62268,512285,21180,74028,82826,52320,373007,152436,33558,7059,86027,27710,35836,2905,22904,23724,7533,10674,18213,10659,1380
2019/05/09,,457884,,,,,,,,,,20862,,,8403,,44110,6323,,,,23513,,,,,,,,,,,,,,2315,,,,,,,
2019/05/16,,462844,,,,,,,,,,20769,,,8262,,,6803,,,,23757,,,2919,,14240,,,,,,,,,2244,,,,,,,
2019/05/23,,466217,,,,,,,,,,21086,,,8836,,,6590,,,,23394,,,,,14711,,,,,,,,,2379,,,,,,,
2019/05/30,,485610,,,,,,,,,,21815,,,8826,,46112,6732,,,,24313,,,2971,,15263,,,,,,,,,2385,,,,,,,
2019/06/06,,493558,,,,,,,,,,21452,,,8707,,,6739,,,,23552,,,3037,,,,,,,,,,,2512,,,,,,,
2019/06/13,,498148,,,,,,,,,,22330,,,9242,,46878,7261,,,,24349,,,3128,,15862,,,,,,,,,2260,,,,,,,
2019/06/20,,494838,,,,,,,,,,22564,,,9243,,45259,7003,,,,24328,,,3240,,15067,,,,,,,,,2366,,,,,,,
2019/06/27,,488843,,,,,,,,,,22226,,,8988,,44057,6998,,,,24469,,,3215,,15763,,,,,,,,,2453,,,,,,,
2019/07/04,,507627,,,141549,58391,,,,,,23312,,,9895,,45966,7444,,,,26007,,,3281,,16581,,,,9017,,,,,2430,,,,,,,
2019/07/11,,530951,144080,456004,149245,62916,,,,,,23749,,,10060,,52849,8045,,,,27417,,,3517,,17185,,,,9565,,,,,2489,,,,,,,
2019/07/18,4526969,555052,152732,503849,166600,69318,,,,,,25037,,,10514,,56142,8439,,,,28014,,,3583,,18141,,,,9767,,,,,2779,,,,,,,
2019/07/25,4450451,557051,153969,499236,165870,68247,,,,,,24548,,,10165,,54203,8176,,,,28808,,,3343,,18706,,,,9904,,,,,2687,,,,,,,
2019/08/01,4374374,551499,156256,,164729,60445,,,,,,24491,,,10171,,53824,8301,,,,28275,,,3665,,18565,,,,10049,,,,,2689,,,,,,,
2019/08/08,4331556,546875,160172,,163371,66179,,,,,,24173,,,10116,,53433,8451,,,,28889,,,3899,,18914,,,,9711,,,,,2622,,,,,,,
2019/08/15,4309993,553587,155551,,157963,67524,,,,,,24047,,,10304,,54343,8276,,,,28348,,,3841,,18574,,,,,,,,,2446,,,,,,,
2019/08/22,4311844,558901,164296,,162369,68821,,,,,,24820,,,10591,,55627,8268,,,,28715,,,,,19119,,,,,,,,,2680,,,,,,,
2019/08/29,,519233,,,,,,,,,,23005,,,9517,,50419,7395,,,,26216,,,,,,,,,,,,,,2580,,,,,,,
2019/09/05,,561687,,,,67901,,,,,,24569,,,10366,,53666,8158,,,,28144,,,,,18426,,,,,,,,,2604,,,,,,,1380
2019/09/12,,554656,,,,72610,,,,,,24180,,,10531,,54802,8042,,,,28323,,,,,18339,,,,,,,,,2628,,,,,,,
2019/09/19,,519321,,,,74143,,,,,,23621,,,10124,,54711,7977,,,,28995,,,,,,,,,,,,,,2579,,,,,,,
2019/09/26,,567465,146955,,,76505,,,,,,24391,,,10873,,54935,8274,,,,29893,,,,,19888,,,,,,,,,2553,,,,,,,
2019/10/03,,559730,161648,,,72637,,,,,,24945,,,10813,,55222,8473,,,,29145,,,,,20477,,,,,,,,,2577,,,,,,,
2019/10/10,,570379,166529,,,74589,,,,,,25681,,,11284,,56520,8265,,,,24720,,,3978,,20745,,,,,,,,,2621,,,,,,,
2019/10/17,,583610,175111,,,78111,,,,,,26056,,,11424,,56316,8448,,,,26740,,,4004,,20626,,,,,,,,,2625,,,,,,,
2019/10/24,,579197,,,,78723,,,,,,26139,,,11430,,57428,8245,,,,31224,,,4034,,20400,,,,,,,,,2617,,,,,,,
2019/10/31,,584092,,,,78156,,,,,,26407,,,11440,,58844,8455,,,,31088,,,4176,,21059,,,,,,,,,2782,,,,,,,
2019/11/07,,558142,,,,73409,,,,,,25786,,,11489,,55822,8510,,,,30440,,,,,20015,,,,,,,,,2719,,,,,,,
2019/11/14,,573416,,,,77458,,,,,,26068,,,11576,,55792,8800,,,,31443,,,,,20345,,,,,,,,,2520,,,,,,,
2019/11/21,,567768,,,,,,,,,,26001,,,11286,,54686,8457,,,,31556,,,,,20044,,,,,,,,,2535,,,,,,,
2019/11/28,,577758,,,,,,,,,,25152,,,10951,,49139,8286,,,,30976,,,,,,,,,,,,,,2272,,,,,,,
2019/12/05,,577438,,,,,,,,,,24641,,,11077,,54221,8380,,,,30724,,,,,,,,,,,,,,2251,,,,,,,
2019/12/12,,584782,,,,,,,,,,25696,,,11491,,57362,8695,,,,32446,,,,,,,,,,,,,,,,,,,,,
2019/12/19,,556718,,,,,,,,,,25140,,,,,,8579,,,,32555,,,,,,,,,,,,,,,,,,,,,
2019/12/26,,,,,,,,,,,,23149,,,,,,8226,,,,,,,,,,,,,,,,,,,,,,,,,
2020/01/02,,,,,,,,,,,,22201,,,,,,7853,,,,,,,,,,,,,,,,,,2272,,,,,,,
2020/01/09,,526763,164400,,,,,,,,,23167,,,11020,,53481,8080,,,,31294,,,,,,,,,,,,,,2437,,,,,,,
2020/01/16,,563553,174522,,,,,,,,,23965,,,11918,,58047,8681,,,,,,,,,,,,,,,,,,2542,,,,,,,
2020/01/23,,570381,174156,,,,,,,,,24381,,,12098,,59750,8643,,,,32560,,,,,,,,,,,,,,2524,,,,,,,
2020/01/30,,580062,173856,,,,,,,,,24786,,,12590,,62156,9048,,,,32429,,,,,,,,,,,,,,2694,,,,,,,
2020/02/06,,559900,174400,,,,,,,,,24964,,,12679,,62062,9220,,,,32087,,,,,,,,,,,,,,2662,,,,,,,
2020/02/13,,611687,180553,,194986,,,,,,,25896,,,13239,,64684,9940,,,,32956,,,,,,,,,,,,,,2646,,,,,,,
2020/02/20,,612221,182370,,192604,,,,,,42993,26538,,,13295,,63728,9632,,,,32893,,,,,,,,,,,,,,2905,,,,,,,
2020/02/27,,591982,168877,,,,,,,,,26246,,,13150,,63198,9373,,,,30879,,,,,,,,,,,,,,2547,,,,,,,
2020/03/05,,,,,,,,,,,,25825,,,12709,,,9346,,,,,,,,,,,,,,,,,,2612,,,,,,,
2020/03/12,,,,,,,,,,,,24240,,,12837,,,9093,,,,,,,,,,,,,,,,,,2610,,,,,,,
2020/03/19,,,,,,,,,,,,23213,,,11685,,,8187,,,,,,,,,,,,,,,,,,2532,,,,,,,
2020/03/26,,,,,,,,,,,,20747,,,,,,,,,,,,,,,,,,,,,,,,2350,,,,,,,
2020/04/02,,,,,,,,,,,,20722,,,,,54099,,,,,,,,,,,,,,,,,,,2471,,,,,,,
2020/04/09,,536608,136499,,158732,,,,,,,20606,,,10986,,53917,7621,,,,26470,,,,,,,,,,,,,,2560,,,,,,,
2020/04/16,,,,,159957,,,,,,,19915,,,11060,,52413,7688,,,,,,,,,,,,,,,,,,2553,,,,,,,
2020/04/23,,,145614,,168838,,,,,,,21564,,,11282,,56031,7969,,,,,,,,,,,,,,,,,,2686,,,,,,,
2020/04/30,,,145383,,161397,,,,,,,21936,,,11505,,,,,,,,,,,,,,,,,,,,,2638,,,,,,,
2020/05/07,,509192,145316,463939,170385,,,,,,,22815,,,11382,,57272,8052,,,,,,,,,,,,,,,,,,2519,,,,,,,
2020/05/14,,522813,148799,472797,172520,,,,,,,23140,,,,,58902,8236,,,,,,,,,,,,,,,,,,2618,,,,,,,
2020/05/21,,542278,147535,,178459,,,,,,,23466,,,11134,,61064,8243,,,,27972,,,,,,,,,,,,,,2660,,,,,,,
2020/05/28,,545319,146116,,170972,,,,,,,23378,,,11575,,59588,8455,,,,,,,,,,,,,,,,,,2771,,,,,,,
2020/06/04,,541825,143327,,169297,,,,,,,,,,,,,8115,,,,,,,,,,,,,,,,,,2672,,,,,,,
2020/06/11,4281090,553999,146390,,178884,,,,,,,24199,,,11205,,62418,8255,,,,28916,,,,,,,,,,,,,,2649,,,,,,,
2020/06/18,,560057,146590,,180938,,,,,,,23712,,,11298,,61512,8320,,,,29216,,,,,,,,,,,,,,2752,,,,,,,
2020/06/25,4343451,548241,145823,,183636,63395,,,,,,23502,,,11656,,60933,8453,,,,29253,,,,,,,,,,,,,,2532,,,,,,,
2020/07/02,,534342,140285,,171093,,,,,,,23854,,,11512,,59538,8402,,,,28578,,,,,,,,,,,,,,2525,,,,,,,
2020/07/09,,538464,143123,,171622,,,,,,,23027,,,11523,,61316,8530,,,,28508,,,4412,,,,,,,,,,,,,,,,,,
2020/07/16,,556104,149327,,174662,,,,,,,22901,,,12156,,63357,8733,,,,29833,,,,,,,,,,,,,,,,,,,,,
2020/07/23,,541741,144444,,,,,,,,,22907,,,12217,,61923,9053,,,,29066,,,,,,,,,,,,,,,,,,,,,
2020/07/30,,537479,149551,,177377,,,,,,,23412,,,12920,,62954,9195,,,,29512,,,,,,,,,,,,,,,,,,,,,
2020/08/06,,532460,148971,,,,,,,,,23475,,,12906,,62433,9019,,,,29056,,,,,,,,,,,,,,,,,,,,,
2020/08/13,,536977,153002,,175758,,,,,,,23040,,,12560,,61144,9277,,,,30013,,,,,,,,,,,,,,,,,,,,,
2020/08/20,,534998,150511,,,,,,,,,22092,,,12549,,,9207,,,,28659,,,,,,,,,,,,,,,,,,,,,
2020/08/27,,,154638,,,,,,,,,22786,,,12419,,,9220,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09/03,,,155014,,175821,,,,,,,23734,,,13078,,,9685,,,,29184,,,,,,,,,,,,,,,,,,,,,
2020/09/10,,,150950,,,,,,,,,21970,,,12734,,,9219,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09/17,,,154546,,,,,,,,,22116,,,12730,,,9254,,,,,,,,,,,,,,,,,,,,,,,,,
2020/09/24,,,,,,,,,,,,22399,,,12743,,,9875,,,,,,,,,,,,,,,,,,,,,,,,,
2020/10/01,,,162818,,,,,,,,,22899,,,13275,,,9828,,,,,,,,,,,,,,,,,,,,,,,,,
2020/10/08,,,170705,,186181,,,,,,,22830,,,13834,,,9962,,,,,,,,,,,,,,,,,,,,,,,,,
2020/10/15,,567302,171233,,,,,,,,,23142,,,13876,,,10149,,,,,,,5058,,,,,,,,,,,,,,,,,,
2020/10/22,,,173817,,,,,,,,,23585,,,13645,,,10215,,,,,,,5058,,,,,,,,,,,,,,,,,,
2020/10/29,,572807,192911,,,,,,,,,24460,,,14208,,,10527,,,,,,,5176,,,,,,,,,,,,,,,,,,
2020/11/05,,546083,204912,,,,,,,,,23439,,,13823,,,9309,,,,,,,4807,,,,,,,,,,,,,,,,,,
2020/11/12,,558156,208576,,,,,,,,,23341,,,14057,,,9091,,,,,,,5070,,,,,,,,,,,,,,,,,,
2020/11/19,,562126,204273,,,,,,,,,24289,,,14039,,,8966,,,,,,,4835,,,,,,,,,,,,,,,,,,
2020/11/26,,,209405,,,,,,,,,23989,,,14919,,,10038,,,,,,,5231,,,,,,,,,,,,,,,,,,
2020/12/03,,,218517,,,,,,,,,24860,,,15846,,,10747,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/10,,,228848,,,,,,,,,25528,,,16085,,,10950,,,,,,,5479,,,,,,,,,,,,,,,,,,
2020/12/17,,,225968,,,,,,,,,25678,,,16004,,,11415,,,,,,,5425,,,,,,,,,,,,,,,,,,
2020/12/24,,,237889,,,,,,,,,26521,,,16762,,,11893,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/31,,,229248,,,,,,,,,25663,,,15347,,,10819,,,,30515,,,,,,,,,,,,,,,,,,,,,
2021/01/07,4557418,565918,221838,,200292,73718,,,,,40778,25059,,,15334,,,10974,,,,30608,,,5414,,,,,,,,,,,,,,,,,,
2021/01/14,,579442,230699,,196770,76181,,,,,,25359,,,16400,,67910,11073,,,,31693,,,5462,,,,,,,,,,,,,,,,,,
2021/01/21,,585756,230461,,207699,77291,,,,,,25362,,,16391,,69448,11228,,,,32139,,,5324,,,,,,,,,,,,,,,,,,
2021/01/28,,611437,234019,,208262,76267,,,,,,26029,,,16360,,71254,11847,,,,32130,,,5515,,,,,,,,,,,,,,,,,,
2021/02/04,,632882,230867,,213053,75872,,,,,,26712,,,16781,,74456,12272,,,,32797,,,5709,,,,,,,2861,,,,,,,,,,,
2021/02/11,,639514,240505,,217346,75637,,,,,,26783,,,17069,,76203,12244,,,,31610,,,6012,,,,,,,,,,,,,,,,,,
2021/02/18,5330293,650399,251862,,220576,76318,,,,,58772,28570,40470,,17654,,77659,12593,,,,33460,,,6277,,,,,,,3111,,12319,,,,,,,,,
2021/02/25,5587166,668668,264878,,218651,77707,,,,,55422,28887,44364,,18006,,77974,12480,,,,33139,,,6104,,,,,,,3120,,12501,,,,17602,,,,,
2021/03/04,5587430,677386,254152,,219914,80834,,,,,53680,29155,43948,,17317,,78485,12237,,,,33836,,,6214,,,,,,,3115,,12732,,,,17792,,,,,
2021/03/11,5504655,669067,249293,,218210,80922,,,,,51886,28731,43107,,17614,,78722,12342,,,,33859,,,6019,,,,,,,3162,,12503,,,,17570,,,,,
2021/03/18,5513037,667227,245443,,218332,80512,,,,,52716,29183,42413,,17808,,78718,12049,,,,33856,,,6285,,,,,,,3229,,12815,,,,,,,,,
2021/03/25,5596922,676749,237447,,220049,81117,,,,,54135,29194,,,17944,,77431,12885,,,,34523,,,6408,,,,,,,3357,,12152,,,,,,,,,
2021/04/01,5685401,676537,228106,,218952,79456,,,,,56129,30068,44070,,18127,,80184,13077,,,,34405,,,6235,,,,,,,3417,,12987,,,,,,,,,
2021/04/08,5593814,627346,221023,,216429,77786,,,,,58123,26334,44637,,16363,,75365,11711,,,32198,32929,,,5692,,,,,,,3457,,12584,,,,19275,,,,,
2021/04/15,5506900,639357,204509,,209226,76124,,,,,56278,27161,42849,,17177,,75208,12061,,,,32401,,,5962,,,,,,,3193,,12281,,,,,,,,,
