Date,Global,US,NZ,GB,AU,NO,CA,DK,IS,SE,PT,LV,IE
Total,63993176,59202359,851662,699275,624062,525005,397541,353518,284095,119002,34470,33595,16626
Peak,2874826,2782198,65447,278186,164213,81857,119230,94653,9095,119002,12466,10862,16626
2016/09/15,,1077069,28023,194914,96623,,89434,77928,6169,,,,
2016/09/22,2874826,1514258,46510,278186,164213,81857,119230,94653,8346,119002,11131,1982,16626
2016/09/29,2242249,1189489,30079,226175,108072,60320,101570,73022,7922,,12466,,
2016/10/06,,1033047,24295,,89918,,87307,57725,6411,,10873,,
2016/10/13,,918636,23070,,85347,,,50190,5800,,,,
2016/10/20,,853809,,,79889,,,,5148,,,,
2016/10/27,,,,,,,,,4476,,,,
2016/11/03,,,,,,,,,3727,,,,
2016/11/10,,,,,,,,,3350,,,,
2016/11/17,,,,,,,,,3436,,,,
2024/02/01,,,,,,,,,6296,,,,
2024/03/21,,,,,,,,,6469,,,,
2024/04/18,,2479232,,,,,,,6898,,,,
2024/04/25,,2518424,,,,,,,7143,,,,
2024/05/02,,2603425,,,,,,,7679,,,,
2024/05/09,,2654169,,,,,,,7525,,,,
2024/05/16,,2720211,,,,,,,7935,,,,
2024/05/23,,2765867,,,,,,,7546,,,,
2024/05/30,,2782198,,,,,,,8179,,,,
2024/06/06,,2674831,,,,,,,7796,,,,
2024/06/13,,2574631,,,,,,,8215,,,,
2024/06/27,,,,,,,,,7307,,,,
2024/07/04,,,,,,,,,7848,,,,
2024/07/11,,,,,,,,,8076,,,,
2024/07/18,,,,,,,,,8100,,,,
2024/07/25,,,62123,,,,,,8049,,,,
2024/08/01,,,62735,,,,,,7551,,,,
2024/08/08,,,62132,,,,,,,,,,
2024/08/15,,2392841,63722,,,,,,7324,,,,
2024/08/22,,,62185,,,,,,7201,,,,
2024/08/29,,2597027,64839,,,76135,,,8043,,,,
2024/09/05,,2541796,63880,,,76310,,,8637,,,,
2024/09/12,,2622402,65447,,,78153,,,9008,,,,
2024/09/19,,2608802,65121,,,76159,,,8693,,,,
2024/09/26,,2668029,64467,,,,,,8284,,,,
2024/10/03,,2649898,,,,,,,8880,,,10315,
2024/10/10,,2723395,,,,76071,,,9095,,,10862,
2024/10/17,,2571706,,,,,,,8760,,,10436,
2024/10/24,,2773283,,,,,,,8366,,,,
2024/10/31,,2693884,63034,,,,,,8407,,,,
