Date,Global,US,GB,CA,AU,IE,DE,NZ,NL,FR,CH,BE,HU,AT,SE,SK,LV,PT,LT,CZ,EE,LU,FI,RO,DK,GR,IS,PL,AE,MT,ZA,CY,BG,IT
Total,227738346,123721720,23996732,19845706,8098752,2818647,2133482,1692713,1415282,1307099,1154035,1030885,830437,726901,598645,390674,324630,301847,273960,272688,156336,142538,141785,136549,91720,83089,75139,45900,45501,42126,40557,38838,34385,32474
Peak,17649258,7643280,2132081,1454093,1087142,253291,819035,186078,339996,575970,129409,147377,96925,97405,217529,30560,24658,83408,27391,51144,13551,14229,78933,39793,91720,17618,11208,29050,17775,6468,25634,7573,11777,32474
2014/12/21,,,,,,6817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,,624790,,23934,,11762,,,,42666,9258,10240,4647,,,1255,2511,,1576,2613,,,,,,2431,1323,16850,,,,,,32474
2015/12/24,,782289,,,,,,,,92644,,,,,,1734,3401,,,,,,,,,,,,,,,,,
2016/12/08,,1236448,,121861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/15,,1318867,,144806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12/22,,1470275,,180479,,21192,,,,,,,,,,2787,3087,,2943,,,,,,,,,,,,,,,
2016/12/29,3585596,1666748,463707,238016,150959,31380,,46061,,124186,27996,30728,11711,,,2679,4614,,3768,6563,2863,2099,,,,4300,,29050,,1581,,,1535,
2017/11/30,,1413625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/07,,1741329,,,,,,,,,,,7777,,,4844,4448,,3814,,,,,,,4194,,,,2222,,,,
2017/12/14,,1933214,,204302,,,,,,,,,9020,,,5932,5416,,4491,13144,3382,1995,,,,4923,,,,2359,,,,
2017/12/21,,2072241,367179,237746,,34001,,,,,,,13234,,,7318,6524,,5348,16674,3987,1925,,,,5490,,,,2619,,,,
2017/12/28,5291075,2514247,757682,367289,339481,58544,,73612,,,,55367,27765,,,8141,9700,,7015,18548,5544,4037,,,,7421,,,,3582,,1218,2630,
2018/11/29,,1703985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/06,,2114757,,296995,,,,,,,,,,,,,4714,,4048,,,,,,,6761,,,,,,,,
2018/12/13,,2354061,465293,364111,,46372,,,,,,,,,,,5480,,5444,,3985,,,,,7657,,,,3087,,1148,,
2018/12/20,5187326,2608119,564206,401022,250518,55587,,54013,,,,,20288,,,10557,7814,,6873,22197,5569,2881,,8768,,8389,,,,3737,,1443,,
2018/12/27,8985226,3814018,1140456,730569,661915,98520,,139305,272730,,72620,86775,45639,,189767,13467,14069,26740,11573,29543,8837,6663,,13428,,13905,8484,,,5836,,2361,4480,
2019/12/05,,2330141,433058,334838,,40300,,,,,,,,,,9495,6416,,5339,,4413,,,,,,,,,2609,,,,
2019/12/12,,2570486,534588,399448,,57151,,,,,,,19252,,,13435,6774,,6947,,4852,3284,,13265,,,,,,3690,,1681,,
2019/12/19,5539728,2893372,621718,456733,,70365,,,,,,,22159,,,14330,8216,,8379,27982,5570,3534,,,,,,,,4336,,1919,,
2019/12/26,10208704,4498397,1263501,892589,672109,122228,,132726,256844,,85352,102553,62754,,,20162,15682,35498,14236,38025,9676,8765,,17971,,17618,,,6278,6468,14923,2989,5454,
2020/11/26,,,,265710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/03,,2479013,401854,375473,,43340,,,,,,,,,,,6032,,,,,,,,,,,,,,,,,
2020/12/10,5668171,3001452,575398,504825,,69722,,,,,,,,,,13792,7412,,6692,,,3613,,,,,,,,,,,,
2020/12/17,6380758,3404927,633810,580788,,77921,,56462,,,,,24444,,,14969,9508,,7823,,5772,3670,,,,,,,,,,,,
2020/12/24,11020028,5039023,1082851,958380,679396,134572,,167088,,,92197,96531,76869,58658,217529,25805,17858,50026,13105,46255,10427,8527,,23723,,,10115,,11341,,,3247,,
2020/12/31,5802508,2537545,757175,574682,357886,75225,,,,,43863,49827,20103,,,,7053,,6209,,,4519,,,,,,,,,,2660,,
2021/11/25,,,,242324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021/12/02,,2541294,422003,388036,,51295,,,,,,,,,,,6274,,,,,,,,,,,,,,,,,
2021/12/09,5860617,3070360,686214,502846,,81597,,,,,,,,,,,8030,,7570,,5748,3707,,,,,,,,,,,,
2021/12/16,6523524,3430900,755458,531768,250317,94445,,54125,,,,,,,,,7295,,,,,4090,,,,,,,,,,,,
2021/12/23,9361662,4584191,1116422,793134,448794,152468,,93739,,,62936,60846,46618,46993,,22269,12424,,11590,,7753,5433,,19601,,,8246,,,,,3376,,
