Date,Global,GB,FR,TR,DE,NL,BE,PL,CH,IE,AT,IL,AR,CY,ES,CL,LU,BR,BG,LT,IS,MA,EC,IT,UY
Total,54297477,12617776,11517373,10144187,3009971,2975154,2170574,1911928,1421031,1074087,494393,483542,471932,259029,79775,71420,62082,59792,52923,45520,29721,29477,7423,4807,2401
Peak,8921591,848202,960804,547016,647029,294186,152141,384272,104175,85546,69659,52284,58046,9003,79775,37035,8013,21930,13453,15705,7957,29477,7423,4807,2401
2015/05/28,,,,,,,,,,,,,,,,,,7154,,,,,,,
2015/07/09,,,,,,,,,,1072,,,,,,,,10874,,,,,,,
2015/07/16,,,,,,,,,,,,,,,,,,19834,,,,,,,
2015/07/23,,17469,,1930,,,,,,,,,5070,,,,,21930,,,,,,4807,
2015/08/13,,,,,,,,11174,,,,,,,,,,,,,,,,,
2015/08/20,,,,10479,,,,12272,,,,,,,,,,,,,,,,,
2015/10/08,,,,,,,,,,,,,39747,,,,,,,,,,,,2401
2015/10/15,,,,,,,,,,,,,35432,,,,,,,,,,,,
2015/10/22,,,,13405,,,,,,,,,,,,,,,,,,,,,
2015/10/29,,,,14622,,,,,,,,,,,,,,,,,,,,,
2015/11/05,,,,15850,,,,,,,,,,,,,,,,,,,,,
2015/11/12,,,,14372,,,,,,,,,,,,,,,,,,,,,
2015/11/19,,,,13428,,,,,,,,,,,,,,,,,,,,,
2015/11/26,,,,13153,,,,,,,,,,,,,,,,,,,,,
2015/12/03,,,,13499,,,,,,,,,,,,,,,,,,,,,
2015/12/24,,,,13432,,,,,,,,,,,,,,,,,,,,,
2016/03/03,,,,,,,,,,,,,49885,,,,,,,,,,,,
2016/03/10,,,,,,,,,,,,,53717,,,,,,,,,,,,
2016/03/31,,,,,,,,,,,,,,,,34385,,,,,,,,,
2016/04/07,,,,,,,,,,,,,57804,,79775,37035,,,,,,,7423,,
2016/04/14,,,,,,,,,,,,,57891,,,,,,,,,,,,
2016/04/28,,,,,,,,,,,,,58046,,,,,,,,,,,,
2016/05/05,,,,,,,,,,,,,57007,,,,,,,,,,,,
2016/06/02,,,,,,,,,,,,,57333,,,,,,,,,,,,
2022/07/21,,,,319218,,,,,,,,,,,,,,,,,,,,,
2022/07/28,,,,346837,,,,,,,,,,,,,,,,,,,,,
2022/08/04,,,,344729,,,,,,,,,,,,,,,,,,,,,
2022/08/11,,,,351984,,,,,,,,,,,,,,,,,,,,,
2022/08/18,,,,388427,,,,,,,,,,3852,,,,,,,,,,,
2022/08/25,,,,389392,,,,,,,,,,,,,,,,,,,,,
2022/09/01,,,,421675,,,,,,,,,,,,,,,,,,,,,
2022/09/08,,,,466600,,,,,,,,,,4145,,,,,,,,,,,
2022/09/15,,,,440056,,,,,,,,,,4411,,,,,,,,,,,
2022/09/22,,,,494540,,,,,,,,,,4687,,,,,,,,,,,
2022/09/29,,,,543626,,,,,,,,,,4904,,,,,,,,,,,
2022/10/06,,,,538827,,,,,,,,,,5318,,,,,,,,,,,
2022/10/13,,,,547016,,,,,,,,,,5389,,,,,,,,,,,
2022/10/20,,,,539051,,,,,,,,,,5521,,,,,,,,,,,
2022/10/27,,,,484521,,,,,,,,,,5593,,,,,,,,,,,
2022/11/03,,,,461657,,,,,,,,,,4988,,,,,,,,,,,
2022/11/10,,,,445401,,,,,,,,,,5093,,,,,,,,,,,
2022/11/17,,,,446806,,,,,,,,,,4978,,,,,,,,,,,
2022/11/24,,,,415577,,,,,,,,,,4681,,,,,,,,,,,
2022/12/01,,,,420288,,,,,,,,,,4621,,,,,,,,,,,
2022/12/08,,,,415945,,,,,,,,,,,,,,,,,,,,,
2022/12/15,,,,409199,,,,,,,,,,,,,,,,,,,,,
2022/12/22,,,,388645,,,,,,,,,,,,,,,,,,,,,
2024/01/11,,,,,,,,,,,,,,5307,,,,,,,,,,,
2024/01/18,,,,,,,,,,,,,,5832,,,,,,,,,,,
2024/04/18,,716546,,,,,,,,68735,,,,,,,,,,,6605,,,,
2024/04/25,,800319,503243,,597096,262559,94802,356073,77190,77369,63676,47013,,7661,,,5516,,,15619,7610,,,,
2024/05/02,,846366,861372,,639919,276045,143976,384272,95762,80264,67162,50809,,8589,,,7220,,13218,15705,7549,,,,
2024/05/09,8921591,848202,960804,,647029,294186,152141,324704,104175,85546,69659,51887,,9003,,,8013,,13453,14196,7957,29477,,,
2024/05/16,,753780,768190,,562698,262993,130194,293965,91147,73115,59946,46904,,8922,,,6460,,13326,,,,,,
2024/05/23,,736003,710400,,563229,268798,125208,269305,88151,71435,60773,49124,,8220,,,6562,,12926,,,,,,
2024/05/30,,713163,661537,,,266101,121941,260163,86024,70002,60879,51091,,8368,,,6086,,,,,,,,
2024/06/06,,692392,628267,,,263207,124309,,85780,69677,57209,52284,,8592,,,6378,,,,,,,,
2024/06/13,,643784,583804,,,246712,122948,,80034,63538,55089,46980,,7935,,,5868,,,,,,,,
2024/06/20,,610651,520089,,,225147,110670,,69837,,,44610,,6761,,,5158,,,,,,,,
2024/06/27,,,470555,,,,92332,,64191,,,,,,,,,,,,,,,,
2024/07/04,,,454534,,,,85080,,,,,,,6599,,,,,,,,,,,
2024/07/11,,,447581,,,,81201,,,,,,,6892,,,,,,,,,,,
2024/07/18,,,443079,,,,,,,,,,,,,,,,,,,,,,
2024/07/25,,,441138,,,,,,,,,,,6765,,,,,,,,,,,
2024/08/01,,,,,,,,,,,,,,7016,,,,,,,,,,,
2024/08/29,,,,,,,,,,,,,,6533,,,,,,,,,,,
2024/09/05,,,437016,,,,82155,,64294,,,,,7219,,,,,,,,,,,
2024/09/12,,,426213,,,,80923,,62976,,,,,6844,,,,,,,,,,,
2024/09/19,,765234,441711,,,,87328,,65085,67638,,,,7715,,,,,,,,,,,
2024/09/26,,810328,443243,,,,87350,,66176,71266,,,,7928,,,,,,,,,,,
2024/10/03,,800905,460031,,,204769,91916,,68079,73179,,,,8473,,,4821,,,,,,,,
2024/10/10,,775807,440764,,,206417,91924,,65152,70407,,,,8938,,,,,,,,,,,
2024/10/17,,716685,413802,,,,85917,,60327,64169,,,,7719,,,,,,,,,,,
2024/10/24,,670529,,,,,86258,,61098,,,,,8473,,,,,,,,,,,
2024/10/31,,699613,,,,198220,92001,,65553,66675,,42840,,8544,,,,,,,,,,,
