Date,Global,US,GB,CA,SE,NL,AU,NO,IE,DE,BE,NZ,DK,CH,FI,IT,HU,AT,PL,PT,IS,ES,CZ,SK,LV,LT,GR,FR,RO,LU,EE,MT,BG,CY,AE,SG,HK,ZA,MY
Total,280695606,137036125,25555627,22977205,12428363,9733563,5371243,3325179,2683595,2301257,1673508,1240751,1195292,1017522,776451,653142,643901,576993,542319,483640,455134,356961,333738,302734,265479,238968,238794,234687,217548,145288,142505,69909,47485,42702,39019,33667,18076,17621,12921
Peak,21301350,8256432,2315123,1770074,580899,893476,876515,183904,286999,1147359,246977,171264,130873,164889,138394,598877,81267,136117,282454,124331,22963,142655,43794,30038,22835,24563,25237,114263,41549,13652,13032,8074,11775,8190,21204,33667,18076,17621,12921
2014/12/07,,,,,131679,,,56842,6858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,,,,,146972,,,62106,8369,,,,,,,,,,,,1370,,,,,,,,,,,,,,,,,,
2014/12/21,,,,,202392,,,77232,9713,,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,
2014/12/28,1524559,933139,298042,27472,257534,55914,25967,83450,20738,,26053,9545,35902,18054,,54265,3113,4473,15519,6729,1684,,,,,,,41990,,,,,,,,,,,
2015/12/03,,,,,139493,,,,,,,,,,,,,,,,3201,,,,,,,,,,,,,,,,,,
2015/12/10,,736044,240145,,150069,,,61442,14356,,,,,,,,,,,,4275,,,1598,,,2666,,,,,1066,,,,,,,
2015/12/17,1889395,816954,271182,60090,174507,68244,,71477,16586,,,,,,,,,,17256,,4403,,6080,1968,2125,,3457,,,,,1109,,,,,,,
2015/12/24,3300953,1199650,423652,105162,346406,104496,73132,118021,25533,,21741,32227,63584,19973,,,13153,11445,35012,22490,6674,122149,9201,4741,4034,2792,4195,78434,,1234,2767,1556,,,,,,,12921
2015/12/31,1706626,631222,262573,72979,,83639,,,12787,,14969,,,10423,,,,,,8271,,92157,,,,,3175,,,,,,,,,,,,
2016/12/01,,920384,,99459,230489,,,,,,,,,,,,,,,,4464,,,,,,2257,,,,,,,,,,,,
2016/12/08,2740129,1352341,301612,172422,241537,,,82613,20913,,,,,,,,5443,,27850,,6110,,7548,3380,2320,,3765,,,1004,,2065,,,,,,,
2016/12/15,3117335,1456076,371039,193187,263407,,,88478,26924,,,,,,,,5866,,35295,,7257,,7505,3906,2848,2554,3960,,,1370,,2210,,,,,,,
2016/12/22,3896110,1634177,498118,232467,370986,126980,,112630,37567,,26062,30932,,21185,,,11439,13143,59681,22413,9918,,12308,5919,4537,3489,5243,,,1904,2698,3015,,,,,,,
2016/12/29,5186390,1741931,726930,332469,452015,206916,207942,106784,45577,,62501,65155,,50180,,,24831,15587,69252,26530,8090,142655,13974,5816,7442,6157,8110,114263,,4123,4236,3569,2523,1361,,,,,
2017/11/30,,1643235,,,131676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12/07,3803870,2138995,335215,212259,297812,,,,,,,,,,,,11128,,,,,,14569,6804,5548,5186,6441,,,2317,3863,3388,2049,1027,,,,,
2017/12/14,4431016,2332744,401186,280460,323370,223236,,,30582,,37733,,,,,,12475,,,,6471,,17239,7680,6796,6059,7069,,,2801,4313,3436,2196,1187,,,,,
2017/12/21,4972602,2491145,466825,325320,405044,202880,,94170,36224,,35704,,,,,,18304,,,,7997,,22154,9847,8425,7323,8110,,,2707,5248,3896,2570,1325,,,,,
