Date,US,AU,GB,NZ,CA,IE,PL,HU,SK,MT,LV,LU
Total,2598698,2063665,1080238,521461,516642,127164,28783,9779,5134,3161,2886,1380
Peak,2598698,386015,784568,96859,516642,84431,28783,9779,2769,1632,2886,1380
2015/12/24,,,,21355,,,,,,,,
2016/12/22,,,,,,21692,28783,,2769,1632,,
2016/12/29,,156264,295670,50118,,21041,,9779,2365,1529,2886,1380
2017/12/28,,280668,,62957,,,,,,,,
2018/12/27,,316642,,75879,,,,,,,,
2019/12/26,,386015,,96859,,,,,,,,
2020/12/24,,298664,,80541,,,,,,,,
2021/12/30,,267520,,57473,,,,,,,,
2023/12/28,2598698,357892,784568,76279,516642,84431,,,,,,
