Date,Global,US,CA,GB,IE,AU,NL,BE,DE,CH,DK,SE,IT,HU,AT,PT,LT,LV,SK,NZ,CZ,LU,EE,RO,SG,GR,MT,IS,CY,AE,ZA,BG
Total,119410413,78001324,12416904,8088610,1487327,1208933,728680,568660,547356,523873,515072,399191,359753,334622,221922,161430,137341,130825,105414,89844,85502,85042,75590,47261,45116,39566,26438,23998,17368,16159,13157,3422
Peak,10828748,4681673,915820,1153683,151991,549266,249050,117597,547356,98640,103984,209685,359753,55190,66421,51178,15570,15793,21430,89844,32561,8208,9052,20556,45116,15901,5845,9200,3906,10124,13157,3422
2017/12/21,,1471757,180799,,,,,,,,,,,,,,3527,4231,4707,,,,,,,,,,,,,
2017/12/28,,1794710,278848,,,,,47242,,,,,,19898,,,5175,6889,5402,,12696,3512,4872,,,5783,2846,,,,,
2018/12/06,,,225639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/13,,1838417,288473,,,,,,,,,,,,,,4522,,,,,,,,,,,,,,,
2018/12/20,,1923165,297787,,,,,,,,,,,15739,,,5557,5903,8660,,17799,2635,4761,,,6956,3236,,1200,,,
2018/12/27,6152964,2781582,529867,639341,60159,,241503,78734,,59719,94692,209685,,34711,,30828,9270,10500,10420,,22446,5850,7504,10251,,10926,4789,,1913,,,3422
2019/12/05,,1880104,229414,,,,,,,,,,,,,,4732,5402,,,,,,,,,2460,,,,,
2019/12/12,,2012312,263728,,,,,,,,,,,,,,5888,,10388,,,3103,,,,,3412,,,,,
2019/12/19,,2262030,293840,,51016,,,,,,,,,19325,,,7227,6919,11398,,,3251,5087,,,,3850,,1661,,,
2019/12/26,7581289,3590800,578813,908624,93485,,238127,98388,,88623,96413,,,55190,,39297,12834,12677,15515,,32561,8152,9052,16454,,15901,5845,,2704,6035,13157,
2020/12/03,,2060187,263875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/10,,2400368,337849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/12/17,,2644026,378346,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,
2020/12/24,7367482,3859838,601822,522113,77695,,,77387,,60256,103984,,,48858,,51178,9216,11185,17494,,,6274,7845,20556,,,,,2593,,,
2020/12/31,,2005114,379824,,44368,,,,,,,,,,,,,,,,,3455,,,,,,,,,,
2021/12/02,,2101456,334842,,43655,,,,,,,,,,,,,,,,,3213,,,,,,,,,,
2021/12/09,,2478535,442590,526530,67743,,,,,,,,,,,,8588,6975,,,,4409,6225,,,,,,,,,
2021/12/16,,2802259,467175,577789,76764,,,,,,65157,,,,,,8325,6624,,,,4626,5383,,,,,,,,,
2021/12/23,7644841,3635482,660750,826741,116479,,,65836,,62589,88630,,,45530,47646,,11941,10285,21430,,,5572,8265,,,,,,3391,,,
2021/12/30,7963100,3050323,711890,988037,126453,326185,249050,117597,547356,98640,66196,,,45666,52141,40127,13514,11040,,,,8208,7605,,45116,,,,3906,10124,,
2022/12/01,,2156183,292077,,53374,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/08,,2585256,386055,602003,73964,,,,,,,,,,,,,,,,,4154,,,,,,,,,,
2022/12/15,,2766192,395611,,57695,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/12/22,,3555838,535570,,67270,,,,,,,,,,,,,,,,,,,,,,,7606,,,,
2022/12/29,7890577,3700671,726454,673921,92090,333482,,,,75206,,,,,55714,,11455,9902,,,,5798,,,,,,7192,,,,
2023/11/30,,2392527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/07,,2857236,414762,,65367,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/14,,3015899,442012,,72093,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/21,,3697384,562372,669828,95666,,,,,,,,,,,,,,,,,4753,,,,,,,,,,
2023/12/28,10828748,4681673,915820,1153683,151991,549266,,83476,,78840,,189506,359753,49705,66421,,15570,15793,,89844,,8077,8991,,,,,9200,,,,
