Date,Global,US,GB,ID,BR,AU,CA,PH,DE,MX,MY,NL,TR,IT,SE,ES,FR,IE,NO,AR,NZ,BE,PL,PT,CL,SG,CO,IN,PE,FI,DK,CH,AT,RU,CZ,IL,HU,GR,ZA,SA,EC,CR,RO,AE,SK,BO,EG,LT,PA,DO,IS,GT,LV,HN,TW,VN,EE,SV,PY,UA,HK,BG,TH,CY,UY,MA,JP,KR,NI,LU,VE,KZ,PK
Total,838346720,205936228,49850971,49344967,32328661,30496159,26761721,26217472,17717162,12102408,11619048,9663031,8780295,7307205,7093692,6923929,6860055,6580838,6197964,5938187,5743691,5580360,5500993,5415288,5340796,5307871,5052676,4487042,3563997,3263722,3240907,2699514,2622160,2461247,2205939,2201875,1990524,1972204,1720552,1654370,1507705,1338379,1217414,1202050,890683,884937,877484,875636,791321,779893,721071,685759,673298,669963,662405,617808,531198,498926,469087,456096,453995,450564,425228,416321,407750,393037,388455,271406,260116,230783,67872,41985,11911
Peak,33200672,10867644,2352262,1784274,2340933,1509804,1516758,803344,1423414,1123178,313340,695349,519067,692202,615156,650472,552716,418329,560426,619966,275065,258808,502308,216669,310828,202345,180069,427364,157203,249029,304046,157545,167368,272363,117172,134186,119751,141893,88437,43773,64366,60625,76721,42658,54103,34753,36599,50794,35006,32135,41560,51293,41157,23534,132326,130917,34472,26059,37354,52735,78325,29221,118642,19551,45717,28582,199800,38401,11490,13783,14142,8634,11911
2021/08/05,33200672,10867644,2300054,847054,2215735,1314943,1516758,480442,1394505,989191,246629,684723,396006,692202,548988,650472,552716,377606,522404,421645,254347,,502308,206424,292127,191463,180069,421219,116403,247280,244155,157545,161786,272363,107977,134186,102585,141893,88437,43773,60631,52821,76721,42658,54103,29998,36599,50794,32199,30944,31822,48634,41157,22809,132326,130917,34472,23272,32034,52735,78325,29221,118642,18650,31246,28582,188655,38401,9273,13783,,,
2021/08/12,32904896,9664107,2352262,1004213,2340933,1509804,1458574,480442,1423414,1123178,254571,695349,429862,690066,615156,590672,451826,418329,560426,619966,275065,233566,462570,216669,292747,195827,175571,353762,126740,249029,304046,156919,167368,226358,117172,126458,119751,138567,79460,43149,61310,60625,73900,41772,53295,33683,33220,47622,34390,30387,41560,47990,38672,23141,127566,108268,33585,23177,37229,45501,72628,26537,102670,19551,45717,26660,199800,37103,9912,13324,,,
2021/08/19,29184657,8042237,2008149,1001755,2232086,1334343,1212629,602882,1352404,957206,239734,645496,454002,602354,566065,534775,460548,344427,476859,519957,235671,258808,400502,205605,293791,167255,171564,374730,141898,215563,280182,147227,154002,202374,108310,105396,105351,129516,71693,40875,64366,60604,63318,39550,48159,34753,31303,43025,35006,32135,37892,47982,34868,23012,118816,88178,31245,24366,37354,41174,59110,23644,85496,17239,35724,25836,,31286,10161,11719,,,
2021/08/26,26238860,7137596,1793351,1021944,1900835,1148224,1050828,579946,1230545,828068,229446,557738,480361,540613,505924,504543,459236,295016,414998,390168,202770,256106,370237,181886,299646,149457,168026,399830,139657,189299,254703,141238,141118,169024,101863,97669,97480,113623,63860,37630,61138,58378,58702,38425,44582,31412,27425,38755,33141,29978,34594,45862,30666,22111,94889,63023,26392,23865,36643,33526,48470,21126,69035,15345,26219,23797,,26826,10324,10933,,,
2021/09/02,24448545,6629395,1553470,1224269,1724303,1034202,958227,568825,1101596,802341,235211,528510,519067,503708,434487,456952,448603,255683,353344,361227,189276,244421,365922,172993,288489,137234,160737,427364,127966,165912,207987,127256,122814,125238,99004,87117,90010,99061,59291,34441,56888,51003,51374,35950,40236,30172,25092,34629,28258,26039,30759,44869,26004,21383,81230,52935,23303,22247,33792,29505,43392,18110,49385,13818,24606,21424,,23346,9870,10161,,,
2021/09/09,22684148,6028239,1446837,1584496,1507204,905704,837372,599603,993890,772694,260844,472012,494712,449748,379286,423246,405303,216445,298161,342554,179719,223027,314925,157869,276995,138925,152445,398938,123212,143846,167721,112944,112662,116112,87446,64762,78859,87469,54605,34716,56695,49228,46046,34142,35826,27864,22268,28876,26208,25350,26952,43643,21914,20419,64336,45364,20419,21239,30604,25141,37076,16156,,11962,23346,19790,,19377,9113,9068,,,
2021/09/16,19664713,4783074,1293434,1711485,1345137,706694,687672,720635,860797,673392,252299,423372,431786,362887,344252,357061,363335,180518,251942,301620,154505,169779,267596,130041,252400,123178,139241,336805,116075,115689,134612,97755,95712,,78147,48977,69649,68623,45686,32114,50869,43369,36333,28475,30118,24711,19844,23971,22697,22541,23193,39578,18841,18513,43242,36365,16959,19702,,,25914,12936,,9640,20536,16475,,12467,8303,8069,,,
2021/09/23,19263184,4618191,1255879,1692258,1290017,654599,661901,585612,794440,768806,212857,410350,423143,377553,329572,378910,361155,171250,236422,331776,144404,169040,277659,129595,268649,113166,152371,329078,141462,112872,131457,96641,94138,130967,79712,56869,70060,72840,45485,34621,59322,48722,38932,27516,30924,27236,21214,24180,25884,25274,21901,47084,18348,21563,,,16897,23298,30550,25777,22307,13423,,10162,22561,17668,,10411,9914,8254,,,
2021/09/30,19975909,4579433,1380318,1784274,1244287,676497,659662,565728,842351,821406,232403,457410,405504,423468,365739,400032,375645,184370,255493,348351,145351,179468,293727,139890,307988,124873,162452,366136,153737,129912,138578,102294,101522,136287,83109,59975,72045,78860,44998,36551,62369,56772,42807,28843,32213,29895,22344,25376,28408,26185,20887,51293,19256,23534,,28574,16960,25948,33882,26051,22782,14208,,11728,23175,18200,,11090,10782,8551,,,
2021/10/07,19293283,4253723,1348428,1533385,1186534,675336,615540,574393,819123,820582,221935,448114,429832,408789,344979,392040,483121,178589,253654,346342,138447,186029,272540,137393,310828,114301,162737,389025,157203,124228,144544,104069,99548,130539,81790,60404,68075,74635,43628,37845,63107,57237,40667,29014,31595,31083,23218,24049,26899,25946,20120,50533,18076,22903,,33802,16276,26059,35555,24694,23698,13959,,10946,23095,18094,,11436,11490,8782,,,
2021/10/14,18221604,4034722,1276963,1486768,1085108,726921,574070,539066,734054,769607,216201,408876,418657,374691,320968,364832,431566,168094,239238,323093,142560,174480,262641,132718,294481,105368,154910,344240,141832,116456,129467,94108,91486,125746,77811,62049,63487,67825,39523,35529,61466,54701,38620,27426,29596,30114,21107,22573,25071,24546,19034,49110,17365,22131,,30382,15036,24632,35066,24072,20293,13379,,10872,22405,18257,,10504,11314,8203,,,
