Date,US,GB,NL,AU,IE,NO,CA,SG,MY,BE,NZ
Total,10578824,8129072,3218141,2936543,2301699,1969589,1544118,824834,392263,373353,64692
Peak,2806069,861278,269846,471409,159876,113439,398704,71308,100780,98839,64692
2024/02/22,,,,,73002,77102,,,,,
2024/02/29,,,205904,,68394,72780,,,,,
2024/03/07,,584512,250641,,84107,96474,,,100780,,
2024/03/14,,552054,239822,,81187,93925,,,,,
2024/03/21,,542329,243531,,76159,93075,,59245,94086,,
2024/03/28,,,235286,,78092,81766,,60320,98750,,
2024/04/04,,,201969,,69949,74255,,,,,
2024/04/11,,,,,74440,79598,,57197,,,
2024/04/18,,,198237,,74068,79360,,,,,
2024/07/25,,,,,70564,,,,,,
2024/08/01,,,,,72131,,,,,,
2024/08/08,,,,,84791,78937,,63826,98647,,
2024/08/15,,,,,86460,79714,,61096,,,
2024/08/22,,,,,85950,78882,,,,,
2024/08/29,,,,,89787,87106,,,,,
2024/09/05,,531709,,368677,89086,85964,,,,,
2024/09/12,,616482,,415454,101972,93655,,60866,,,
2024/09/19,,660306,210528,392959,109250,97974,,63287,,,
2024/09/26,,694402,211213,,114786,97323,,64128,,,
2024/10/03,,700687,217367,,119351,92825,,64066,,,
2024/10/10,2593499,810499,254485,403648,149735,106246,386533,70821,,94045,
2024/10/17,2806069,861278,269846,471409,159876,113439,398704,71308,,98839,64692
2024/10/24,2626965,815663,248570,445389,149266,109121,389514,65651,,94056,
2024/10/31,2552291,759151,230742,439007,139296,100068,369367,63023,,86413,
