Date,Global,US,PH,GB,AU,CA,ID,SG,MY,MX,IE,BR,IN,TH,ES,DE,AR,NZ,CL,NL,TW,IT,VN,AE,PT,HK,SE,TR,PE,NO,BE,JP,SA,PL,CO,DK,CH,AT,FI,IL,ZA,CR,GR,KR,UY,EC,HU,RO,CZ,SV,PY,PA,HN,LT,SK,EG,BO,LV,DO,BG,EE,IS,CY,NI,GT,LU,MA
Total,357583942,103295485,96756556,16442546,13497883,12792509,9414798,6365751,4605832,3514111,3496797,3192905,3105951,2169625,2049215,2020844,1814552,1533296,1424292,1117691,1115487,883483,756004,690040,683740,643310,597904,542701,539557,503376,499093,478219,473150,385066,351353,311774,267026,260258,254922,242760,220092,203266,179568,179136,161062,158902,158401,158320,151069,102258,99973,98617,97533,88347,78939,77348,72425,61059,55242,54808,52506,49205,47433,44866,43788,34592,13160
Peak,41903929,18105602,3883650,2787198,1713885,2122679,1482704,483668,420749,1270888,432572,1212639,811857,318436,571772,742250,509919,303779,357598,333950,201039,305311,158894,73672,125842,115795,220718,297104,171677,198424,123950,252528,54463,196277,131927,119884,76170,82694,79379,62764,58399,59051,57446,35153,48053,58938,47326,44597,52747,34472,38271,25317,28025,18354,21755,24684,25816,13604,19747,14265,13869,14829,8843,15186,43788,7596,13160
2021/11/18,41903929,18105602,3883650,2787198,1713885,2122679,1142607,483668,420749,1170421,432572,1212639,811857,274126,571772,742250,509919,303779,357598,333950,141433,305311,155643,73672,125842,115694,213065,297104,171677,181031,123950,,54463,196277,131927,119884,75626,82694,79379,48733,58399,59051,57446,33702,48053,58938,47326,44597,52359,34472,38271,25317,28025,14803,21668,24684,25163,13178,19747,14265,13869,14829,8753,15186,43788,6819,
2021/11/25,31277431,10661817,3149009,1925713,1285378,1396957,1482704,394599,387854,1270888,311629,1126560,673085,318436,502845,676756,417435,220946,345906,312911,201039,304707,158894,63225,121345,115795,220718,245597,145883,198424,118024,252528,46176,188789,118692,107982,76170,71720,76353,55767,53212,48815,48277,35153,44735,53516,44084,37854,52747,26195,33406,23626,22621,18354,21755,20871,25816,13604,19438,13191,13492,13020,8843,11686,,7596,13160
2021/12/02,24846204,7752149,2609995,1465727,990890,1084917,1366269,315306,329596,1072802,244740,853706,641415,284085,403409,601838,349083,174131,291071,263557,181306,273465,135854,52901,103785,97228,164121,,121470,123921,103461,225691,52887,,100734,83908,64411,60153,56690,62764,45974,38064,41248,32465,27722,46448,37430,30492,45963,22688,28296,20002,17731,16069,20176,17882,21446,11739,16057,11263,10998,9753,7823,9872,,7189,
2021/12/09,19278792,5968366,2128525,1114501,844304,798745,1096200,246356,272833,,183937,,535178,240133,299092,,286043,131085,224387,207273,144391,,105295,42174,79124,75173,,,100527,,83837,,34086,,,,50819,45691,42500,44482,35154,30775,32597,23183,22215,,29561,24854,,18903,,15735,15361,13022,15340,13911,,9294,,8786,7903,7443,5934,8122,,5493,
2021/12/16,16343482,5073419,1812245,947635,751057,663172,874860,211211,244566,,157633,,444416,210520,272097,,252072,117442,205330,,126666,,74546,34020,63159,59571,,,,,69821,,27683,,,,,,,31014,27353,26561,,17281,18337,,,20523,,,,13937,13795,10373,,,,7630,,7303,6244,,4772,,,4263,
2021/12/23,13914964,4212628,1579366,786060,644143,542359,781662,183439,200947,,134938,,,187636,,,,105984,,,99422,,46566,28647,54314,45864,,,,,,,23909,,,,,,,,,,,13950,,,,,,,,,,8436,,,,,,,,,4123,,,,
2021/12/30,11803471,3462320,1393248,645934,500778,427415,713730,156658,189670,,109515,,,185712,,,,84944,,,81501,,42225,27150,48606,38807,,,,,,,25512,,,,,,,,,,,11946,,,,,,,,,,,,,,,,,,,3657,,,,
2022/01/06,11551904,3439606,1317938,701488,466055,432829,674120,153537,183438,,114339,,,161466,,,,77779,,,77753,,36981,26611,49317,39583,,,,,,,22949,,,,,,,,,,,11456,,,,,,,,,,7290,,,,5614,,,,4160,3528,,,3232,
