Date,Global,GB,US,AU,IE,CA,NZ,SG,PH,TH,MY,LV,TW,LT,HK,EE,MT,GR
Total,14773845,9757151,1949179,962035,554782,283219,116460,67679,54852,46356,23545,13892,12682,9754,8653,3952,2574,2148
Peak,2363296,368271,1128892,156091,25524,81033,30681,19664,54852,46356,12473,4916,12682,4181,8653,2069,1564,2148
2016/02/18,,218668,,,12572,,,,,,,,,,,,,
2016/02/25,2363296,368271,1128892,156091,21669,81033,30681,17836,54852,,12473,2230,12682,2002,8653,2069,1010,
2016/03/03,1890639,318674,820287,142718,19871,77259,29044,19664,,,11072,2592,,1783,,1883,1564,2148
2016/03/10,,287026,,73416,18028,64071,19686,15754,,,,2221,,,,,,
2016/03/17,,367866,,70123,21815,60856,19810,14425,,,,,,1788,,,,
2016/03/24,,299850,,62130,23129,,17239,,,,,1933,,,,,,
2016/03/31,,251087,,,24571,,,,,,,,,,,,,
2016/04/07,,230624,,,18448,,,,,,,,,,,,,
2016/04/14,,210648,,,16214,,,,,,,,,,,,,
2016/04/21,,200173,,,14930,,,,,,,,,,,,,
2016/04/28,,206164,,,14750,,,,,,,,,,,,,
2016/05/05,,202573,,,15342,,,,,,,,,,,,,
2016/05/12,,,,,12923,,,,,,,,,,,,,
2016/07/14,,222294,,68400,16407,,,,,,,,,,,,,
2016/07/21,,215476,,69990,14497,,,,,,,,,,,,,
2016/07/28,,224766,,84628,15220,,,,,,,,,,,,,
2016/08/04,,256158,,85914,16539,,,,,,,,,,,,,
2016/08/11,,255696,,75092,16171,,,,,,,,,,,,,
2016/08/18,,274722,,73533,16387,,,,,,,,,,,,,
2016/08/25,,298097,,,17049,,,,,,,,,,,,,
2016/09/01,,305912,,,19661,,,,,,,,,,,,,
2016/09/08,,332766,,,19545,,,,,,,,,,,,,
2016/09/15,,339635,,,19667,,,,,,,,,,,,,
2016/09/22,,342193,,,18586,,,,,,,,,,,,,
2016/09/29,,321727,,,18051,,,,,,,,,,,,,
2016/10/06,,309308,,,17474,,,,,,,,,,,,,
2016/10/13,,303514,,,17189,,,,,,,,,,,,,
2016/10/20,,285827,,,17639,,,,,,,,,,,,,
2016/10/27,,237861,,,14896,,,,,,,,,,,,,
2016/11/03,,191122,,,,,,,,,,,,,,,,
2016/11/10,,183896,,,,,,,,,,,,,,,,
2016/11/17,,198678,,,,,,,,,,,,,,,,
2017/01/05,,231042,,,,,,,,,,,,,,,,
2017/01/12,,230724,,,,,,,,,,,,,,,,
2017/01/19,,235695,,,,,,,,,,,,,,,,
2017/01/26,,227911,,,,,,,,,,,,,,,,
2017/02/09,,,,,20018,,,,,,,,,,,,,
2017/02/23,,267128,,,,,,,,,,,,,,,,
2017/03/02,,303379,,,,,,,,,,,,,,,,
2017/06/22,,,,,25524,,,,,,,,,,,,,
2019/08/01,,,,,,,,,,,,4916,,,,,,
2019/08/08,,,,,,,,,,,,,,4181,,,,
2019/09/19,,,,,,,,,,46356,,,,,,,,
