Date,US,NZ,AU,CA,IE
Total,1553970,814674,466072,450906,320515
Peak,1553970,73542,234736,246346,54618
2015/11/26,,16128,,,
2019/06/13,,,,,38228
2019/06/20,,,,,41043
2019/09/19,,51600,,,
2019/09/26,,47165,,,
2020/10/08,,45580,,,
2020/10/15,1553970,45921,234736,246346,41718
2020/10/22,,47508,231336,204560,39403
2020/10/29,,48629,,,
2023/11/09,,62313,,,54618
2023/11/16,,64413,,,54542
2023/11/23,,62505,,,
2023/11/30,,64978,,,
2023/12/07,,61886,,,
2023/12/14,,59459,,,
2023/12/28,,73542,,,
2024/01/04,,63047,,,50963
