Date,Global,US,GB,AU,PH,ID,CA,DE,BR,MX,NL,ES,IN,MY,NO,SE,SG,AR,PL,IE,FR,BE,IT,CL,DK,NZ,PE,PT,CO,CH,TH,AT,FI,TW,CZ,VN,ZA,HK,IL,HU,EC,TR,CR,JP,AE,GT,GR,SA,SK,RO,SV,PA,BO,HN,PY,RU,DO,IS,UY,LT,KR,LV,NI,EE,EG,LU,BG,UA,MA,CY,VE,PK,AD
Total,1603715452,378563138,106266387,73142574,72390993,64553012,56147554,54059418,52699068,52355705,37279958,28292202,26884119,23473584,19358949,18541507,17676086,17321012,16818743,16789135,14828772,14431071,13615822,13403572,11531974,11278477,9678785,8737652,7711935,7525946,6978393,6237673,6003333,5549922,5004943,4798246,4112794,3807525,3692433,3486104,3394910,3263856,3028959,3026129,2606078,2486860,2114991,2027138,1832131,1765971,1727137,1498804,1413564,1383242,1367537,1364007,1318287,1174511,1159498,1045523,957946,856836,790424,780440,683394,625000,597845,514908,429057,412815,66713,33263,7857
Peak,80764045,30433574,6981516,4104143,2431406,1785168,3517822,3934453,2458348,2641780,2763986,2213953,1356870,518836,1675037,1611675,638509,1160145,1063549,1282930,1340286,832669,1237929,784465,750711,760385,431617,363404,352734,447677,284042,424392,546010,216849,213240,175786,160377,147838,131109,183358,164697,383954,156117,251187,118334,117691,176540,70232,92051,128998,61847,73099,71925,58452,90056,170267,68577,84578,78495,66888,45758,62176,23385,60203,44816,37409,41129,40485,37187,24076,14206,11389,2131
2021/01/14,65873080,30433574,5642973,3019304,1152989,642932,3422003,2118198,1502539,1624855,1798904,1350253,448062,303181,1060391,872214,394012,646564,562436,1282930,570531,473608,541835,457929,451187,552334,234301,249945,206539,255547,97460,275933,287507,109967,120257,75376,117474,82904,74716,115021,117239,195647,111476,,87975,67771,122207,44717,56914,97505,40226,59019,45263,47813,46361,,54485,57227,45031,46571,,42671,15416,37242,29475,24276,31440,18972,20474,19359,,,
2021/01/21,80764045,25860345,6981516,4104143,2378753,1785168,3517822,3934453,2332945,2641780,2763986,2213953,1124780,518836,1675037,1611675,638509,1160145,1063549,1222490,1340286,832669,1237929,784465,750711,760385,431617,363404,352734,447677,284042,424392,546010,214416,213240,175786,160377,147838,131109,183358,164697,360950,156117,246159,118334,117691,176540,70232,92051,128998,61847,73099,71925,58452,90056,128672,68577,84578,78495,66888,,62176,23385,60203,44816,37409,41129,36757,37187,24076,,,
2021/01/28,64681075,18203457,5134081,3039034,2431406,1601766,2619004,3425457,2458348,2371497,2355016,1748329,1356870,479109,1234978,1352379,555114,962528,941312,845839,1226433,686116,1128442,679475,609999,600408,372111,318718,325075,400874,274714,347380,458707,216371,188349,145690,138631,132371,121218,153257,134729,383954,128626,251187,97102,108575,140043,62577,79743,103849,54473,61139,61414,50591,84553,127376,56476,63594,67692,54027,,50052,21424,47648,39406,32343,33176,37007,35163,19099,,,
2021/02/04,54166615,13880496,4095469,2698362,2184405,1683991,2054319,2846416,2079246,2209261,1968138,1468102,1315221,433088,960913,1125512,476151,886419,782340,652325,1288523,572616,1096619,597759,498812,485590,328827,276929,273562,332276,252633,279070,370425,216849,159405,137312,118415,120291,113311,130408,112901,352106,110018,241578,86430,98179,113305,59570,68671,82793,49765,52521,57165,43085,65648,133177,51185,54320,57665,46029,28538,40611,19052,40589,,27883,27948,39335,31370,16044,,,
2021/02/11,48003217,11754368,3434958,2519929,1990365,1602956,1747569,2448979,2006928,2077452,1626803,1321802,1299893,410600,830391,1005776,428893,822203,717540,533564,1042046,492529,1041381,567362,463575,418628,273138,251733,284807,290713,216635,245563,325098,213897,146942,122512,105808,117645,113022,116876,107352,344270,95501,241389,77662,88024,101453,54918,61168,74388,45924,46242,55757,38967,54818,170267,46642,46958,52886,41084,45758,36023,17925,35373,34556,23751,25201,40485,29513,14566,,,
2021/02/18,42861515,9726007,3043692,2269257,1870232,1534436,1530308,2237131,1889534,2054659,1494225,1234063,1175607,375805,762915,964480,367634,769197,646761,466130,861934,454004,926038,542092,421961,367915,250187,236298,270169,257461,196847,217847,290724,190946,132166,97076,96245,96805,105388,105346,97206,302277,88781,227787,70397,82087,88650,51477,55039,69332,44393,40861,48614,36366,52487,156477,43752,41679,49808,36578,35111,32821,17056,30653,33318,19945,23101,39311,27368,13642,,,
2021/02/25,40018035,9387295,2723816,1999752,1815703,1433123,1414308,2066668,1767334,1950613,1462446,1052685,1064049,377163,729858,865513,362499,679788,595199,414707,777069,404609,830950,474371,382898,325261,232461,207369,251323,234628,183500,202639,269102,211349,123764,121876,92182,105014,99047,95203,91014,298093,80528,227005,64811,72795,81988,46430,51855,62754,39806,38864,47708,33299,45731,144541,39759,35858,44980,33067,34761,30031,16236,27086,29448,18447,21423,35945,25921,12300,,,2131
2021/03/04,37066956,8464069,2493649,1797561,1696552,1475327,1289697,1893214,1658437,1765836,1431816,866407,970240,383445,639734,770212,340344,616564,547505,382421,740998,381826,761537,445166,426725,296302,238227,193570,232249,222639,184621,186391,242099,205564,114930,124416,85133,100214,95603,89694,85560,284690,75149,214252,59180,69968,73606,43931,48798,56940,37082,37428,43518,31373,42620,135193,37492,32400,41350,32221,31187,27707,15033,24554,28306,17428,18652,34213,23504,11050,,,2034
