Date,Global,US,IN,GB,DE,BR,AU,MX,CA,PH,ID,PE,PL,MY,CL,AR,ES,IT,FR,SG,SE,NL,NO,TH,CZ,IE,NZ,DK,HU,BE,AT,CH,EC,IL,PT,TW,HK,CO,BO,AE,UA,SA,RO,FI,GR,SK,CR,BG,PK,KZ,SV,PA,VE,EE,PY,HN,IS,CY,KR,LT,LV,BY,VN,UY,GT,LU,NI
Total,276058267,41938825,16869207,16771586,12673777,9509464,9470467,9100902,8656435,6611127,6084598,4524237,4422976,4148941,3881176,3583270,3197609,3079268,3032243,2520939,2354721,2325157,2093960,1932671,1817011,1600808,1512558,1489107,1441758,1297285,1246812,1232352,1222288,1126747,990955,972912,965704,844827,816775,780565,734959,717340,675331,641102,609931,576543,463774,405765,349922,338634,280545,262132,220174,185986,179133,166511,158003,155857,153023,151146,149906,143426,130498,124687,107141,96209,21836
Peak,31008253,5344876,2690854,1783600,1269212,1999149,956463,2270131,917977,1085564,1301000,580843,640371,483730,554809,685205,693189,668386,590706,284453,243053,300854,220135,350172,185032,175310,143373,149648,162616,143494,128738,132760,192444,117768,138106,146023,120015,317238,114436,84051,105915,80986,96402,94004,127177,64415,89323,46946,68208,49102,56380,44492,41168,20420,52686,41509,15118,18204,40248,23167,19529,28204,130498,36165,107141,9448,21836
2015/05/21,,76275,,,,,,,4222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/01,20479679,4019272,1736210,1283797,660966,1313789,621801,1629080,592346,676385,,425313,366352,284550,355219,451796,459178,479000,,163257,,,104021,215345,106723,115614,95362,85973,96586,,73712,,143507,69792,83188,86469,68033,,82464,55596,54530,42878,56682,,81905,39009,63539,29467,,29543,41873,29064,,12302,,29820,10020,10768,,13560,11147,,,,,5888,
2024/08/08,31008253,5344876,2690854,1783600,1214757,1999149,956463,2270131,917977,1072279,1267164,580843,640371,483730,554809,685205,693189,668386,548576,284453,241621,285779,195203,334635,182146,175310,143373,149648,162616,130222,127624,108129,192444,110910,138106,141740,120015,317238,114436,84051,101665,78778,96402,91702,127177,64415,89323,46946,68208,47839,56380,44492,41168,20420,52686,41509,14453,18204,40248,23069,18015,20765,130498,36165,107141,9448,21836
2024/08/15,28241345,4545735,2505969,1638837,1245750,1723468,897393,1892000,845379,1046935,1301000,500963,586752,440171,507856,599415,572833,532723,497655,255629,242820,279842,216361,350172,181349,164976,136319,145104,156994,131741,128738,115995,147800,107638,127296,136675,108870,265610,93331,78613,105915,80986,88549,89769,108193,59850,74281,42290,64786,49102,48515,35540,39245,20018,43429,32859,15118,15673,39382,23167,19529,28204,,31747,,8649,
2024/08/22,26389153,4215017,2214202,1532168,1228214,1566523,865320,1644012,802737,1085564,1222510,452065,562856,406239,456199,513046,519172,467441,511859,257511,234473,283603,207251,309729,179675,151927,132185,142266,143688,131235,124149,123970,138310,111771,114351,146023,101990,,90017,76069,104083,73237,86799,90095,100553,57625,65869,40616,62391,47250,46332,30382,38363,19688,40854,30264,14957,14848,37199,21409,18604,27592,,27966,,8462,
2024/08/29,26257280,4116550,2083819,1483977,1269212,1559774,878907,1665679,801979,1067790,1182158,450147,556942,402246,470250,515961,506826,501509,590706,243746,243053,300854,220135,274575,185032,148276,137417,146266,146004,143494,126943,132760,141023,117768,118122,140380,97606,261979,86093,71521,89522,66684,82419,94004,102747,56388,68213,38540,59227,43946,47868,31249,38945,19512,42164,32059,14617,14670,36194,21961,18923,26714,,28809,,8856,
2024/09/05,22261806,3459381,1820911,1255395,1090291,1346761,758906,,675991,856789,1111766,364460,437806,353038,391963,427794,446411,430209,475178,213292,218823,269160,190997,238041,161339,117180,118999,124857,121329,116023,108192,118377,114178,97820,101165,113408,79715,,64409,63601,72024,54858,68733,80174,89356,47432,54602,32389,50865,36635,39577,25900,31849,15681,,,12416,12955,,18208,15780,22069,,,,7692,
2024/09/12,19666153,3045318,1502149,1135368,963812,,697724,,607062,805385,,298098,380488,327089,338413,390053,,,408269,189550,200172,252684,174808,210174,138169,110258,110079,109194,107620,107601,92313,105182,100718,85384,88584,112236,70691,,52711,58689,63189,48901,57142,72398,,41894,47947,27975,44445,32176,,23061,30604,13637,,,11892,10634,,15844,13753,18082,,,,7039,
2024/09/19,17270649,2812745,1197513,1044321,848371,,607172,,557492,,,262160,311225,279891,,,,,,160846,181561,223974,134084,,116908,97722,98824,97489,91352,99029,77850,93434,90937,76107,76028,95981,61583,,48284,50692,52605,50960,49909,63061,,35436,,25816,,27652,,22799,,11206,,,10347,9904,,13928,11868,,,,,6673,
