Date,Global,US,AU,MY,CA,SG,NZ,IE,KR,GB,AE,TH,LT,PT,ZA,EE,LV,RO,MT,HK,CY,BG
Total,218493166,99688833,20701280,5753358,5343100,4969740,826436,801269,540583,368098,264366,189557,149181,134979,133423,124203,94806,92260,63961,40246,19164,13759
Peak,6386663,2511182,706050,137412,291327,121047,74079,51058,16494,368098,8988,52810,8368,34943,13615,5750,6765,14250,3633,21036,1757,4948
2019/12/05,,1774268,,,,,,,,,,,,,,,,,,,,
2019/12/12,,2197546,,,,,,,,,6122,,6255,,,,,,2910,,,
2019/12/19,,2259575,,44805,,49845,,,,,6894,,7184,,,4728,,,3228,,,
2019/12/26,,2047583,,43750,,47647,,,,,6319,,6520,,,,,,2969,,,
2020/01/02,4681587,2060096,229841,46065,239765,50176,,40009,,,6364,,7213,,,4668,5402,11627,3208,,,
2020/01/09,5130048,2275101,245288,47315,244571,54780,,43346,,,6476,,7624,,12086,4974,6233,12596,3633,,1468,4130
2020/01/16,5472453,2402096,253043,47266,244502,62480,,50445,,,6720,,7942,,13475,5249,6483,14208,3457,,1757,4948
2020/01/23,5456506,2372922,304282,46561,254846,74756,,51058,,,6295,,7578,,11334,5059,5876,13753,3388,,1640,
2020/01/30,5230498,2188450,298386,43058,233284,77109,,46962,,,5916,52134,6769,,,4763,5664,,3221,,1452,
2020/02/06,5404412,2370677,319632,45837,224934,93763,,44464,,,6083,52810,6695,,,4670,5707,,3206,,1610,
2020/02/13,5628956,2272163,470992,45510,238320,96449,57581,47926,,,6345,,7131,,12041,4772,5596,,3094,,1683,
2020/02/20,5494759,2172160,524836,,240733,103093,61156,50149,,,6251,,6903,,,4719,5458,,3242,,1688,
2020/02/27,5557236,2178108,609654,,280989,102110,64537,47116,,,6184,,6807,,11902,4568,5601,,3009,,1588,
2020/03/05,5556968,2183526,621679,50476,274416,101743,66170,45165,,,6120,,6385,,11619,4682,,,3215,,,
2020/03/12,5383041,2065001,659992,53512,268071,102659,65842,41889,,,6428,,6375,,,4451,,,2980,,,
2020/03/19,5130810,1948421,638749,55246,245559,106556,68110,40327,,,,,6430,,,4968,5300,,2833,,,
2020/03/26,6386663,2511182,706050,62806,291327,121047,74079,49872,,368098,7468,41035,8368,,13025,5750,6765,14250,3090,21036,1557,4681
2020/04/02,6064517,2357511,701043,58766,273985,120227,67595,45788,,,7203,43578,8245,,13615,5016,6668,13315,2919,19210,1525,
2020/04/09,5530134,2119090,654847,52834,266355,103170,60251,41583,,,6548,,7426,,12135,4708,6307,12511,2735,,1597,
2020/04/16,5072872,1963120,624015,50388,228796,89480,55101,,,,5934,,6706,,10902,4267,5665,,2487,,1599,
2020/04/23,4971240,1929578,610156,48253,218540,77672,53578,,,,5693,,7240,,11289,4592,6112,,2592,,,
2020/04/30,4898472,1941989,573128,45061,214750,66814,51509,38515,,,5088,,7385,,,4444,5969,,2545,,,
2020/05/07,,1602107,461222,,,51727,41212,,,,,,,,,,,,,,,
2020/05/14,,1545730,432921,,,53925,39715,,,,,,,,,,,,,,,
2020/05/21,,1550176,431635,,,54028,,,,,6808,,,,,,,,,,,
2020/05/28,,1553336,398490,38914,,53116,,,,,7322,,,,,,,,,,,
2020/06/04,,1530846,385787,40677,,51161,,,,,6987,,,,,,,,,,,
2020/06/11,,1586295,391136,44548,215179,52246,,,,,,,,,,3981,,,,,,
2020/06/18,,1666214,381415,47692,213988,51081,,,,,,,,,,4141,,,,,,
2020/06/25,,1731287,372531,49216,218404,55199,,,,,,,,,,,,,,,,
2020/07/02,,1733314,369431,50933,211786,58667,,,,,,,,,,4331,,,,,,
2020/07/09,,1592171,348122,53343,,60333,,,,,,,,,,4035,,,,,,
2020/07/16,,1623854,341359,63010,,59307,,,,,,,,,,4243,,,,,,
2020/07/23,,1572224,332457,87478,,65011,,,,,,,,,,4098,,,,,,
2020/07/30,,,323777,90223,,61534,,,,,,,,,,,,,,,,
2020/08/06,,1523161,329438,92500,,62246,,,,,,,,,,,,,,,,
2020/08/13,,,312930,96178,,58655,,,,,,,,,,,,,,,,
2020/08/20,,1533182,263385,100217,,48551,,,,,,,,,,,,,,,,
2020/08/27,,1615912,266746,113754,,50479,,,,,,,,,,,,,,,,
2020/09/03,,1659083,274654,112813,,53604,,,,,6098,,,,,4206,,,,,,
2020/09/10,,1621791,270477,121444,,54578,,,,,6429,,,,,4120,,,,,,
2020/09/17,,1592825,261265,123445,,52148,,,,,6274,,,,,,,,,,,
2020/09/24,,1532340,244857,133957,,52082,,,,,6275,,,,,,,,,,,
2020/10/01,,1486887,240500,137412,,49581,,,,,,,,,,,,,,,,
2020/10/08,,1478129,244374,121429,,46831,,,,,,,,,,,,,,,,
2020/10/15,,1494616,249626,118837,,44813,,,,,6645,,,,,,,,,,,
2020/10/22,,1467601,253104,111314,,46617,,,,,,,,,,,,,,,,
2020/10/29,,1430451,250149,99324,,48043,,,,,,,,,,,,,,,,
2020/11/05,,,241027,86810,,45179,,,,,,,,,,,,,,,,
2020/11/12,,,240986,85476,,44222,,,,,,,,,,,,,,,,
2020/11/19,,,235728,82320,,44007,,,,,,,,,,,,,,,,
2020/11/26,,,,81575,,44113,,,,,,,,,,,,,,,,
2020/12/03,,1579818,261836,89528,,54198,,,,,,,,,,,,,,,,
2020/12/10,,1759578,286748,91395,,57405,,,,,8510,,,,,,,,,,,
2020/12/17,,,258167,85769,,50722,,,,,,,,,,,,,,,,
2020/12/24,,,,83286,,50015,,,,,,,,,,,,,,,,
2020/12/31,,,,82205,,47632,,,,,,,,,,,,,,,,
2021/01/07,5029415,1523149,240289,85758,,48595,,,,,7931,,,,,,,,,,,
2021/01/14,5759593,1701098,257539,97746,,56771,,38797,,,8802,,,32608,,,,,,,,
2021/01/21,5852574,1684032,259268,93942,,58403,,37858,,,8988,,,34931,,,,,,,,
2021/01/28,5741718,1637460,239065,93456,,57409,,,,,8638,,,34943,,,,,,,,
2021/02/04,5548458,1550772,236053,89079,,55675,,,9584,,8516,,,32497,,,,,,,,
2021/02/11,5389899,1493192,235376,88770,,54517,,,16494,,8609,,,,,,,,,,,
2021/02/18,5103865,,231797,79250,,49851,,,10437,,8336,,,,,,,,,,,
2021/02/25,5173709,1446039,,79669,,51916,,,11538,,8536,,,,,,,,,,,
2021/03/04,5016753,,,80155,,49606,,,10799,,,,,,,,,,,,,
2021/03/11,5044929,,,75513,,49865,,,10860,,8211,,,,,,,,,,,
2021/03/18,,,,70374,,48827,,,10635,,,,,,,,,,,,,
2021/03/25,,,,57947,,45689,,,11079,,,,,,,,,,,,,
2021/04/01,,,,58089,,44059,,,10479,,,,,,,,,,,,,
2021/04/08,,,,55325,,45189,,,11009,,,,,,,,,,,,,
2021/04/15,,,,49203,,44030,,,10808,,,,,,,,,,,,,
2021/04/22,,,,47713,,45249,,,11735,,,,,,,,,,,,,
