Date,Global,US,SE,NO,GB,DK,PH,ES,DE,NL,MX,BE,SG,IT,AU,PL,FI,NZ,MY,CH,BR,CR,PT,CL,IE,CZ,HK,FR,TW,AR,CO,CA,TR,PE,GR,IS,AT,EC,EE,SV,NI,LV,LT,BO,GT,SK,HU,MT,HN,PY,DO,UY,PA
Total,122678211,39491048,10121614,6995318,4786110,4496611,4338438,3375508,3225002,2780944,2530270,2502203,2385151,2341457,2153194,2139068,1289197,1274474,1270811,1229163,950257,812075,686747,650521,617029,486127,450065,443162,435814,374070,344323,307826,279948,275215,250534,228901,186908,162261,88763,66283,49728,48937,44353,42166,41285,40531,26178,23947,21201,9371,6735,5096,4857
Peak,4468700,1694205,821742,404343,533757,175287,88605,259644,194195,227732,97795,58744,31063,69430,155934,30822,111532,42003,19160,21707,94442,17189,36527,23779,21978,6079,9233,53774,13723,23992,18117,17551,14179,11608,6218,6207,14689,8246,4843,3838,2177,3509,4029,3374,4223,1681,3325,1210,3098,4695,2377,2265,1445
2013/12/01,,670906,,,,,,,,,,,5286,,,,,,3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013/12/08,1237053,948895,,,,,,,,,,,5922,,,,,,4424,,,,,,,,,,,,,,,,,1705,,,,,,,,,,,,,,,,,
2013/12/15,1888073,1408914,,,,,,,,,,,9958,,,,,,6352,,,,,,,,2647,,,,,,,,,3032,4506,,,,,,,,,,,,,,,,
2013/12/22,2514419,1648002,,,,,,,,,25507,,15953,,,,46741,19013,11419,,,,7635,,,,2986,,6473,,2011,,,,2092,4177,8321,,,,,,,,,,,,,,,,
2013/12/29,2254580,1328448,234722,115892,,,,,,,24831,17994,16994,,,,46046,25093,13733,,,,9006,,,,3292,,8318,,,,,,2148,3913,9907,,,,,,,,,,,,,,,,
2014/01/05,2506200,1365767,285229,168438,,76706,,,,,28551,17444,19629,22593,31626,,66694,24334,16475,8872,,,12949,,7137,1503,3726,,8601,,1854,,4022,,2412,5124,11897,,1905,,,,,,,,1261,,,,,,
2014/01/12,3111961,1652131,346818,269986,,83103,,103175,,82591,39785,19793,22401,29912,39667,16432,92740,30753,18231,12246,,1019,19952,,8823,1829,4912,,10716,,2701,,4736,1994,3207,5931,12839,1144,2126,,,1595,1551,,,1190,1817,,,,,,
2014/01/19,3458750,1694205,478685,306749,,93371,,132466,126181,91418,43550,25593,22849,38120,45096,19904,111532,32295,18277,14105,,1295,27840,3724,11205,2307,6965,,10935,,3392,,5568,2470,4096,6207,14689,1468,1986,,,1443,1584,,,1681,2257,,,,,,
2014/01/26,3693381,1545206,641921,351596,,106546,,192636,132397,96142,55375,30825,24346,45656,81127,22760,100874,37763,19139,16051,,1433,31585,4783,13396,1860,6271,37692,10629,,4888,,5882,2537,3269,5254,14533,1451,,,,,,,,1198,1600,,,,,,
2014/02/02,4086926,1580841,784373,370537,,127072,,244774,148144,121274,66321,30369,20628,51438,118270,25474,111141,39525,15282,19187,,1002,31209,6506,13349,3198,7213,43797,8195,8991,9564,,7309,4265,4935,6197,13627,2213,,,,,,,,,,,,,,,
2014/02/09,4384647,1682503,821742,393341,,148663,,251489,170014,130760,72971,39654,28974,55105,146177,27300,106204,40466,16696,20342,,2156,34935,7047,15608,3064,8244,47249,11390,10013,10013,,8112,4351,6218,6010,13839,,,,,,4029,,,,,,,,,,
2014/02/16,4407127,1625457,783072,404343,,156934,,258641,181947,146282,81746,52317,31063,63129,155934,27325,97075,42003,19160,21707,,2463,36527,7862,16568,3232,9083,53774,12967,11384,10884,,8250,4680,6065,6030,14461,2554,,,,,,,,,,,,,,,
2014/02/23,4468700,1476407,755839,368485,,175287,,259644,188450,227732,80678,55763,28872,69430,152072,26690,78282,40042,18224,20917,,2762,32799,7618,15197,,9233,52983,13648,11132,10839,,8462,5084,5698,5532,13476,,,,,,,,,,,,,,,,
2014/03/02,4258822,1388541,645076,324322,,161138,,154418,194195,216417,79865,46425,27366,55216,145332,25009,71105,38912,18606,18848,,2368,29215,5628,21231,3096,8699,48945,13309,11647,9407,,7777,4254,3569,4663,9567,,4822,,,3447,3356,,,,,,,,,,
2014/03/09,3886555,1194490,533065,295256,533757,138695,,137902,152320,218530,71026,40948,26067,48391,126131,22629,59077,38778,17135,16936,,,25868,6687,21978,4246,8232,43638,12481,9943,7611,,7067,4809,4413,5042,8121,,4698,,,3185,3044,,,,,,,,,,
2014/03/16,3393509,1039919,393312,277943,487449,122269,,119393,,215024,64447,39794,22934,42013,100688,20517,53569,37562,14836,14329,,,24149,6433,18707,3159,7494,,10819,9756,7081,,6714,4989,3231,3917,7756,,4843,,,3363,3425,,,,,,,,,,
2014/03/23,3156101,939082,332235,266557,442481,117270,,118630,,215177,62778,45939,22706,41592,93519,19835,,35600,17043,14098,,,20936,7484,18448,3303,6828,,9768,10100,7147,,6662,4226,3266,3602,6432,,4728,,,3509,3338,,,,,,,,,,
2014/03/30,3052855,896647,308346,248837,454005,111283,,120391,,192234,66415,55276,21522,42713,87824,19053,,34916,15461,14814,,2284,19184,8108,19284,,7100,,9601,10340,7605,,,4435,3117,3322,,,4159,,,2864,2995,,,,,,,,,,
2014/04/06,3061491,910834,295551,240955,438376,108167,,,,185500,73240,53261,21967,48211,87432,20700,,37193,15494,16445,,3296,19947,9731,21510,3468,7783,45249,10421,12435,9001,,12152,5742,4119,2825,,,4188,,,2702,3219,,,,,,,,,,
2014/04/13,,843365,,,,101310,7309,,,,73519,,22212,45651,,21946,,34346,15643,16569,,2569,19876,11079,19815,3806,7408,45908,13486,13564,9552,,14179,5892,,3045,,,3975,,,,2857,,,,,,,,,,
2014/04/20,,790111,,,,,15093,,,,63207,,20504,46166,,22099,,31671,15489,16408,,2529,18002,10897,20220,4354,6415,,13723,13985,8219,,13991,4961,,2853,,,2687,,,,,,,,,,,,,,
2014/04/27,,788840,,,,,14532,,,,81365,,21152,50109,,22239,,31800,17570,16854,,4990,18062,21323,20160,4146,7160,,12918,16313,18117,,,11608,3458,3028,,5856,,,,,,,2928,,,,1071,,,,1021
2014/05/04,,796959,,,,,16118,,,,83003,55346,20620,51325,,21670,,30760,15778,19011,4809,4686,18461,18533,19097,4583,7029,,13062,15601,16432,,,9698,3731,3176,,4711,,,,,,,2840,,,,,,,,
2014/05/11,,748868,,,,,22885,,,,94112,57915,22244,52616,,23554,,28969,17275,20325,6006,4288,20408,18048,20672,4970,8203,,12516,17785,15330,,,8987,3823,3035,,4486,,,,,,,2488,,,,,,,,
2014/05/18,,,,,,,26924,,,,,58744,19761,,,,,27484,16407,20521,,4253,20082,17034,21512,4417,7671,,13672,18441,13312,,,8698,,2726,,4394,,,,,,,2388,,,,,,,,
2014/05/25,,,,,,,30707,,,,,53710,19615,,,,,25958,15811,18805,,4327,20140,16752,18916,4174,,,,,14155,,,8262,,2552,,4344,,,,,,,2268,,,,,,2230,,
2014/06/01,,,,,,,31732,,,,,53351,19507,,,,,22536,15781,18343,,4284,18110,16960,18130,4509,,,,,13947,,,8296,,2341,,4179,,,,,,,2329,,,,,,2128,,
2014/06/08,,,,,,,33281,,,,,44625,19364,,,,,21204,14930,,,4013,,16450,15157,,,,,,,,,8658,,,,,,,,,,,,,,,,,,,
2014/06/15,,,,,,,35574,,,,,40592,18894,,,,,21090,13967,,,3717,,15957,14046,,,,,,,,,7945,,,,,,,,,,,,,,,,,,,
2014/06/22,,,,,,,38632,,,,,35041,18945,,,,,18416,12995,,,3383,,15977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/06/29,,,,,,,39218,,,,,32621,18550,,,,,,12935,,,3635,,16455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/07/06,,,,,,,39205,,,,,26043,18566,,,,,,12756,,,,,17927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/07/13,,,,,,,41789,,,,,23350,17731,,,,,,12746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/07/20,,,,,,,,,,,,,17322,,,,,,11348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/07/27,,,,,,,,,,,,,,,,,,,10404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/03,,,,,,,,,,,,,16171,,,,,,9525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/08/31,,,,,,,,,,,,,,,,,,,,,68935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/07,,,,,,,,,,,,,,,,,,,,,90201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/14,,,,,,,,,,,,,,,,,,,,,94442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/21,,,,,,,,,,,,,,,,,,,,,84906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/09/28,,,,,,,,,,,,,22494,,,,,,,,83382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/10/05,,,,,,,,,,,,,21530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/10/26,,532940,,97771,162045,71119,54438,79712,122730,57034,79989,19806,20601,38438,49347,30822,28434,19657,12679,12832,64646,6254,12642,18320,9001,4618,6727,23927,8966,21337,12805,11526,9145,9249,2709,1052,3960,5602,2534,1065,,2167,1485,,3226,,,,1049,,2377,2265,1074
2014/11/02,,483085,123582,87311,137177,61693,40441,69131,91624,47800,68212,17884,17217,27600,39573,24470,23285,16647,10131,9208,54640,5015,10713,17709,7520,3434,5060,,7644,16625,9768,8710,7282,7178,,1010,2844,4050,1745,,,,,,1663,,,,,,,,
2014/11/09,,490601,123416,84168,131523,56032,42038,70651,100830,45991,69928,16079,17097,30524,40233,22566,,16949,10263,10127,47185,5312,9816,18038,7167,3297,5091,,7859,16913,9680,9138,6831,7203,,,3267,4293,1824,,,,,,1550,,,,,,,,
2014/11/16,,501509,121157,79371,130744,48331,41767,70994,99633,44315,69116,17024,16830,29153,39189,21222,,16244,10376,9952,42389,5370,10112,17374,7333,3473,6272,,7800,16483,11256,9377,6948,7525,,,3111,4661,1808,,,,,,1592,,,,,,,1239,
