Date,Global,US,GB,AU,CA,DE,NL,ID,BR,PH,SE,FR,IT,NO,MY,IE,DK,BE,ES,SG,IN,CH,NZ,MX,TW,PL,PT,CZ,ZA,AT,FI,AR,HK,IL,TH,CO,VN,HU,AE,CL,PE,NG,SK,RO,GR,CR,SA,EC,IS,GT,LU,JP,PA,LT,EG,LV,DO,HN,EE,SV,BO,BG,UY,MA,CY,MT,NI,PY,KR,TR,UA,RU
Total,3585657428,416809348,315896873,170761035,142264204,127887751,110724034,100722144,82501922,81591760,69657182,67126867,63582986,57827050,45443738,40634809,39986064,39813738,37388294,37278539,34214802,31074924,30560875,26613434,24146398,19781432,19555433,18689028,15798923,14656074,13182256,12417876,11882566,10931935,8528617,6678076,6338208,5903134,5641425,5171810,4235788,3601917,3516765,3391837,3297636,3065367,2791114,2700800,2589232,2198484,2013760,1653053,1622378,1407291,1349857,1280292,1223426,1176908,1090722,1050006,1019243,919820,866095,849760,809174,792109,492056,427729,299994,129841,53490,13970
Peak,24962682,6707749,4128542,1491441,1163589,1502138,1129806,1392411,1033712,1313788,898693,734968,1590310,628741,398339,554611,309966,300058,489201,304240,401751,204616,278397,1120012,157801,309911,149697,98126,126747,133178,212252,242452,78663,67935,114876,99817,72849,69716,31396,171124,96261,128946,36966,47393,45991,43292,27983,48364,23769,39305,21037,101014,19234,21412,15371,19812,17120,15550,16067,18500,18175,12888,15492,12569,6691,16899,8231,23813,19847,129841,16442,13970
2018/11/15,,,,,,,,,,,,,,,,42609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/22,,,,,,,,,,,188949,,,,,36167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/11/29,,,,,,,,,,,251345,,,118177,,43901,67086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/06,,,,,,,,,,,267319,,,163240,,45286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/13,,,,,,,,,,,277367,,,161415,,49346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/12/20,,,,,,,,,,,306840,,,155179,,55044,,,,,,39067,,,,,,,,,,,,,,,,,,,,,,,6921,,,,,,,,,4449,,,,,,,,,,,,2877,,,,,,
2018/12/27,,,,,,,,,,,262021,,,126403,,47569,,,,40134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/01/03,,,320117,,187180,,,,,,339988,,,152701,35732,53555,92610,,,42666,,39917,,,,,,,,,,,,,,,,,,,,,5945,,6391,,,,,,2199,,,4578,,,,,3395,,,,,,,2851,,,,,,
2019/01/10,4117240,,475196,,224226,296313,,,,,422118,,,242189,43180,75456,113914,41998,,51966,,49183,,,,75333,,17440,,26352,,,18086,,,,,,,,,,7161,,7347,,,,,,2408,,,4698,,,,,4376,,,,,,1224,3149,,,,,,
2019/01/17,4887346,,980307,,252104,328867,,,,,373030,,,251879,51278,147254,118346,57515,,58454,,54221,,,30075,,,19034,,28713,,,19889,,,,6086,11920,,,,,8083,7880,8804,,,,,,2732,,,5529,,4519,,,4459,,,,,,1454,3493,,,,,,
2019/01/24,5621433,,1275399,,277806,354726,,,,165645,369037,,,268017,54767,204696,130910,71218,,66072,,58545,,,32940,83694,25505,21128,,31185,,,21943,,23215,,6547,13281,,,,,8823,9395,9510,,,,,,3143,,,6415,,4939,,,4624,,,,,,1703,4178,,,,,,
2019/01/31,7141230,1575910,1619432,212149,313876,463302,,,,198544,356173,,,286299,66973,271733,146838,117831,,78788,,71036,,,41551,108159,32530,27088,,36279,,,28915,,29024,,9196,17103,,,,,11698,13250,14093,,,,,,4474,,,8696,,6617,,,6016,,,4115,,,2285,5651,,,,,,
2019/02/07,8410641,1753941,2022237,267595,345654,651045,,120393,,214923,352286,,,296125,62277,362468,167753,148800,,73385,,88509,47929,,38492,121086,35434,30185,,45258,59378,,26628,,30298,,9636,19923,,,,,12999,17734,16002,,,,6043,,5038,,,10369,,8271,,,6785,,,4605,,,2664,6844,,,,,,
2019/02/14,8467496,,2620741,247039,344595,667808,190926,,,187075,307422,,,283929,62458,390889,183911,155669,,72557,,85067,44469,,35975,110598,30723,27015,,43830,72460,,25553,,23244,,8593,18115,,,,,11289,14227,13448,,,,6115,,4990,,,8318,,6915,,,5907,,,4024,,,2336,5905,,,,,,
2019/02/21,8433612,,2791123,243643,327100,653753,210915,,,,282702,,,327385,55096,429441,188046,167651,,65108,,84315,44693,,34681,103268,28321,26200,,40208,67846,,25076,,,,8484,16518,,,,,10594,12354,11845,,,,6062,,4255,,,7259,,6760,,,5387,,,3680,,,2419,5834,,,,,,
