Date,Global,US,GB,DE,CA,SE,NL,DK,NO,AU,PL,IT,PH,IE,FI,AT,CH,BE,ES,FR,NZ,SG,HU,CZ,PT,MY,HK,JP,TW,IS,SK,TH,VN,RO,LT,LV,KR,GR,AE,EE,ZA,LU,BG,CY,ID,MT,PA,UA
Total,567324452,157421911,59611370,47095806,35638892,29295827,22712480,21743729,20776692,16210950,10768472,8854475,7694098,6462165,5528928,5434213,5206949,4309234,3745469,3504676,3357264,2776308,2400384,2332204,2015954,1462383,1384289,1188914,1125781,1040712,1022130,977368,877510,824164,608755,606005,490357,476737,431235,427540,349604,345924,208014,188503,108145,86518,34542,31888
Peak,29149096,6363918,3097012,3224918,1709066,1082519,1209208,719212,581702,1367655,621562,723451,844181,344744,277324,313033,322979,351138,505346,937877,233071,180388,207484,140540,153341,142431,85574,349072,144830,35839,63807,176026,79394,65341,42050,36756,53767,36231,43896,22223,114615,24992,16293,12998,108145,10491,13602,17830
2014/11/30,,,,,,110602,,62275,66322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/07,989220,,,,,169923,,145435,140244,,,,,,21134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/14,1040668,,,,,173943,58944,119960,128594,,,,,,23089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/21,1086080,,,,,197616,62535,91360,143166,,,,,,28839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/12/28,1130573,,,128806,,187715,76721,68599,98234,,,,,,33917,5740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/11/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2108,,,,,,,,,,,,,,,,,,
2015/11/26,,,,,,99958,,84434,71368,,,,,,,,,,,,,,,,,,,,,3293,,,,,,,,,,,,,,,,,,
2015/12/03,2294887,800292,203455,,85225,321838,,230294,209518,,,,,12235,31102,,,,,,,,,,,,,,,5897,,,,,,1790,,2593,,,,,,,,,,
2015/12/10,3012634,954385,304566,,117418,455084,126884,223203,259104,,18948,46776,,20029,32925,7623,,,,,15597,14608,3789,4260,,,9642,,,5282,1742,,,,2014,3319,,3045,,2621,,,1037,,,1092,,
2015/12/17,3384808,1007247,378420,,125417,503681,237323,203687,268374,49224,24910,49525,53149,24723,40122,8856,,13844,,,18497,16754,4665,5315,10886,11382,10715,,13951,5120,1968,,,,2775,3888,,3142,,3299,,,,,,1422,,
2015/12/24,4681903,1161743,470787,209471,183957,765609,331601,294783,320105,92049,46452,84773,82236,31020,80125,15516,21504,24760,,,35073,23606,11711,8624,18034,17222,14887,,20189,6526,3435,,,,4575,5713,,4044,,5026,,1379,1292,,,2237,,
2015/12/31,1857052,,,,97897,173340,211993,59546,80162,,,49866,52358,,,,10578,16002,,,,15919,,,,10527,9219,,13033,1817,,,,,1981,2020,,2701,,1860,,,,,,1059,,
