Link Artist,Artist,Streams,Daily,As lead,Solo,As feature
/spotify/artist/3TVXtAsR1Inumwj472S9r4_songs.html,Drake,"104,837.2",40.710,"72,001.8","39,679.5","32,835.4"
/spotify/artist/06HL4z0CvFAxyc27GXpf02_songs.html,Taylor Swift,"93,505.5",62.989,"90,556.8","82,695.9","2,948.8"
/spotify/artist/4q3ewBCX7sLwd24euuV69X_songs.html,Bad Bunny,"85,946.7",36.378,"53,239.6","29,734.3","32,707.1"
/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_songs.html,The Weeknd,"70,076.1",41.131,"56,460.4","39,126.9","13,615.6"
/spotify/artist/1uNFoZAHBGtllmzznpCI3s_songs.html,Justin Bieber,"55,746.8",22.103,"33,518.3","20,524.3","22,228.5"
/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_songs.html,Ed Sheeran,"53,354.3",15.760,"47,394.0","38,173.7","5,960.2"
/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_songs.html,Eminem,"51,938.1",25.770,"44,084.8","26,810.1","7,853.3"
/spotify/artist/0Y5tJX1MQlPlqiwlOH1tJY_songs.html,Travis Scott,"50,448.2",31.659,"26,916.5","19,821.7","23,531.6"
/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_songs.html,Ariana Grande,"50,295.8",24.347,"42,122.3","30,301.7","8,173.5"
/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_songs.html,Kanye West,"49,508.0",28.442,"35,129.0","22,907.7","14,379.1"
/spotify/artist/246dkjvS1zLTtiykXe5h60_songs.html,Post Malone,"46,207.2",18.510,"41,345.4","22,215.7","4,861.8"
/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_songs.html,Rihanna,"44,866.0",21.844,"32,448.5","21,503.7","12,417.5"
/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_songs.html,J Balvin,"43,754.3",12.922,"20,005.7","6,293.1","23,748.6"
/spotify/artist/3Nrfpe0tUJi4K4DXYWgMUX_songs.html,BTS,"41,046.9",11.828,"36,511.8","33,144.7","4,535.1"
/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_songs.html,Billie Eilish,"40,840.6",38.978,"40,543.0","35,884.4",297.6
/spotify/artist/1RyvyyTE3xzB2ZywiAwp0i_songs.html,Future,"40,479.3",23.603,"20,889.9","9,312.8","19,589.4"
/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_songs.html,Kendrick Lamar,"38,863.0",20.067,"26,858.0","16,704.1","12,005.0"
/spotify/artist/1i8SpTcr7yvPOmcqrbnVXY_songs.html,Ozuna,"38,269.7",11.631,"16,374.7","7,038.9","21,894.9"
/spotify/artist/4MCBfE4596Uoi2O4DtmEMz_songs.html,Juice WRLD,"37,870.9",13.626,"27,674.6","21,462.3","10,196.3"
/spotify/artist/0hCNtLu0JehylgoiP8L4Gh_songs.html,Nicki Minaj,"36,277.8",11.081,"13,634.7","7,861.1","22,643.1"
/spotify/artist/0du5cEVh5yTK9QJze8zA0C_songs.html,Bruno Mars,"36,141.1",34.571,"28,224.6","22,641.6","7,916.5"
/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_songs.html,Coldplay,"34,547.4",21.336,"31,607.3","28,276.6","2,940.0"
/spotify/artist/15UsOTVnJzReFVN1VCnxy4_songs.html,XXXTENTACION,"33,759.4",15.036,"29,315.2","24,014.8","4,444.3"
/spotify/artist/6M2wZ9GZgrQXHCFfjv46we_songs.html,Dua Lipa,"33,468.2",13.326,"22,398.6","18,253.5","11,069.6"
/spotify/artist/7bXgB6jMjp9ATFy66eO08Z_songs.html,Chris Brown,"33,296.8",13.588,"18,221.2","8,967.9","15,075.6"
/spotify/artist/53XhwfbYqKCa1cC15pYq2q_songs.html,Imagine Dragons,"32,765.0",14.418,"30,881.2","27,666.5","1,883.7"
/spotify/artist/1URnnhqYAYcrqrcwql10ft_songs.html,21 Savage,"31,734.9",15.238,"12,994.6","6,555.4","18,740.3"
/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_songs.html,David Guetta,"31,508.3",16.310,"22,894.1",291.0,"8,614.1"
/spotify/artist/55Aa2cqylxrFIXC767Z865_songs.html,Lil Wayne,"31,157.7",17.065,"12,059.3","3,283.1","19,098.4"
/spotify/artist/6LuN9FCkKOj5PcnpouEgny_songs.html,Khalid,"30,859.8",8.433,"16,261.3","10,874.2","14,598.5"
