Date,Global,DE,US,GB,DK,CA,NL,SE,PL,AU,NO,AT,IT,IE,FI,CH,BE,FR,HU,NZ,ES,SG,SK,PT,PH,HK,KR,CZ,LT,LV,GR,LU,IS,EE,AE,MT,CY,JP,MY,BG,RO,TW,ZA,CL,RU,CR,UA,VN,PA,CO,TH,ID,EC,GT,HN,AD,MX,BR,PE,AR,DO,TR,SA,UY,BO,SV,PY,NI,KZ,BY,VE,IN,EG
2013-12-08,994448.0,0.0,497407.0,317852.0,145768.0,0.0,0.0,290308.0,0.0,0.0,0.0,4568.0,0.0,6885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.0,0.0,3956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-15,1293920.0,0.0,565810.0,413779.0,141664.0,0.0,175011.0,307046.0,13391.0,0.0,109161.0,5725.0,0.0,18390.0,0.0,0.0,13719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2255.0,0.0,0.0,3729.0,1292.0,2966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-22,1932304.0,152736.0,651461.0,687576.0,166076.0,0.0,278891.0,995164.0,48422.0,0.0,137367.0,10131.0,33853.0,25545.0,0.0,8554.0,24535.0,0.0,2112.0,0.0,113001.0,5558.0,1571.0,8925.0,0.0,4390.0,0.0,2065.0,2589.0,2184.0,6008.0,0.0,2076.0,1639.0,0.0,0.0,0.0,0.0,4028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-29,1889100.0,182540.0,640000.0,686663.0,147547.0,0.0,464834.0,803112.0,27564.0,44425.0,0.0,8623.0,55082.0,24886.0,0.0,11989.0,87835.0,0.0,5326.0,10048.0,174487.0,12399.0,1163.0,11987.0,0.0,8437.0,0.0,1770.0,5460.0,4524.0,6707.0,0.0,1249.0,1889.0,0.0,0.0,0.0,0.0,4902.0,0.0,0.0,6581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-30,1174711.0,82210.0,541804.0,285122.0,304716.0,26025.0,106957.0,735675.0,0.0,0.0,174240.0,3392.0,0.0,5623.0,0.0,0.0,9904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17946.0,3769.0,0.0,0.0,0.0,0.0,5725.0,0.0,2459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-07,7791767.0,421837.0,2020314.0,1710432.0,697145.0,73587.0,388692.0,1589565.0,71437.0,114169.0,640139.0,27129.0,77682.0,76235.0,78406.0,21945.0,38591.0,21747.0,10800.0,37447.0,0.0,32929.0,4512.0,17039.0,118917.0,18776.0,0.0,13714.0,9836.0,9047.0,16800.0,0.0,11775.0,5595.0,0.0,1860.0,0.0,0.0,16238.0,1689.0,0.0,14880.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,0.0,0.0,0.0,0.0,1345.0,1118.0,0.0,0.0,0.0,0.0,0.0,1519.0,9028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-14,9411758.0,408346.0,3000429.0,1953788.0,628301.0,101883.0,780728.0,1657682.0,97135.0,152729.0,639990.0,32120.0,141701.0,95524.0,99976.0,28246.0,65190.0,30335.0,13062.0,52451.0,78060.0,48586.0,6286.0,24447.0,167473.0,26603.0,0.0,17526.0,10572.0,11475.0,17618.0,1322.0,11683.0,7887.0,0.0,3573.0,1024.0,0.0,29175.0,2545.0,0.0,28633.0,0.0,0.0,0.0,4124.0,0.0,0.0,2146.0,9537.0,0.0,0.0,3982.0,2260.0,1636.0,0.0,77681.0,45088.0,7933.0,19465.0,2443.0,13357.0,0.0,1969.0,1130.0,1353.0,1074.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-21,10977624.0,483728.0,3282003.0,2232347.0,617308.0,115086.0,950787.0,2262720.0,154502.0,222036.0,842583.0,35351.0,152867.0,120585.0,129668.0,43344.0,105866.0,38496.0,16707.0,86535.0,213495.0,59411.0,9837.0,39451.0,217989.0,35653.0,0.0,26851.0,12226.0,14590.0,17502.0,1574.0,13672.0,9282.0,0.0,4814.0,1221.0,0.0,32400.0,3396.0,0.0,27475.0,0.0,17118.0,0.0,5032.0,0.0,0.0,2626.0,12944.0,0.0,0.0,5388.0,5160.0,3425.0,0.0,98801.0,55201.0,15926.0,24991.0,3589.0,16001.0,0.0,2314.0,1399.0,3028.0,1566.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-28,17205872.0,1028423.0,5468810.0,3288745.0,584042.0,215757.0,1293626.0,2469926.0,194890.0,426100.0,691610.0,73025.0,379755.0,151774.0,202307.0,115740.0,230380.0,198537.0,45844.0,125052.0,374784.0,89196.0,14633.0,56156.0,310195.0,49342.0,0.0,36491.0,23939.0,28728.0,31820.0,3720.0,14508.0,18031.0,0.0,6963.0,2427.0,0.0,53498.0,5223.0,0.0,55271.0,0.0,23775.0,0.0,10990.0,0.0,0.0,4893.0,14249.0,0.0,0.0,12344.0,6924.0,4632.0,0.0,187829.0,72444.0,23335.0,32179.0,6268.0,18945.0,0.0,4231.0,2758.0,4023.0,1685.0,1110.0,0.0,0.0,0.0,0.0,0.0
2015-01-04,1314791.0,0.0,0.0,0.0,64291.0,13189.0,155308.0,118979.0,0.0,27454.0,67801.0,0.0,26889.0,6445.0,0.0,6064.0,25080.0,0.0,0.0,9749.0,0.0,12250.0,0.0,0.0,57107.0,6512.0,0.0,4043.0,2376.0,1969.0,6581.0,0.0,0.0,1628.0,0.0,0.0,0.0,0.0,8119.0,0.0,0.0,7944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
