Unnamed: 0,Rank,Song,Artist,ArtistID,SongID,SongLink
0,100,Christmas Eve/Sarajevo 12/24,Trans-Siberian Orchestra,,,
1,99,"Zat You, Santa Claus?",Louis Armstrong and the Commanders,19eLuQmk9aCobbVDHc6eek,4Kh0X8pMk2yIFf4jnGXrTZ,
2,98,Sleigh,Smino feat. Monte Booker and Masego,1ybINI1qPiFbwDXamRtwxD,55POBlOBhLuXm2Z7M4Xn1k,
3,97,The Sounds of Christmas,Johnny Mathis,,,
4,96,El Burrito Sabanero,La Rondallita,,,
5,95,My Only Wish (This Year),Britney Spears,26dSoYclwsYLMAKD3tpOr4,0YWUHZPJVg4iujddsJDwhM,https://kworb.net/spotify/track/0YWUHZPJVg4iujddsJDwhM.html
6,94,And Anyway It's Christmas,!!!,,,
7,93,Same Old Lang Syne,Dan Fogelberg,,,
8,92,Carol of the Bells (a.k.a. Opera of the Bells),Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,0xUkK766sTdJ3DXl6Ldkz9,
9,91,Homo Christmas,Pansy Division,,,
10,90,A Change at Christmas (Say It Isn't So),The Flaming Lips,,,
11,89,Un Año Más,Mecano,5BMgsAFg8rZQc3tqs5BB8G,1seCZJ3pEVjghbzZ2mV4Xl,
12,88,Christmas All Over Again,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,30SNjazZhzunhAWCjhdyyD,
13,87,Pretty Paper,Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,6vw0fFogTD5yIE5TWjZ0gM,
14,86,December Will Be Magic Again,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,,
15,85,I'll Be Home For Christmas,Fats Domino,,,
16,84,Our First Christmas,Alexander O'Neal,,,
17,83,Baby It's Cold Outside,Dean Martin & Marilyn Maxwell,49e4v89VmlDcFCMyDv9wQ9,4MrfQL4TYQXJBlZYpAHTuE,
18,82,All I Want For Christmas,DeJ Loaf feat. Kodak Black,7kFfY4UjNdNyaeUgLIEbIF,6DzfoG92Au5YumPSsVuPGV,
19,81,Christmas Makes Me Cry,Kacey Musgraves,70kkdajctXSbqSMJbQO424,0pZjp6KTdWZVBIHGqfBaW7,
20,80,Winter Wonderland,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,1yxcKrEcxt4O03IIC25yHk,
21,79,Jesús,Carla Morrison,0XK6kT7xcZAlcYrNjOgzJe,0tvj2F88KQi0rZDpneC5bp,
22,78,Hard Candy Christmas,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,0uTVChzibEWKrXojPaJ9y1,
23,77,Sleigh Ride,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,7fUYUcWy853HS8YJn0b3Sr,https://kworb.net/spotify/track/7fUYUcWy853HS8YJn0b3Sr.html
24,76,(There's No Place Like) Home For the Holidays,Perry Como,5v8jlSmAQfrkTjAlpUfWtu,2GapxG7BxK55ihQRAlR39e,
25,75,That Was the Worst Christmas Ever!,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,6iabiOyIuzZ96Tk6KyYCRp,
26,74,Aires de Navidad,Hector Lavoe y Willie Colón,7opp16lU7VM3l2WBdGMYHP,0LdlVrH3R9PCfaVNNVANgl,
27,73,7 O'Clock News/Silent Night,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,0Va2A1oD5n0ezfvKqPOXaD,
28,72,O Come All Ye Faithful,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,0H1zX27yxoDrsrQA1hk5Uq,https://kworb.net/spotify/track/0H1zX27yxoDrsrQA1hk5Uq.html
29,71,Millie Pulled a Pistol on Santa,De La Soul,,,
30,70,Please Come Home For Christmas,Eagles,0ECwFtbIWEVNwjlrfc6xoL,60e4x4V1ElCjukbAteZdZn,
31,69,Navidad Sin Ti,Marco Antonio Solís / Los Bukis,16kOCiqZ1auY4sokSeZuKf,7EuZwFgnxU17qwyaEPRKJN,
32,68,O Holy Night,Celine Dion,4S9EykWXhStSc15wEx8QFK,5547x0ZawobhfSeh2QKAca,
33,67,Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters,3utZ2yeQk0Z3BCOBWP7Vlu,09TPkVVVcyMfm6ziI6v810,
34,66,Happy Holiday/The Holiday Season,Andy Williams,4sj6D0zlMOl25nprDJBiU9,3sDdyBHQ60Cs1opmIyRvhp,
35,65,Santa Claus Go Straight to the Ghetto,James Brown,7GaxyUddsPok8BuhxN6OUW,6mC2ZVoCoat4LWx4MPQCPk,
36,64,Someday at Christmas,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,0OdTRhhGt8aq4UXh67CKQg,
37,63,Christmas (Baby Please Come Home),U2,51Blml2LZPmy7TTiAg47vQ,2wIOEh6QNccqsHYEPZTrRP,
38,62,O Tannenbaum,Vince Guaraldi Trio,,,
39,61,Back Door Santa,Clarence Carter,,,
