calendar_week,tavg,Global
40,22.055765551457398,
41,21.602480478822603,
42,21.245658369218674,5750.0
43,20.828712946725528,113582.5
44,20.3131380901718,1310945.0
45,19.677561565133654,5217828.375
46,19.17901313527069,10582011.375
47,18.539183819517465,23081896.444444444
48,17.79153359331025,53204080.88888889
49,17.325736450947012,91248083.8888889
50,16.98673165232363,106705748.1111111
51,16.714047106786868,128919374.22222222
52,16.8490463435626,188017232.55555555
53,16.42533940451316,63229921.0
