Artist and Title,Streams,Daily,Artist,Song
Nirvana - Smells Like Teen Spirit,2169048486,1103805,Nirvana,Smells Like Teen Spirit
Oasis - Wonderwall,2142750832,1235531,Oasis,Wonderwall
Journey - Don't Stop Believin',2131845783,1476128,Journey,Don't Stop Believin'
The Goo Goo Dolls - Iris,1949203510,2074000,The Goo Goo Dolls,Iris
Coolio - Gangsta's Paradise,1853566439,1380243,Coolio,Gangsta's Paradise
Radiohead - Creep,1843321997,1529668,Radiohead,Creep
Mariah Carey - All I Want for Christmas Is You,1830758183,421537,Mariah Carey,All I Want for Christmas Is You
AC/DC - Thunderstruck,1641240459,1053943,AC/DC,Thunderstruck
Backstreet Boys - I Want It That Way,1578343886,986374,Backstreet Boys,I Want It That Way
Red Hot Chili Peppers - Californication,1523476674,923118,Red Hot Chili Peppers,Californication
Dr. Dre - Still D.R.E.,1517477227,742088,Dr. Dre,Still D.R.E.
Metallica - Enter Sandman (Remastered),1512823174,874920,Metallica,Enter Sandman (Remastered)
Red Hot Chili Peppers - Under the Bridge,1488847219,598660,Red Hot Chili Peppers,Under the Bridge
R.E.M. - Losing My Religion,1468975216,854042,R.E.M.,Losing My Religion
Nirvana - Come As You Are,1404244533,884165,Nirvana,Come As You Are
The Cranberries - Zombie,1310047117,851594,The Cranberries,Zombie
Foo Fighters - Everlong,1284733182,731290,Foo Fighters,Everlong
Metallica - Nothing Else Matters (Remastered),1243950385,584599,Metallica,Nothing Else Matters (Remastered)
The Notorious B.I.G. - Hypnotize,1231486443,657982,The Notorious B.I.G.,Hypnotize
Ice Cube - It Was A Good Day,1215516276,672858,Ice Cube,It Was A Good Day
blink-182 - All The Small Things,1212449894,734091,blink-182,All The Small Things
TLC - No Scrubs,1187515534,926548,TLC,No Scrubs
Spice Girls - Wannabe,1172360542,582300,Spice Girls,Wannabe
Green Day - Basket Case,1168905595,662352,Green Day,Basket Case
Smash Mouth - All Star,1161165491,495000,Smash Mouth,All Star
George Michael - Careless Whisper,1134216875,680651,George Michael,Careless Whisper
The Verve - Bitter Sweet Symphony,1129734835,540122,The Verve,Bitter Sweet Symphony
The Notorious B.I.G. - Big Poppa,1110873746,1024025,The Notorious B.I.G.,Big Poppa
Red Hot Chili Peppers - Otherside,1080083126,485570,Red Hot Chili Peppers,Otherside
Dr. Dre - The Next Episode,1072657580,687413,Dr. Dre,The Next Episode
Aerosmith - I Don't Want To Miss A Thing,1072227780,449053,Aerosmith,I Don't Want To Miss A Thing
Red Hot Chili Peppers - Scar Tissue,1029523304,1197896,Red Hot Chili Peppers,Scar Tissue
4 Non Blondes - What's Up?,998587692,521375,4 Non Blondes,What's Up?
Guns N' Roses - November Rain,994558707,419921,Guns N' Roses,November Rain
The Offspring - The Kids Aren't Alright,983431288,742244,The Offspring,The Kids Aren't Alright
Rage Against The Machine - Killing In the Name,966374395,536966,Rage Against The Machine,Killing In the Name
Blur - Song 2,966259322,600357,Blur,Song 2
Oasis - Don't Look Back In Anger,954355688,586568,Oasis,Don't Look Back In Anger
Kenny Loggins - Footloose,914868120,328409,Kenny Loggins,Footloose
Sixpence None The Richer - Kiss Me,912406076,1049357,Sixpence None The Richer,Kiss Me
Destiny's Child - Say My Name,901020449,542342,Destiny's Child,Say My Name
Dr. Dre - Forgot About Dre,870605902,475975,Dr. Dre,Forgot About Dre
Haddaway - What Is Love,867491667,670371,Haddaway,What Is Love
The Cranberries - Linger,842202626,1079096,The Cranberries,Linger
Blackstreet - No Diggity,842014795,397312,Blackstreet,No Diggity
Petit Biscuit - Sunset Lover,841934009,152391,Petit Biscuit,Sunset Lover
Sublime - Santeria,831170750,473730,Sublime,Santeria
Natalie Imbruglia - Torn,826065600,735096,Natalie Imbruglia,Torn
2Pac - California Love,815903833,622930,2Pac,California Love
Counting Crows - Mr. Jones,807905621,384883,Counting Crows,Mr. Jones
Scorpions - Wind Of Change,796178271,428345,Scorpions,Wind Of Change
Nirvana - Heart-Shaped Box,793054140,588945,Nirvana,Heart-Shaped Box
blink-182 - What's My Age Again?,791262441,399102,blink-182,What's My Age Again?
Radiohead - No Surprises,789739235,820432,Radiohead,No Surprises
2Pac - Ambitionz Az A Ridah,783742855,415320,2Pac,Ambitionz Az A Ridah
The Notorious B.I.G. - Juicy,782190857,254463,The Notorious B.I.G.,Juicy
The Cure - Friday I'm In Love,781344415,489457,The Cure,Friday I'm In Love
Green Day - Good Riddance (Time of Your Life),774674058,763855,Green Day,Good Riddance (Time of Your Life)
Guns N' Roses - Knockin' On Heaven's Door,774075993,373918,Guns N' Roses,Knockin' On Heaven's Door
Los Enanitos Verdes - Lamento Boliviano,753071900,465051,Los Enanitos Verdes,Lamento Boliviano
Fugees - Killing Me Softly With His Song,752571367,392686,Fugees,Killing Me Softly With His Song
Whitney Houston - I Will Always Love You,744985080,315750,Whitney Houston,I Will Always Love You
Soundgarden - Black Hole Sun,743928587,394497,Soundgarden,Black Hole Sun
Limp Bizkit - Break Stuff,734954610,694711,Limp Bizkit,Break Stuff
Extreme - More Than Words,701064297,309259,Extreme,More Than Words
Wheatus - Teenage Dirtbag,697799505,518913,Wheatus,Teenage Dirtbag
The Cardigans - Lovefool,689591649,639649,The Cardigans,Lovefool
Lou Bega - Mambo No. 5 (a Little Bit of...),687293562,279229,Lou Bega,Mambo No. 5 (a Little Bit of...)
2Pac - Hit 'Em Up,685023682,742069,2Pac,Hit 'Em Up
Roxette - It Must Have Been Love,678118181,277090,Roxette,It Must Have Been Love
Cher - Believe,670848252,487017,Cher,Believe
Nirvana - Lithium,654234516,353586,Nirvana,Lithium
Eiffel 65 - Blue (Da Ba Dee),652848019,223295,Eiffel 65,Blue (Da Ba Dee)
Incubus - Drive,652748784,471993,Incubus,Drive
2Pac - All Eyez On Me,642026838,421183,2Pac,All Eyez On Me
Bryan Adams - (Everything I Do) I Do It For You,639095041,303956,Bryan Adams,(Everything I Do) I Do It For You
Eminem - My Name Is,637240780,334785,Eminem,My Name Is
Pearl Jam - Even Flow,632869897,454521,Pearl Jam,Even Flow
Jarabe De Palo - La flaca,629890951,472034,Jarabe De Palo,La flaca
Ice Cube - You Know How We Do It,624020438,511167,Ice Cube,You Know How We Do It
Shania Twain - Man! I Feel Like A Woman!,623043532,297578,Shania Twain,Man! I Feel Like A Woman!
Rammstein - Du hast,622857812,391134,Rammstein,Du hast
Diddy - I'll Be Missing You,622579331,424009,Diddy,I'll Be Missing You
Foo Fighters - Learn to Fly,620042234,259389,Foo Fighters,Learn to Fly
The Offspring - Self Esteem,619049912,337006,The Offspring,Self Esteem
Guns N' Roses - Don't Cry (Original),616687271,344054,Guns N' Roses,Don't Cry (Original)
"John Denver - Take Me Home, Country Roads",612998709,202194,John Denver,"Take Me Home, Country Roads"
Eagle-Eye Cherry - Save Tonight,594081094,252139,Eagle-Eye Cherry,Save Tonight
Radiohead - Karma Police,589088772,408684,Radiohead,Karma Police
Green Day - When I Come Around,588712281,353782,Green Day,When I Come Around
House Of Pain - Jump Around,583658494,392606,House Of Pain,Jump Around
Backstreet Boys - Everybody (Backstreet's Back),577549200,365098,Backstreet Boys,Everybody (Backstreet's Back)
Céline Dion - My Heart Will Go On,574783616,245733,Céline Dion,My Heart Will Go On
Shania Twain - You're Still The One,574558480,337654,Shania Twain,You're Still The One
2Pac - Changes,569371816,299605,2Pac,Changes
Pearl Jam - Alive,566040671,206691,Pearl Jam,Alive
Bon Jovi - Always,565996150,283510,Bon Jovi,Always
Aqua - Barbie Girl,565647528,287246,Aqua,Barbie Girl
Metallica - The Unforgiven (Remastered),564207726,261174,Metallica,The Unforgiven (Remastered)
Robbie Williams - Angels,563927263,245121,Robbie Williams,Angels
"Mobb Deep - Shook Ones, Pt. II",558859082,293563,Mobb Deep,"Shook Ones, Pt. II"
Kenny Loggins - Danger Zone,557747364,240608,Kenny Loggins,Danger Zone
Eric Carmen - Hungry Eyes,553665644,495578,Eric Carmen,Hungry Eyes
Warren G - Regulate,551747801,215555,Warren G,Regulate
Korn - Freak On a Leash,549156116,551648,Korn,Freak On a Leash
Gala - Freed From Desire,542562207,334149,Gala,Freed From Desire
Spin Doctors - Two Princes,539251033,327360,Spin Doctors,Two Princes
Third Eye Blind - Semi-Charmed Life,539192967,226446,Third Eye Blind,Semi-Charmed Life
Luniz - I Got 5 On It,534085798,286379,Luniz,I Got 5 On It
Weezer - Say It Ain't So,531362534,295537,Weezer,Say It Ain't So
Fools Garden - Lemon Tree,527777035,347244,Fools Garden,Lemon Tree
Savage Garden - Truly Madly Deeply,527757194,238679,Savage Garden,Truly Madly Deeply
Sade - Smooth Operator,527615085,630979,Sade,Smooth Operator
Sublime - What I Got,522258495,250337,Sublime,What I Got
The Notorious B.I.G. - Mo Money Mo Problems,521758706,224674,The Notorious B.I.G.,Mo Money Mo Problems
The Cranberries - Dreams,518524285,474756,The Cranberries,Dreams
Blind Melon - No Rain,513224186,247952,Blind Melon,No Rain
Alice Deejay - Better Off Alone,506776318,361551,Alice Deejay,Better Off Alone
Ms. Lauryn Hill - Doo Wop (That Thing),502366718,286285,Ms. Lauryn Hill,Doo Wop (That Thing)
The Offspring - Pretty Fly (For A White Guy),499915559,332483,The Offspring,Pretty Fly (For A White Guy)
New Radicals - You Get What You Give,498270897,247880,New Radicals,You Get What You Give
Rusted Root - Send Me On My Way,496626868,167829,Rusted Root,Send Me On My Way
Backstreet Boys - As Long as You Love Me,496312996,419605,Backstreet Boys,As Long as You Love Me
Alanis Morissette - Ironic,493041166,215988,Alanis Morissette,Ironic
Nirvana - Something In The Way,492351678,276011,Nirvana,Something In The Way
Rob Zombie - Dragula,489798909,468732,Rob Zombie,Dragula
Alejandro Sanz - Corazón partío,483467117,220735,Alejandro Sanz,Corazón partío
Luis Miguel - Hasta Que Me Olvides,482551702,248875,Luis Miguel,Hasta Que Me Olvides
Nirvana - The Man Who Sold The World,480750844,277348,Nirvana,The Man Who Sold The World
ChiChi Peralta - Procura,479076867,280316,ChiChi Peralta,Procura
Whitney Houston - I Have Nothing,478580313,236609,Whitney Houston,I Have Nothing
Andrés Calamaro - Flaca,475547043,315411,Andrés Calamaro,Flaca
Metallica - Whiskey In The Jar,475482926,252422,Metallica,Whiskey In The Jar
Mark Morrison - Return of the Mack,474164660,255211,Mark Morrison,Return of the Mack
"Vengaboys - Boom, Boom, Boom, Boom!!",473250517,252791,Vengaboys,"Boom, Boom, Boom, Boom!!"
Slipknot - Wait and Bleed,472408557,383376,Slipknot,Wait and Bleed
Pearl Jam - Black,472396891,227551,Pearl Jam,Black
Wu-Tang Clan - C.R.E.A.M. (Cash Rules Everything Around Me),469931953,190024,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me)
Seal - Kiss from a Rose,468818129,175861,Seal,Kiss from a Rose
Darude - Sandstorm,468685269,227023,Darude,Sandstorm
Ace of Base - All That She Wants,464546685,477796,Ace of Base,All That She Wants
Radiohead - High and Dry,463386529,335393,Radiohead,High and Dry
Gloria Gaynor - I Will Survive,463064571,189318,Gloria Gaynor,I Will Survive
Beck - Loser,462424410,197896,Beck,Loser
Christina Aguilera - Genie In a Bottle,462183573,578962,Christina Aguilera,Genie In a Bottle
Dr. Dre - What's The Difference,461976957,312504,Dr. Dre,What's The Difference
Foo Fighters - My Hero,457628699,239216,Foo Fighters,My Hero
Crazy Town - Butterfly,457311768,328465,Crazy Town,Butterfly
Santana - Maria Maria,456758746,245859,Santana,Maria Maria
R.E.M. - Everybody Hurts,456517350,201816,R.E.M.,Everybody Hurts
Ricky Martin - Livin' la Vida Loca,454590020,240607,Ricky Martin,Livin' la Vida Loca
Snoop Dogg - Gin and Juice,452865142,203495,Snoop Dogg,Gin and Juice
Lionel Richie - All Night Long,452060205,196071,Lionel Richie,All Night Long
Shakira - Antologia,451519486,534036,Shakira,Antologia
"Céline Dion - Because You Loved Me (Theme from ""Up Close and Personal"")",450779840,316059,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")"
Rage Against The Machine - Bulls On Parade,450349132,177351,Rage Against The Machine,Bulls On Parade
Shakin' Stevens - Merry Christmas Everyone,450217261,56687,Shakin' Stevens,Merry Christmas Everyone
Dimension Latina - Llorarás,444971960,423443,Dimension Latina,Llorarás
Mariah Carey - Fantasy,440582650,250521,Mariah Carey,Fantasy
MC Hammer - U Can't Touch This,439880244,179663,MC Hammer,U Can't Touch This
Weezer - Buddy Holly,439350362,341363,Weezer,Buddy Holly
Aerosmith - Crazy,438281179,194577,Aerosmith,Crazy
Queen - The Show Must Go On,436844103,152121,Queen,The Show Must Go On
Alice In Chains - Man in the Box,436769301,313913,Alice In Chains,Man in the Box
Pantera - Walk,436460173,240777,Pantera,Walk
Roxette - Listen to Your Heart,436436461,220234,Roxette,Listen to Your Heart
Luis Miguel - La Media Vuelta,433981424,310556,Luis Miguel,La Media Vuelta
TLC - Waterfalls,432814700,249123,TLC,Waterfalls
Oasis - Champagne Supernova,430245899,258091,Oasis,Champagne Supernova
Beastie Boys - Sabotage,430135654,183308,Beastie Boys,Sabotage
Cypress Hill - Insane in the Brain,430044855,177428,Cypress Hill,Insane in the Brain
Stone Temple Pilots - Interstate Love Song,429920735,343962,Stone Temple Pilots,Interstate Love Song
Red Hot Chili Peppers - Give It Away,428433725,250174,Red Hot Chili Peppers,Give It Away
Will Smith - Miami,427427181,340047,Will Smith,Miami
Maná - Clavado en Un Bar,427263847,253511,Maná,Clavado en Un Bar
"Dr. Dre - Nuthin' But A ""G"" Thang",426981370,364888,Dr. Dre,"Nuthin' But A ""G"" Thang"
Los Abuelos De La Nada - Mil Horas,426771980,346565,Los Abuelos De La Nada,Mil Horas
Lenny Kravitz - Are You Gonna Go My Way,423799429,193340,Lenny Kravitz,Are You Gonna Go My Way
Maná - En El Muelle de San Blas,423164734,230414,Maná,En El Muelle de San Blas
Shakira - Inevitable,423089210,535432,Shakira,Inevitable
Santana - Smooth,423056843,197032,Santana,Smooth
Dido - Thank You,421525625,368118,Dido,Thank You
Dido - White Flag,418525316,414547,Dido,White Flag
Mariah Carey - Always Be My Baby,412612682,188038,Mariah Carey,Always Be My Baby
Alejandro Sanz - Amiga mía,405227144,223330,Alejandro Sanz,Amiga mía
Jennifer Lopez - Let's Get Loud,400185372,202108,Jennifer Lopez,Let's Get Loud
Marilyn Manson - The Beautiful People,398722889,234046,Marilyn Manson,The Beautiful People
Marilyn Manson - Sweet Dreams (Are Made Of This),395718327,171912,Marilyn Manson,Sweet Dreams (Are Made Of This)
Maná - Rayando el Sol,395462403,305867,Maná,Rayando el Sol
Daft Punk - Around the World,393596621,159339,Daft Punk,Around the World
Bon Jovi - Bed Of Roses,391249585,192391,Bon Jovi,Bed Of Roses
Gianluca Grignani - Mi Historia Entre Tus Dedos,390327856,259738,Gianluca Grignani,Mi Historia Entre Tus Dedos
Nat King Cole Trio - The Christmas Song (Merry Christmas To You),389874067,17158,Nat King Cole Trio,The Christmas Song (Merry Christmas To You)
Perry Como - It's Beginning to Look a Lot Like Christmas,386359525,79849,Perry Como,It's Beginning to Look a Lot Like Christmas
Sting - Fields Of Gold,385802899,253948,Sting,Fields Of Gold
Rednex - Cotton Eye Joe,383321571,205536,Rednex,Cotton Eye Joe
Luis Miguel - Por Debajo De La Mesa,382371620,192952,Luis Miguel,Por Debajo De La Mesa
Mr. Big - To Be With You,382201451,133232,Mr. Big,To Be With You
Macy Gray - I Try,381970792,161789,Macy Gray,I Try
Los Fabulosos Cadillacs - Vasos Vacíos,381868187,158030,Los Fabulosos Cadillacs,Vasos Vacíos
Metallica - Sad But True (Remastered),381713403,229785,Metallica,Sad But True (Remastered)
Lenny Kravitz - Fly Away,381593402,276186,Lenny Kravitz,Fly Away
Lit - My Own Worst Enemy,380239640,289542,Lit,My Own Worst Enemy
Will Smith - Gettin' Jiggy Wit It,380191090,145871,Will Smith,Gettin' Jiggy Wit It
Inner Circle - Sweat (A La La La La Long),379488675,242422,Inner Circle,Sweat (A La La La La Long)
The Offspring - Why Don't You Get A Job,378312522,234393,The Offspring,Why Don't You Get A Job
Deftones - My Own Summer (Shove It),377961476,500223,Deftones,My Own Summer (Shove It)
Supergrass - Alright,377873760,254656,Supergrass,Alright
Fugees - Ready or Not,377139852,174463,Fugees,Ready or Not
Alice In Chains - Would? (2022 Remaster),376109116,250752,Alice In Chains,Would? (2022 Remaster)
Jeff Buckley - Hallelujah,374290857,107520,Jeff Buckley,Hallelujah
Lionel Richie - Endless Love,371808727,155492,Lionel Richie,Endless Love
La Bouche - Be My Lover,368835598,359599,La Bouche,Be My Lover
Elvis Crespo - Suavemente,367261311,175887,Elvis Crespo,Suavemente
Bruce Springsteen - Streets of Philadelphia,366095054,321381,Bruce Springsteen,Streets of Philadelphia
Corona - The Rhythm of the Night,364873714,201173,Corona,The Rhythm of the Night
